,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
17,Kingdom of Scotland,The capital of [X] is [Y] .,Edinburgh,"Set in late 15th-century England, the episode takes a humorous look at rivalries with the Kingdom of Scotland and centres the dramatic tension on the doubts cast over parentage of the lead character, Prince Edmund, Duke of [MASK].","Set in late 15th-century England, the episode takes a humorous look at rivalries with the Kingdom of Scotland and centres the dramatic tension on the doubts cast over parentage of the lead character, Prince Edmund, Duke of Edinburgh.","['set in england in the late 15th century the episode takes a humorous look at rivalries with the kingdom of scotland and centres dramatic tension on the doubts cast over the parentage of the lead character prince edmund duke of edinburgh', 'set in late 15th-century england the episode takes a humorous look at rivalries with the kingdom of scotland and centres the dramatic tension on the doubts cast over the parents of the lead character prince edmund duke of edinburgh', 'set in late 15th-century england the episode takes a humorous look at rivalries with the kingdom of scotland and centres the dramatic tension on the doubts cast over the parentage of the lead character prince edmund duke of edinburgh']",set in england in the late 15th century the episode takes a humorous look at rivalries with the kingdom of scotland and centres dramatic tension on the doubts cast over the parentage of the lead character prince edmund duke of [MASK],set in late 15th-century england the episode takes a humorous look at rivalries with the kingdom of scotland and centres the dramatic tension on the doubts cast over the parents of the lead character prince edmund duke of [MASK],set in late 15th-century england the episode takes a humorous look at rivalries with the kingdom of scotland and centres the dramatic tension on the doubts cast over the parentage of the lead character prince edmund duke of [MASK]
18,Second Polish Republic,The capital of [X] is [Y] .,Warsaw,"A child prodigy, he completed his musical education and composed his earlier works in [MASK] before leaving Poland at the age of 20, less than a month before the outbreak of the November 1830 Uprising.","A child prodigy, he completed his musical education and composed his earlier works in Warsaw before leaving Poland at the age of 20, less than a month before the outbreak of the November 1830 Uprising.","['he completed his musical education and composed his earlier works in warsaw before leaving poland at the age of 20 less than a month before the outbreak of the revolt in november 1830', 'he completed his musical education and composed his earlier works in warsaw before leaving poland at the age of 20 less than a month before the outbreak of the november 1830 uprising']",he completed his musical education and composed his earlier works in [MASK] before leaving poland at the age of 20 less than a month before the outbreak of the revolt in november 1830,he completed his musical education and composed his earlier works in [MASK] before leaving poland at the age of 20 less than a month before the outbreak of the november 1830 uprising,
19,Dhaka District,The capital of [X] is [Y] .,Dhaka,"The Dhaka High Court is one of the most important high courts in Bangladesh, located in the capital of [MASK] with jurisdiction for the Dhaka District.","The Dhaka High Court is one of the most important high courts in Bangladesh, located in the capital of Dhaka with jurisdiction for the Dhaka District.","['The Dhaka High Court is one of the most important high courts in Bangladesh, located in the capital of Dhaka with jurisdiction for the Dhaka District.']","The Dhaka High Court is one of the most important high courts in Bangladesh, located in the capital of Dhaka with jurisdiction for the Dhaka District.",,
20,Reichskommissariat Moskowien,The capital of [X] is [Y] .,Moscow,"Reichskommissariat Moskowien (also rendered as [MASK], abbreviated as RKM; Russian: Рейхскомиссариат Московия), literally ""Reich Commissariat of Muscovy (or Moscow)"", was the civilian occupation regime that Nazi Germany intended to create in central and northern European Russia during World War II, one of several similar Reichskommissariate.","Reichskommissariat Moskowien (also rendered as Moscow, abbreviated as RKM; Russian: Рейхскомиссариат Московия), literally ""Reich Commissariat of Muscovy (or Moscow)"", was the civilian occupation regime that Nazi Germany intended to create in central and northern European Russia during World War II, one of several similar Reichskommissariate.",,,,
21,Breathitt County,The capital of [X] is [Y] .,Jackson,Breathitt County High School (aka Breathitt High School) is a public high school located in the city of [MASK] nestled in the Appalachian Mountains of Eastern Kentucky.,Breathitt County High School (aka Breathitt High School) is a public high school located in the city of Jackson nestled in the Appalachian Mountains of Eastern Kentucky.,"['breathitt county high school aka breathitt high school is a public high school in the city of jackson in eastern kentucky in the appalachian mountains', 'breathitt county high school aka breathitt high school is a public high school located in the city of jackson in the appalachian mountains of eastern kentucky']",breathitt county high school aka breathitt high school is a public high school in the city of [MASK] in eastern kentucky in the appalachian mountains,breathitt county high school aka breathitt high school is a public high school located in the city of [MASK] in the appalachian mountains of eastern kentucky,
22,Gasconade County,The capital of [X] is [Y] .,Hermann,"The Hermann Bridge was a cantilevered truss bridge over the Missouri River at [MASK] between Gasconade County, Missouri and Montgomery County, Missouri.","The Hermann Bridge was a cantilevered truss bridge over the Missouri River at Hermann between Gasconade County, Missouri and Montgomery County, Missouri.","['hermann bridge was a cantilevered truss bridge over the missouri river at hermann between gasconade county missouri and montgomery county missouri', 'the hermann bridge was a cantilevered truss bridge over the missouri river at hermann between gasconade county missouri and montgomery county missouri']",Hermann bridge was a cantilevered truss bridge over the missouri river at hermann between gasconade county missouri and [MASK] county missouri,the Hermann bridge was a cantilevered truss bridge over the missouri river at hermann between gasconade county missouri and [MASK] county missouri,
23,Canterbury Region,The capital of [X] is [Y] .,Christchurch,"Cantamath is a mathematics competition competed in [MASK], Canterbury, New Zealand by years 6 to 10 students.","Cantamath is a mathematics competition competed in Christchurch, Canterbury, New Zealand by years 6 to 10 students.","['Cantamath is a mathematics competition competed in Christchurch, Canterbury, New Zealand by years 6 to 10 students.']","Cantamath is a mathematics competition competed in Christchurch, Canterbury, New Zealand by years 6 to 10 students.",,
24,Kingdom of France,The capital of [X] is [Y] .,Paris,"The royal Flight to Varennes (French: Fuite à Varennes) during the night of 20–21 June 1791 was a significant episode in the French Revolution in which King Louis XVI of France, his queen Marie Antoinette, and their immediate family attempted unsuccessfully to escape from [MASK] in order to initiate a counter-revolution at the head of loyal troops under royalist officers concentrated at Montmédy near the frontier.","The royal Flight to Varennes (French: Fuite à Varennes) during the night of 20–21 June 1791 was a significant episode in the French Revolution in which King Louis XVI of France, his queen Marie Antoinette, and their immediate family attempted unsuccessfully to escape from Paris in order to initiate a counter-revolution at the head of loyal troops under royalist officers concentrated at Montmédy near the frontier.",,,,
25,Bremen-Verden,The capital of [X] is [Y] .,Stade,"The High-Bailiwick of [MASK], being a mere administrative unit of the integrated Kingdom of Hanover, was named after and seated in Stade, Bremen-Verden's former capital, taking over its staff, installations and buildings.","The High-Bailiwick of Stade, being a mere administrative unit of the integrated Kingdom of Hanover, was named after and seated in Stade, Bremen-Verden's former capital, taking over its staff, installations and buildings.","[""The High-Bailiwick of Stade, being a mere administrative unit of the integrated Kingdom of Hanover, was named after and seated in Stade, Bremen-Verden's former capital, taking over its staff, installations and buildings.""]","The High-Bailiwick of Stade, being a mere administrative unit of the integrated Kingdom of Hanover, was named after and seated in Stade, Bremen-Verden's former capital, taking over its staff, installations and buildings.",,
26,Alberta,The capital of [X] is [Y] .,Edmonton,"Alberta's capital [MASK] is near the geographic centre of the province and is the primary supply and service hub for Canada's crude oil, oil sands (Athabasca oil sands) and other northern resource industries.","Alberta's capital Edmonton is near the geographic centre of the province and is the primary supply and service hub for Canada's crude oil, oil sands (Athabasca oil sands) and other northern resource industries.","[""alberta's capital edmonton is located near the geographic centre of the province and is the primary supplier and service hub for canada's crude oil sands athabasca oil sands and other northern resource industries"", ""alberta's capital edmonton is located near the geographic centre of the province and is the primary supply and service hub for canada's crude oil oil sands athabasca oil sands and other northern resources industries""]",alberta's capital [MASK] is located near the geographic centre of the province and is the primary supplier and service hub for canada's crude oil sands athabasca oil sands and other northern resource industries,alberta's capital [MASK] is located near the geographic centre of the province and is the primary supply and service hub for canada's crude oil oil sands athabasca oil sands and other northern resources industries,
27,Athens County,The capital of [X] is [Y] .,Athens,"The Post is a student-run newspaper in [MASK], that covers Ohio University and Athens County.","The Post is a student-run newspaper in Athens, that covers Ohio University and Athens County.","['the post is a student-run newspaper in athens which covers the ohio university and athens county', 'the post is a student-run newspaper in athens covering ohio university and athens county']",the post is a student-run newspaper in Athens which covers the ohio university and [MASK] county,the post is a student-run newspaper in Athens covering ohio university and [MASK] county,
28,La Condamine,The capital of [X] is [Y] .,Monaco,Les Révoires is a north eastern residential and tourist area; part of the traditional Quartier of La Condamine in the Principality of [MASK].,Les Révoires is a north eastern residential and tourist area; part of the traditional Quartier of La Condamine in the Principality of Monaco.,"['les rvoires is a residential and tourist area in the north east part of the traditional quartier de la condamine in the principality of monaco', 'les rvoires is a north east residential and tourist area part of the traditional quartier of la condamine in the principaut of monaco', 'les rvoires is a north-eastern residential and tourist area part of the traditional quartier la condamine in the principality of monaco']",les rvoires is a residential and tourist area in the north east part of the traditional quartier de la condamine in the principality of [MASK],les rvoires is a north east residential and tourist area part of the traditional quartier of la condamine in the principaut of [MASK],les rvoires is a north-eastern residential and tourist area part of the traditional quartier la condamine in the principality of [MASK]
29,Ouachita County,The capital of [X] is [Y] .,Camden,"The Camden Confederate Monument, also known as the Confederate Women's Memorial, is located on the grounds of the Ouachita County Courthouse in [MASK].","The Camden Confederate Monument, also known as the Confederate Women's Memorial, is located on the grounds of the Ouachita County Courthouse in Camden.","['the camden confederate monument also known as confederate women memorial is located on the grounds of the ouachita county courthouse in camden', ""the camden confederate monument also known as the confederate women's memorial is located on the grounds of the ouachita county courthouse in camden""]",the [MASK] confederate monument also known as confederate women memorial is located on the grounds of the ouachita county courthouse in camden,the [MASK] confederate monument also known as the confederate women's memorial is located on the grounds of the ouachita county courthouse in camden,
30,Germany,The capital of [X] is [Y] .,Berlin,Bonn serves alongside the capital [MASK] as the seat of government of Germany.,Bonn serves alongside the capital Berlin as the seat of government of Germany.,['bonn serves as the seat of government of germany alongside the capital berlin'],Berlin serves as the seat of government of germany alongside the capital [MASK],,
31,First Republic of Armenia,The capital of [X] is [Y] .,Yerevan,"After World War I, [MASK] became the capital of the First Republic of Armenia as thousands of survivors of the Armenian Genocide in the Ottoman Empire settled in the area.","After World War I, Yerevan became the capital of the First Republic of Armenia as thousands of survivors of the Armenian Genocide in the Ottoman Empire settled in the area.","['after world war i yerevan became the capital of the first republic of armenia as thousands of survivors of the armenian genocide settled in the region', 'after world war i yerevan became the capital of the first republic of armenia as thousands of survivors of the armenian genocide in the ottoman empire settled in the area']",after world war i Yerevan became the capital of the first [MASK] of armenia as thousands of survivors of the armenian genocide settled in the region,after world war i Yerevan became the capital of the first [MASK] of armenia as thousands of survivors of the armenian genocide in the ottoman empire settled in the area,
32,Aberdeenshire,The capital of [X] is [Y] .,Aberdeen,"Aberdeenshire Council is headquartered at Woodhill House, in [MASK], making it the only Scottish council whose headquarters are located outside its jurisdiction.","Aberdeenshire Council is headquartered at Woodhill House, in Aberdeen, making it the only Scottish council whose headquarters are located outside its jurisdiction.","['aberdeenshire council resides at woodhill house in aberdeen making it the only scottish council whose headquarters are located outside its jurisdiction', 'aberdeenshire council is headquartered in woodhill house aberdeen and is the only scottish council whose headquarters are located outside of its jurisdiction', 'aberdeenshire council is headquartered at woodhill house in aberdeen making it the only scottish council whose headquarters are outside its jurisdiction']",aberdeenshire council resides at woodhill house in [MASK] making it the only scottish council whose headquarters are located outside its jurisdiction,aberdeenshire council is headquartered in woodhill house [MASK] and is the only scottish council whose headquarters are located outside of its jurisdiction,aberdeenshire council is headquartered at woodhill house in [MASK] making it the only scottish council whose headquarters are outside its jurisdiction
33,Indiana,The capital of [X] is [Y] .,Indianapolis,"With an estimated population of 258,522 in 2014, Fort Wayne is the 77th most populous city in the United States and the second largest in Indiana, after [MASK].","With an estimated population of 258,522 in 2014, Fort Wayne is the 77th most populous city in the United States and the second largest in Indiana, after Indianapolis.","['fort wayne is the 77th most populous city in the united states and the second largest city in indiana after indianapolis', 'fort wayne is the 77th most populous city in the united states and the second largest in indiana after indianapolis', 'fort wayne with an estimated population of 258522 is the 77th most populous city in the united states and the second largest city in indiana after indianapolis']",fort wayne is the 77th most populous city in the united states and the second largest city in Indianapolis after [MASK],fort wayne is the 77th most populous city in the united states and the second largest in Indianapolis after [MASK],fort wayne with an estimated population of 258522 is the 77th most populous city in the united states and the second largest city in Indianapolis after [MASK]
34,Watauga County,The capital of [X] is [Y] .,Boone,"The Watauga County Farmers' Market is a farmers' market located in [MASK] established July 6, 1974.","The Watauga County Farmers' Market is a farmers' market located in Boone established July 6, 1974.","[""the watauga county farmers market is a farmer's market located in boone and was established on july 6 1974""]",the watauga county farmers market is a farmer's market located in [MASK] and was established on july 6 1974,,
35,State of Brazil,The capital of [X] is [Y] .,Salvador,The recapture of Bahia (Spanish: Jornada del Brasil; Portuguese: Jornada dos Vassalos) was a Spanish-Portuguese military expedition in 1625 to retake the city of [MASK] in Brazil from the forces of the Dutch West India Company (WIC).,The recapture of Bahia (Spanish: Jornada del Brasil; Portuguese: Jornada dos Vassalos) was a Spanish-Portuguese military expedition in 1625 to retake the city of Salvador in Brazil from the forces of the Dutch West India Company (WIC).,"['the recapture of bahia spanish jornada del brasil portuguese jornada dos vassalos was a spanish-portuguese military expedition in 1625 to retake the city of salvador in brazil from the', 'the recapture of bahia portuguese jornada del brasil spanish jornada dos vassalos was a spanish-portuguese military expedition in 1625 to retake the city of salvador in brazil from the forces of the dutch']",the recapture of bahia spanish jornada del brasil portuguese jornada dos vassalos was a spanish-portuguese military expedition in 1625 to retake the city of [MASK] in brazil from the,the recapture of bahia portuguese jornada del brasil spanish jornada dos vassalos was a spanish-portuguese military expedition in 1625 to retake the city of [MASK] in brazil from the forces of the dutch,
36,Oakland County,The capital of [X] is [Y] .,Pontiac,"He moved to [MASK], in March 1849 and was prosecuting attorney for Oakland County in 1853 and 1854.","He moved to Pontiac, in March 1849 and was prosecuting attorney for Oakland County in 1853 and 1854.","['he moved to pontiac in march 1849 and in 1853 and 1854 was prosecuting attorney for oakland county', 'in march 1849 he moved to pontiac and was prosecuting attorney for oakland county in 1853 and 1854', 'he moved to pontiac in march 1849 and was prosecuting attorney for oakland county in 1853 and 1854']",he moved to [MASK] in march 1849 and in 1853 and 1854 was prosecuting attorney for oakland county,in march 1849 he moved to [MASK] and was prosecuting attorney for oakland county in 1853 and 1854,he moved to [MASK] in march 1849 and was prosecuting attorney for oakland county in 1853 and 1854
37,Second French Empire,The capital of [X] is [Y] .,Paris,"The Treaty of [MASK] of 1856 settled the Crimean War between Russia and an alliance of the Ottoman Empire, the British Empire, Second French Empire, and the Kingdom of Sardinia.","The Treaty of Paris of 1856 settled the Crimean War between Russia and an alliance of the Ottoman Empire, the British Empire, Second French Empire, and the Kingdom of Sardinia.",,,,
38,Pueblo County,The capital of [X] is [Y] .,Pueblo,The Society is open to all who wish to help preserve the aviation history in Pueblo County and [MASK].,The Society is open to all who wish to help preserve the aviation history in Pueblo County and Pueblo.,"['the society is open to all who wish to contribute to the preservation of aviation history in pueblo county and pueblo', 'the society is open to all who wish to help preserve the aviation history of pueblo county and pueblo']",the society is open to all who wish to contribute to the preservation of aviation history in [MASK] county and pueblo,the society is open to all who wish to help preserve the aviation history of [MASK] county and pueblo,
39,Sur Empire,The capital of [X] is [Y] .,Delhi,"It is said that Sher Shah Suri on his way to [MASK] left some of his family members here, due to which the name of this village became Surizai, its descendants claims that they are from Suri clan of Pushtoons.","It is said that Sher Shah Suri on his way to Delhi left some of his family members here, due to which the name of this village became Surizai, its descendants claims that they are from Suri clan of Pushtoons.","['It is said that Sher Shah Suri on his way to Delhi left some of his family members here, due to which the name of this village became Surizai, its descendants claims that they are from Suri clan of Pushtoons.']","It is said that Sher Shah Suri on his way to Delhi left some of his family members here, due to which the name of this village became Surizai, its descendants claims that they are from Suri clan of Pushtoons.",,
40,Cambridgeshire,The capital of [X] is [Y] .,Cambridge,"Coton is a small village and civil parish about two miles (about 3 km) west of [MASK] in Cambridgeshire, England and about the same distance east of the Prime Meridian.","Coton is a small village and civil parish about two miles (about 3 km) west of Cambridge in Cambridgeshire, England and about the same distance east of the Prime Meridian.","['coton is a small village and civil parish about two miles west of cambridge in cambridgeshire england and about the same distance east of the prime meridian', 'coton is a small village and civil parish about two miles about 3 km west of cambridge in cambridgeshire england and about the same distance east of the prime meridian']",coton is a small village and civil parish about two miles west of [MASK] in cambridgeshire england and about the same distance east of the prime meridian,coton is a small village and civil parish about two miles about 3 km west of [MASK] in cambridgeshire england and about the same distance east of the prime meridian,
41,Lund Municipality,The capital of [X] is [Y] .,Lund,"Västra Hoby Church is a church in Torn Parish, Lund Municipality, situated to the north of [MASK] in Sweden.","Västra Hoby Church is a church in Torn Parish, Lund Municipality, situated to the north of Lund in Sweden.","['vstra hoby church is a church in torn parish in the municipality of lund located north of lund in sweden', 'vstra hoby church is a church in torn parish in lund municipality situated to the north of lund in sweden']",vstra hoby church is a church in torn parish in the municipality of [MASK] located north of lund in sweden,vstra hoby church is a church in torn parish in [MASK] municipality situated to the north of lund in sweden,
42,Alamance County,The capital of [X] is [Y] .,Graham,"Alamance Community College is a community college located in Haw River, NC with a secondary campus located in [MASK], serving the area of Alamance County, NC.","Alamance Community College is a community college located in Haw River, NC with a secondary campus located in Graham, serving the area of Alamance County, NC.","['Alamance Community College is a community college located in Haw River, NC with a secondary campus located in Graham, serving the area of Alamance County, NC.']","Alamance Community College is a community college located in Haw River, NC with a secondary campus located in Graham, serving the area of Alamance County, NC.",,
