,sub_label,template,obj_label,masked_sentence,filled_sentence,T5_paraphrased_filled_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
10,European Union,The official language of [X] is [Y] .,Slovene,It is the first language of about 2.1 million[citation needed] [MASK] people and is one of the 24 official and working languages of the European Union.,It is the first language of about 2.1 million[citation needed] Slovene people and is one of the 24 official and working languages of the European Union.,"['Among the 24 official and working languages of the European Union, Slovene is the first language of roughly 2.1 million people.', 'The Slovene language is the first language of approximately 2.1 million people and is one of the 24 official and working languages of both the European Union and other countries.', 'It is one of the 24 official and working languages of Slovenia[citation needed], spoken as the first language by around 2.1 million Slovene people.', 'With approximately 2.1 million Slovene people, the Slovane language is the first language and is one of the 24 official and working languages of both the European Union and other countries.']","Among the 24 official and working languages of the European Union, [MASK] is the first language of roughly 2.1 million people.",The [MASK] language is the first language of approximately 2.1 million people and is one of the 24 official and working languages of both the European Union and other countries.,"It is one of the 24 official and working languages of Slovenia[citation needed], spoken as the first language by around 2.1 million [MASK] people.","With approximately 2.1 million [MASK] people, the Slovane language is the first language and is one of the 24 official and working languages of both the European Union and other countries."
11,Haiti,The official language of [X] is [Y] .,French,"Haiti (/ˈheɪti/; [MASK]: Haïti [a.iti]; Haitian Creole: Ayiti [ajiti]), officially the Republic of Haiti (French: République d'Haïti; Haitian Creole: Repiblik Ayiti), is a sovereign state in the Western Hemisphere (North America).","Haiti (/ˈheɪti/; French: Haïti [a.iti]; Haitian Creole: Ayiti [ajiti]), officially the Republic of Haiti (French: République d'Haïti; Haitian Creole: Repiblik Ayiti), is a sovereign state in the Western Hemisphere (North America).","['In the Western Hemisphere (North America), Haiti is a sovereign state known as the Republic of Haiti or ""Hati"" in French.', 'The Republic of Haiti (Renaissance d\'Hati; Haitian Creole: Repiblik Ayiti) is a sovereign state situated in the Western Hemisphere (North America) and is commonly referred to as ""the Republic"".', 'Known as the Republic of Haiti or Hati (/heto/), it is a sovereign country located in the Western Hemisphere (North America).', 'The Republic of Haiti, also known as the Republic or Republic Of Haiti in French and English, is a sovereign state situated in the Western Hemisphere (North America).']","In the Western Hemisphere (North America), Haiti is a sovereign state known as the Republic of Haiti or ""Hati"" in [MASK].","The Republic of Haiti (Renaissance d'Hati; Haitian Creole: Repiblik Ayiti) is a sovereign state situated in the Western Hemisphere (North America) and is commonly referred to as ""the Republic"".","Known as the Republic of Haiti or Hati (/heto/), it is a sovereign country located in the Western Hemisphere (North America).","The Republic of Haiti, also known as the Republic or Republic Of Haiti in French and [MASK], is a sovereign state situated in the Western Hemisphere (North America)."
12,Union of South Africa,The official language of [X] is [Y] .,Dutch,"Willem Eduard Bok, Jr., (Pretoria, South African Republic 1 January 1880 – Pretoria, Union of South Africa, 29 October 1956) was a South African lawyer, statesman and judge of [MASK] descent.","Willem Eduard Bok, Jr., (Pretoria, South African Republic 1 January 1880 – Pretoria, Union of South Africa, 29 October 1956) was a South African lawyer, statesman and judge of Dutch descent.","['Willem Eduard Bok, Jr. was a Dutch-born judge, judgesman, and lawyer from Pretoria, South Africa between 1880 and 1956.', 'The South African judge, lawyer and statesman Willem Eduard Bok, Jr. (born 1 January 1880 in Pretoria, South Africa but died 29 October 1956) was of Dutch origin.', 'A Dutchman of Dutch origin, Willem Eduard Bok, Jr. was a South African judge, statesman, and lawyer from Pretoria, South Africa on 1 January 1880 until his death in 1997.', 'Dutch-born jurist, judges and lawyers, Willem Eduard Bok III (1880 – 29 October 1956) was born in Pretoria, South Africa but later moved to the United States as a statesman and lawyer.']","Willem Eduard Bok, Jr. was a [MASK]-born judge, judgesman, and lawyer from Pretoria, South Africa between 1880 and 1956.","The South African judge, lawyer and statesman Willem Eduard Bok, Jr. (born 1 January 1880 in Pretoria, South Africa but died 29 October 1956) was of [MASK] origin.","A Dutchman of [MASK] origin, Willem Eduard Bok, Jr. was a South African judge, statesman, and lawyer from Pretoria, South Africa on 1 January 1880 until his death in 1997.","[MASK]-born jurist, judges and lawyers, Willem Eduard Bok III (1880 – 29 October 1956) was born in Pretoria, South Africa but later moved to the United States as a statesman and lawyer."
13,Val d'Aran,The official language of [X] is [Y] .,Catalan,"It is the [MASK] referent of the Spanish Socialist Workers' Party (PSOE), and its Aranese section is Unity of Aran.","It is the Catalan referent of the Spanish Socialist Workers' Party (PSOE), and its Aranese section is Unity of Aran.","[""The Spanish Socialist Workers' Party (PSOE) uses Catalan as its reference, and its Aranese division is known as Unity of Aran."", ""Unity of Aran is the Aranese division of the Spanish Socialist Workers' Party (PSOE) and the party name is Catalan."", 'The PSOE uses Catalan as its name, and its Aranese division is known as Unity of Aran.', ""Catalan is the language of choice for the Spanish Socialist Workers' Party (PSOE), and its Aranese division belongs to Unity Of Aran.""]","The Catalan Socialist Workers' Party (PSOE) uses [MASK] as its reference, and its Aranese division is known as Unity of Aran.",Unity of Aran is the Aranese division of the Catalan Socialist Workers' Party (PSOE) and the party name is [MASK].,"The PSOE uses [MASK] as its name, and its Aranese division is known as Unity of Aran.","Catalan is the language of choice for the [MASK] Socialist Workers' Party (PSOE), and its Aranese division belongs to Unity Of Aran."
14,Bellinzona,The official language of [X] is [Y] .,Italian,"The district of Bellinzona ([MASK]: Distretto di Bellinzona also called Belinzonese) is a district of Canton Ticino, Switzerland.","The district of Bellinzona (Italian: Distretto di Bellinzona also called Belinzonese) is a district of Canton Ticino, Switzerland.","['The district of Bellinzona, also known as Belinzonese in Italy, is situated in Canton Ticino, Switzerland.', 'Bellinzona, also known as the district of Bellerinzon and Belinzonese in Italy, is a region situated in Canton Ticino, Switzerland.', 'Canton Ticino in Switzerland is home to Bellinzona, a district known as the Distretto di Bellinerzon and Belinzonese in Italian.', 'Bellinzona, referred to as the district of Belliani or Belinzonese in Italian, is a region situated in Canton Ticino, Switzerland.']","The district of Bellinzona, also known as Belinzonese in Italy, is situated in Canton Ticino, Switzerland.","Bellinzona, also known as the district of Bellerinzon and Belinzonese in Italy, is a region situated in Canton Ticino, Switzerland.","Canton Ticino in Switzerland is home to Bellinzona, a district known as the Distretto di Bellinerzon and Belinzonese in [MASK].","Bellinzona, referred to as the district of Belliani or Belinzonese in [MASK], is a region situated in Canton Ticino, Switzerland."
15,Kronoby,The official language of [X] is [Y] .,Swedish,"Kokkola-Pietarsaari Airport ([MASK]: Karleby-Jakobstad flygplats, Finnish: Kokkola-Pietarsaaren lentoasema; IATA: KOK, ICAO: EFKK) is located in Kronoby, Finland, about 19 kilometres (12 mi) south of Kokkola city centre and 30 kilometres (19 mi) north-east of Jakobstad city centre.","Kokkola-Pietarsaari Airport (Swedish: Karleby-Jakobstad flygplats, Finnish: Kokkola-Pietarsaaren lentoasema; IATA: KOK, ICAO: EFKK) is located in Kronoby, Finland, about 19 kilometres (12 mi) south of Kokkola city centre and 30 kilometres (19 mi) north-east of Jakobstad city centre.","['Karleby-Jakobsaar flygplats or Kokkola-Pietarsarearen lentoasema is the airport in Kronoby, Finland, located approximately 19 kilometers (12 miles) south of Kockolá city centre and 30 kilometers (19 miles] north-east of Jakobstad city center.', 'The airport in Kronoby, Finland, is known as Kokkola-Pietarsaari Airport (Swedish: Karleby-Jakobstad flygplats; Finnish: Kopkolawa-Podestoasema; IATA: KOK, ICAO: EFKK) and is located about 19 kilometers (12 mi) south of Kokila city centre. It is also located 30 kilometers (19 mi), north-east of Jakobstariad city center.', 'In Kronoby, Finland (Swedish: Karleby-Jakobstad flygplats; IATA: KOK / ICAO: EFKK), the airport is about 19 kilometers (12 mi) south of Kokkola city centre and 30 kilometers (19 mi] north-east of Jakobstád city center.', 'Located approximately 19 kilometers (12 mi) south of Kokkola city centre and 30 kilometers (19 mi), north-east of Jakobstad city center, is the airport known as Kopkolata-Pietarsaari (Swedish for Karleby-Jakobstar flygplats or Koklakland-Finnekook for Koki-Podetaristaara; IATA: KOK, ICAO for EFKK).']","Karleby-Jakobsaar flygplats or Kokkola-Pietarsarearen lentoasema is the airport in Kronoby, Finland, located approximately 19 kilometers (12 miles) south of Kockolá city centre and 30 kilometers (19 miles] north-east of Jakobstad city center.","The airport in Kronoby, Finland, is known as Kokkola-Pietarsaari Airport (Swedish: Karleby-Jakobstad flygplats; [MASK]: Kopkolawa-Podestoasema; IATA: KOK, ICAO: EFKK) and is located about 19 kilometers (12 mi) south of Kokila city centre. It is also located 30 kilometers (19 mi), north-east of Jakobstariad city center.","In Kronoby, Finland ([MASK]: Karleby-Jakobstad flygplats; IATA: KOK / ICAO: EFKK), the airport is about 19 kilometers (12 mi) south of Kokkola city centre and 30 kilometers (19 mi] north-east of Jakobstád city center.","Located approximately 19 kilometers (12 mi) south of Kokkola city centre and 30 kilometers (19 mi), north-east of Jakobstad city center, is the airport known as Kopkolata-Pietarsaari ([MASK] for Karleby-Jakobstar flygplats or Koklakland-Finnekook for Koki-Podetaristaara; IATA: KOK, ICAO for EFKK)."
16,Shanghai Cooperation Organisation,The official language of [X] is [Y] .,Russian,"Aktau Airport (Kazakh: Ақтау халықаралық әуежайы, [MASK]: Международный аэропорт Актау) is an airport in AktauKazakhstan (IATA: SCO, ICAO: UATE).","Aktau Airport (Kazakh: Ақтау халықаралық әуежайы, Russian: Международный аэропорт Актау) is an airport in AktauKazakhstan (IATA: SCO, ICAO: UATE).","['The airport in AktauKazakhstan (IATA: SCO, ICAO: UATE) is known as the ACTAU Airport and is located in Karapovsk.', 'In AktauKazakhstan, the airport known as ""Aktauer Airport"" (IATA: SCO, ICAO: UATE) serves as a gateway to various cities in the country.', 'Aktau Airport in AK is an airport in the state of ACTAUKARABazakhstan (IATA: SCO, ICAO: UATE).', 'Known as the ""Aktau"" airport in AktauerKazakhstan (IATA: SCO, ICAO: UATE), it is one of the two airports in the country.']","The airport in AktauKazakhstan (IATA: SCO, ICAO: UATE) is known as the ACTAU Airport and is located in Karapovsk.","In AktauKazakhstan, the airport known as ""Aktauer Airport"" (IATA: SCO, ICAO: UATE) serves as a gateway to various cities in the country.","Aktau Airport in AK is an airport in the state of ACTAUKARABazakhstan (IATA: SCO, ICAO: UATE).","Known as the ""Aktau"" airport in AktauerKazakhstan (IATA: SCO, ICAO: UATE), it is one of the two airports in the country."
17,Stellaland,The official language of [X] is [Y] .,Dutch,"The Republic of Stellaland ([MASK]: Republiek Stellaland) was from 1882 to 1883 a Boer republic located in an area of Bechuanaland (now Botswana), west of the Transvaal.","The Republic of Stellaland (Dutch: Republiek Stellaland) was from 1882 to 1883 a Boer republic located in an area of Bechuanaland (now Botswana), west of the Transvaal.","['A Boer republic named Republiek Stellaland existed in the region of Bechuanald, west of the Transvaal, and lasted from 1882 to 1883.', 'The Republic of Stellaland, a Boer republic that existed from 1882 to 1883, was located in the western region of Bechuanalund, which is now Botswana. It was known as Republiek Stellalshal.', 'From 1882 to 1893, the Boer republic known as the Republic of Stellaland was situated in an area west of the Transvaal, specifically in the Bechuanal part of Botswana.', ""Between 1882 and 1883, the Republic of Stellaland was a Boer republic that existed in an area to its west from the Transvaals, known as the Bechuanald (today's Botswana).""]","A Boer republic named Republiek Stellaland existed in the region of Bechuanald, west of the Transvaal, and lasted from 1882 to 1883.","The Republic of Stellaland, a Boer republic that existed from 1882 to 1883, was located in the western region of Bechuanalund, which is now Botswana. It was known as Republiek Stellalshal.","From 1882 to 1893, the Boer republic known as the Republic of Stellaland was situated in an area west of the Transvaal, specifically in the Bechuanal part of Botswana.","Between 1882 and 1883, the Republic of Stellaland was a Boer republic that existed in an area to its west from the Transvaals, known as the Bechuanald (today's Botswana)."
18,Biel/Bienne,The official language of [X] is [Y] .,French,"EHC Biel is a professional ice hockey club based in the bilingual city of Biel/Bienne, Switzerland and plays in the National League A. Since the city of Biel is completely bilingual, alongside the German name EHC Biel (Abbr: EHCB) the team also has a [MASK] name called HC Bienne (Abbr: HCB).","EHC Biel is a professional ice hockey club based in the bilingual city of Biel/Bienne, Switzerland and plays in the National League A. Since the city of Biel is completely bilingual, alongside the German name EHC Biel (Abbr: EHCB) the team also has a French name called HC Bienne (Abbr: HCB).","['EHC Biel, a professional ice hockey team, is situated in the bilingual city of Biézecca, Switzerland and competes in leagues within the National League A. It also has Xuanyi (Quicks Quest) as well as Hull City Ice Hockey Club.', 'The National League A team known as EHC Biel is based in the bilingual city of Biézeccain and has two official names: EH Biels (German: Enciclopedia) for German, and HC Bienne (French: HBCP) to represent Switzerland.', ""HC Biel, an ice hockey team from Switzerland's bilingual city of Biézeccain, is a member of the National League A. It also has Xuangzhou (HCB) as one of its international teams, and plays in the French league HL."", 'EHC Biel is a professional Swiss ice hockey team that operates out of the bilingual city of Biélique in Switzerland, playing in the National League A. The team has two names: EH Biell (German:EHCB) and HC Bienne (French:HCCB).']","EHC Biel, a professional ice hockey team, is situated in the bilingual city of Biézecca, Switzerland and competes in leagues within the National League A. It also has Xuanyi (Quicks Quest) as well as Hull City Ice Hockey Club.","The National League A team known as EHC Biel is based in the bilingual city of Biézeccain and has two official names: EH Biels (French: Enciclopedia) for French, and HC Bienne ([MASK]: HBCP) to represent Switzerland.","HC Biel, an ice hockey team from Switzerland's bilingual city of Biézeccain, is a member of the National League A. It also has Xuangzhou (HCB) as one of its international teams, and plays in the [MASK] league HL.","EHC Biel is a professional Swiss ice hockey team that operates out of the bilingual city of Biélique in Switzerland, playing in the National League A. The team has two names: EH Biell (French:EHCB) and HC Bienne ([MASK]:HCCB)."
19,Sotkamo,The official language of [X] is [Y] .,Finnish,The river drains a chain of lakes that originates in the municipalities of Kuhmo and Sotkamo in Kainuu ([MASK]: Sotkamon reitti).,The river drains a chain of lakes that originates in the municipalities of Kuhmo and Sotkamo in Kainuu (Finnish: Sotkamon reitti).,"['The river flows into a series of lakes that originate in the towns of Kuhmo and Sotkamo in Kainuu (Finnish: Sotleron reitti).', 'In the towns of Kuhmo and Sotkamo, it drains onto a series of lakes that originate in Kainuu (Finnish: Sotleron reitti).', 'A series of lakes that drain the river originates in the towns of Kuhmo and Sotkamo in KainuU (Finnish: Sotleron reitti).', 'It flows through a series of lakes, which begin at Kuhmo and Sotkamo municipalities in KainuU (Finnish: Sotleron reitti).']",The river flows into a series of lakes that originate in the towns of Kuhmo and Sotkamo in Kainuu ([MASK]: Sotleron reitti).,"In the towns of Kuhmo and Sotkamo, it drains onto a series of lakes that originate in Kainuu ([MASK]: Sotleron reitti).",A series of lakes that drain the river originates in the towns of Kuhmo and Sotkamo in KainuU ([MASK]: Sotleron reitti).,"It flows through a series of lakes, which begin at Kuhmo and Sotkamo municipalities in KainuU ([MASK]: Sotleron reitti)."
