,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
10,European Union,The official language of [X] is [Y] .,Slovene,It is the first language of about 2.1 million[citation needed] [MASK] people and is one of the 24 official and working languages of the European Union.,It is the first language of about 2.1 million[citation needed] Slovene people and is one of the 24 official and working languages of the European Union.,,,,
11,Haiti,The official language of [X] is [Y] .,French,"Haiti (/ˈheɪti/; [MASK]: Haïti [a.iti]; Haitian Creole: Ayiti [ajiti]), officially the Republic of Haiti (French: République d'Haïti; Haitian Creole: Repiblik Ayiti), is a sovereign state in the Western Hemisphere (North America).","Haiti (/ˈheɪti/; French: Haïti [a.iti]; Haitian Creole: Ayiti [ajiti]), officially the Republic of Haiti (French: République d'Haïti; Haitian Creole: Repiblik Ayiti), is a sovereign state in the Western Hemisphere (North America).",,,,
12,Union of South Africa,The official language of [X] is [Y] .,Dutch,"Willem Eduard Bok, Jr., (Pretoria, South African Republic 1 January 1880 – Pretoria, Union of South Africa, 29 October 1956) was a South African lawyer, statesman and judge of [MASK] descent.","Willem Eduard Bok, Jr., (Pretoria, South African Republic 1 January 1880 – Pretoria, Union of South Africa, 29 October 1956) was a South African lawyer, statesman and judge of Dutch descent.","['Willem Eduard Bok, Jr., (Pretoria, South African Republic 1 January 1880 – Pretoria, Union of South Africa, 29 October 1956) was a South African lawyer, statesman and judge of Dutch descent.']","Willem Eduard Bok, Jr., (Pretoria, South African Republic 1 January 1880 – Pretoria, Union of South Africa, 29 October 1956) was a South African lawyer, statesman and judge of Dutch descent.",,
13,Val d'Aran,The official language of [X] is [Y] .,Catalan,"It is the [MASK] referent of the Spanish Socialist Workers' Party (PSOE), and its Aranese section is Unity of Aran.","It is the Catalan referent of the Spanish Socialist Workers' Party (PSOE), and its Aranese section is Unity of Aran.","[""It is the Catalan referent of the Spanish Socialist Workers' Party (PSOE), and its Aranese section is Unity of Aran.""]","It is the Catalan referent of the Spanish Socialist Workers' Party (PSOE), and its Aranese section is Unity of Aran.",,
14,Bellinzona,The official language of [X] is [Y] .,Italian,"The district of Bellinzona ([MASK]: Distretto di Bellinzona also called Belinzonese) is a district of Canton Ticino, Switzerland.","The district of Bellinzona (Italian: Distretto di Bellinzona also called Belinzonese) is a district of Canton Ticino, Switzerland.","['The district of Bellinzona (Italian: Distretto di Bellinzona also called Belinzonese) is a district of Canton Ticino, Switzerland.']","The district of Bellinzona (Italian: Distretto di Bellinzona also called Belinzonese) is a district of Canton Ticino, Switzerland.",,
15,Kronoby,The official language of [X] is [Y] .,Swedish,"Kokkola-Pietarsaari Airport ([MASK]: Karleby-Jakobstad flygplats, Finnish: Kokkola-Pietarsaaren lentoasema; IATA: KOK, ICAO: EFKK) is located in Kronoby, Finland, about 19 kilometres (12 mi) south of Kokkola city centre and 30 kilometres (19 mi) north-east of Jakobstad city centre.","Kokkola-Pietarsaari Airport (Swedish: Karleby-Jakobstad flygplats, Finnish: Kokkola-Pietarsaaren lentoasema; IATA: KOK, ICAO: EFKK) is located in Kronoby, Finland, about 19 kilometres (12 mi) south of Kokkola city centre and 30 kilometres (19 mi) north-east of Jakobstad city centre.",,,,
16,Shanghai Cooperation Organisation,The official language of [X] is [Y] .,Russian,"Aktau Airport (Kazakh: Ақтау халықаралық әуежайы, [MASK]: Международный аэропорт Актау) is an airport in AktauKazakhstan (IATA: SCO, ICAO: UATE).","Aktau Airport (Kazakh: Ақтау халықаралық әуежайы, Russian: Международный аэропорт Актау) is an airport in AktauKazakhstan (IATA: SCO, ICAO: UATE).","['Aktau Airport (Kazakh: Ақтау халықаралық әуежайы, Russian: Международный аэропорт Актау) is an airport in AktauKazakhstan (IATA: SCO, ICAO: UATE).']","Aktau Airport (Kazakh: Ақтау халықаралық әуежайы, Russian: Международный аэропорт Актау) is an airport in AktauKazakhstan (IATA: SCO, ICAO: UATE).",,
17,Stellaland,The official language of [X] is [Y] .,Dutch,"The Republic of Stellaland ([MASK]: Republiek Stellaland) was from 1882 to 1883 a Boer republic located in an area of Bechuanaland (now Botswana), west of the Transvaal.","The Republic of Stellaland (Dutch: Republiek Stellaland) was from 1882 to 1883 a Boer republic located in an area of Bechuanaland (now Botswana), west of the Transvaal.","['the republic of stellaland dutch republiek stellaland was from 1882 to 1883 a boer republic located in a area of bechuanaland now botswana west of transvaal', 'the republic of stellaland dutch republiek stellaland was from 1882 to 1883 a boer republic located in an area of bechuanaland now botswana west of transvaal']",the republic of stellaland [MASK] republiek stellaland was from 1882 to 1883 a boer republic located in a area of bechuanaland now botswana west of transvaal,the republic of stellaland [MASK] republiek stellaland was from 1882 to 1883 a boer republic located in an area of bechuanaland now botswana west of transvaal,
18,Biel/Bienne,The official language of [X] is [Y] .,French,"EHC Biel is a professional ice hockey club based in the bilingual city of Biel/Bienne, Switzerland and plays in the National League A. Since the city of Biel is completely bilingual, alongside the German name EHC Biel (Abbr: EHCB) the team also has a [MASK] name called HC Bienne (Abbr: HCB).","EHC Biel is a professional ice hockey club based in the bilingual city of Biel/Bienne, Switzerland and plays in the National League A. Since the city of Biel is completely bilingual, alongside the German name EHC Biel (Abbr: EHCB) the team also has a French name called HC Bienne (Abbr: HCB).","['EHC Biel is a professional ice hockey club based in the bilingual city of Biel/Bienne, Switzerland and plays in the National League A. Since the city of Biel is completely bilingual, alongside the German name EHC Biel (Abbr: EHCB) the team also has a French name called HC Bienne (Abbr: HCB).']","EHC Biel is a professional ice hockey club based in the bilingual city of Biel/Bienne, Switzerland and plays in the National League A. Since the city of Biel is completely bilingual, alongside the German name EHC Biel (Abbr: EHCB) the team also has a French name called HC Bienne (Abbr: HCB).",,
19,Sotkamo,The official language of [X] is [Y] .,Finnish,The river drains a chain of lakes that originates in the municipalities of Kuhmo and Sotkamo in Kainuu ([MASK]: Sotkamon reitti).,The river drains a chain of lakes that originates in the municipalities of Kuhmo and Sotkamo in Kainuu (Finnish: Sotkamon reitti).,['the river drains a chain of lakes that originates in the municipalities of kuhmo and sotkamo in kainuu finnish sotkamon reitti'],the river drains a chain of lakes that originates in the municipalities of kuhmo and sotkamo in kainuu [MASK] sotkamon reitti,,
20,Wyoming,The official language of [X] is [Y] .,English,"Charles Kingston (November 9, 1856 – July 20, 1944) was an [MASK] Mormon convert and a prominent leader of The Church of Jesus Christ of Latter-day Saints in southwestern Wyoming.","Charles Kingston (November 9, 1856 – July 20, 1944) was an English Mormon convert and a prominent leader of The Church of Jesus Christ of Latter-day Saints in southwestern Wyoming.","['Charles Kingston (November 9, 1856 – July 20, 1944) was an English Mormon convert and a prominent leader of The Church of Jesus Christ of Latter-day Saints in southwestern Wyoming.']","Charles Kingston (November 9, 1856 – July 20, 1944) was an English Mormon convert and a prominent leader of The Church of Jesus Christ of Latter-day Saints in southwestern Wyoming.",,
21,Vesanto,The official language of [X] is [Y] .,Finnish,Aira Tellervo Kemiläinen (4 August 1919 in Kuopio-10 July 2006 in Vesanto) was a [MASK] historian who received her Ph.D.,Aira Tellervo Kemiläinen (4 August 1919 in Kuopio-10 July 2006 in Vesanto) was a Finnish historian who received her Ph.D.,['Aira Tellervo Kemiläinen (4 August 1919 in Kuopio-10 July 2006 in Vesanto) was a Finnish historian who received her Ph.D.'],Aira Tellervo Kemiläinen (4 August 1919 in Kuopio-10 July 2006 in Vesanto) was a Finnish historian who received her Ph.D.,,
22,International Association of Athletics Federations,The official language of [X] is [Y] .,French,The [MASK] newspaper L'Équipe reported that the IAAF was recommending a suspension of two to four years for the doping offense.,The French newspaper L'Équipe reported that the IAAF was recommending a suspension of two to four years for the doping offense.,"[""the french newspaper l'quipe reported that the iaaf recommended a two to four years suspension for the doping offense"", ""the french paper l'quipe reported that the iaaf recommended a suspension of two to four years for the alleged doping offence"", ""the french newspaper l'quipe reported that the iaaf would recommend a suspension of 2 to 4 years for the doping offense""]",the [MASK] newspaper l'quipe reported that the iaaf recommended a two to four years suspension for the doping offense,the [MASK] paper l'quipe reported that the iaaf recommended a suspension of two to four years for the alleged doping offence,the [MASK] newspaper l'quipe reported that the iaaf would recommend a suspension of 2 to 4 years for the doping offense
23,Odessa Oblast,The official language of [X] is [Y] .,Russian,"Rouslan Borysovych Bodelan (Ukrainian: Руслан Борисович Боделан, [MASK]: Руслан Борисович Боделан; born 4 April 1942 in Berezivka village, Balta Raion, Odessa Oblast) is a former Ukrainian politician and statesman.","Rouslan Borysovych Bodelan (Ukrainian: Руслан Борисович Боделан, Russian: Руслан Борисович Боделан; born 4 April 1942 in Berezivka village, Balta Raion, Odessa Oblast) is a former Ukrainian politician and statesman.","['Rouslan Borysovych Bodelan (Ukrainian: Руслан Борисович Боделан, Russian: Руслан Борисович Боделан; born 4 April 1942 in Berezivka village, Balta Raion, Odessa Oblast) is a former Ukrainian politician and statesman.']","Rouslan Borysovych Bodelan (Ukrainian: Руслан Борисович Боделан, Russian: Руслан Борисович Боделан; born 4 April 1942 in Berezivka village, Balta Raion, Odessa Oblast) is a former Ukrainian politician and statesman.",,
24,Holy See,The official language of [X] is [Y] .,Latin,"[MASK] American liberation theology met opposition in the United States, which accused it of using ""Marxist concepts"", and led to admonishment by the Vatican's Congregation for the Doctrine of the Faith (CDF) in 1984 and 1986.","Latin American liberation theology met opposition in the United States, which accused it of using ""Marxist concepts"", and led to admonishment by the Vatican's Congregation for the Doctrine of the Faith (CDF) in 1984 and 1986.","[""latin american liberation theology met opposition in the united states which accused it of using marxist concepts and led to admonishment in 1984 and 1986 by the vatican's congregation for the doctrine of the faith""]",[MASK] american liberation theology met opposition in the united states which accused it of using marxist concepts and led to admonishment in 1984 and 1986 by the vatican's congregation for the doctrine of the faith,,
25,Parikkala,The official language of [X] is [Y] .,Finnish,"Heikki Repo (26 April 1871, Parikkala - 30 July 1931) was a [MASK] farmer, bank director and politician.","Heikki Repo (26 April 1871, Parikkala - 30 July 1931) was a Finnish farmer, bank director and politician.","['Heikki Repo (26 April 1871, Parikkala - 30 July 1931) was a Finnish farmer, bank director and politician.']","Heikki Repo (26 April 1871, Parikkala - 30 July 1931) was a Finnish farmer, bank director and politician.",,
26,Kerava,The official language of [X] is [Y] .,Finnish,Currently he is a sports teacher in a [MASK] mid-school in Kerava.,Currently he is a sports teacher in a Finnish mid-school in Kerava.,"['he is currently a sports teacher in a finnish medium-school in kerava', 'currently he is a sports teacher in a finnish middle school in kerava']",he is currently a sports teacher in a [MASK] medium-school in kerava,currently he is a sports teacher in a [MASK] middle school in kerava,
27,Uruguay,The official language of [X] is [Y] .,Spanish,"Uruguay (/ˈjʊərəɡwaɪ/; [uɾuˈɣwai]), officially the Eastern Republic of Uruguay ([MASK]: República Oriental del Uruguay), is a country in the southeastern region of South America.","Uruguay (/ˈjʊərəɡwaɪ/; [uɾuˈɣwai]), officially the Eastern Republic of Uruguay (Spanish: República Oriental del Uruguay), is a country in the southeastern region of South America.","['Uruguay (/ˈjʊərəɡwaɪ/; [uɾuˈɣwai]), officially the Eastern Republic of Uruguay (Spanish: República Oriental del Uruguay), is a country in the southeastern region of South America.']","Uruguay (/ˈjʊərəɡwaɪ/; [uɾuˈɣwai]), officially the Eastern Republic of Uruguay (Spanish: República Oriental del Uruguay), is a country in the southeastern region of South America.",,
28,Jamshedpur,The official language of [X] is [Y] .,Hindi,"The Tatanagar Railway Station ([MASK]: टाटानगर रेलवे स्टेशन), station code TATA, is the main railway station serving the city of Jamshedpur in the Indian state of Jharkhand.","The Tatanagar Railway Station (Hindi: टाटानगर रेलवे स्टेशन), station code TATA, is the main railway station serving the city of Jamshedpur in the Indian state of Jharkhand.","['The Tatanagar Railway Station (Hindi: टाटानगर रेलवे स्टेशन), station code TATA, is the main railway station serving the city of Jamshedpur in the Indian state of Jharkhand.']","The Tatanagar Railway Station (Hindi: टाटानगर रेलवे स्टेशन), station code TATA, is the main railway station serving the city of Jamshedpur in the Indian state of Jharkhand.",,
29,Molina de Segura,The official language of [X] is [Y] .,Spanish,"Virginia Martínez (1979 in Molina de Segura, Región de Murcia) is a [MASK] conductor.","Virginia Martínez (1979 in Molina de Segura, Región de Murcia) is a Spanish conductor.","['Virginia Martínez (1979 in Molina de Segura, Región de Murcia) is a Spanish conductor.']","Virginia Martínez (1979 in Molina de Segura, Región de Murcia) is a Spanish conductor.",,
30,South Ossetia,The official language of [X] is [Y] .,Georgian,While currently the [MASK] government recognizes Abkhazia as autonomous within Georgia they do not recognize South Ossetia in any form.,While currently the Georgian government recognizes Abkhazia as autonomous within Georgia they do not recognize South Ossetia in any form.,"['while the current georgian government recognizes abkhazia as independent within georgia they do not recognize in any form south ossetia', 'while currently the georgian government recognizes abkhazia as autonomous within georgia they do not recognize south ossetia in any form']",while the current [MASK] government recognizes abkhazia as independent within georgia they do not recognize in any form south ossetia,while currently the [MASK] government recognizes abkhazia as autonomous within georgia they do not recognize south ossetia in any form,
31,Cambodia,The official language of [X] is [Y] .,Khmer,"Of these languages, only Vietnamese, [MASK], and Mon have a long-established recorded history, and only Vietnamese and Khmer have official status (in Vietnam and Cambodia, respectively).","Of these languages, only Vietnamese, Khmer, and Mon have a long-established recorded history, and only Vietnamese and Khmer have official status (in Vietnam and Cambodia, respectively).","['Of these languages, only Vietnamese, Khmer, and Mon have a long-established recorded history, and only Vietnamese and Khmer have official status (in Vietnam and Cambodia, respectively).']","Of these languages, only Vietnamese, Khmer, and Mon have a long-established recorded history, and only Vietnamese and Khmer have official status (in Vietnam and Cambodia, respectively).",,
32,Porrentruy,The official language of [X] is [Y] .,French,"It starts in Porrentruy in the north near the [MASK] border, and cuts south over the Alps to finish in Lugano.","It starts in Porrentruy in the north near the French border, and cuts south over the Alps to finish in Lugano.","['it starts at porrentruy near the french border in the north and goes south over the alps to lugano', 'it starts in porrentruy in the north near the french border and descends over the alps to the south to lugano', 'it starts in porrentruy in the north near the french border and then cuts south over the alps to finish in lugano']",it starts at porrentruy near the [MASK] border in the north and goes south over the alps to lugano,it starts in porrentruy in the north near the [MASK] border and descends over the alps to the south to lugano,it starts in porrentruy in the north near the [MASK] border and then cuts south over the alps to finish in lugano
33,Nykarleby,The official language of [X] is [Y] .,Swedish,"It offered bachelor's and master's degree programmes in [MASK] in the fields of technology, health care, social welfare in Vaasa and within culture in Nykarleby and Jakobstad.","It offered bachelor's and master's degree programmes in Swedish in the fields of technology, health care, social welfare in Vaasa and within culture in Nykarleby and Jakobstad.","[""It offered bachelor's and master's degree programmes in Swedish in the fields of technology, health care, social welfare in Vaasa and within culture in Nykarleby and Jakobstad.""]","It offered bachelor's and master's degree programmes in Swedish in the fields of technology, health care, social welfare in Vaasa and within culture in Nykarleby and Jakobstad.",,
34,Krasnoyarsk Krai,The official language of [X] is [Y] .,Russian,"Turukhansk ([MASK]: Туруха́нск) is a rural locality (a selo) and the administrative center of Turukhansky District of Krasnoyarsk Krai, Russia, located 1,474 kilometers (916 mi) north of Krasnoyarsk, at the confluence of the Yenisey and Nizhnyaya Tunguska Rivers.","Turukhansk (Russian: Туруха́нск) is a rural locality (a selo) and the administrative center of Turukhansky District of Krasnoyarsk Krai, Russia, located 1,474 kilometers (916 mi) north of Krasnoyarsk, at the confluence of the Yenisey and Nizhnyaya Tunguska Rivers.","['Turukhansk (Russian: Туруха́нск) is a rural locality (a selo) and the administrative center of Turukhansky District of Krasnoyarsk Krai, Russia, located 1,474 kilometers (916 mi) north of Krasnoyarsk, at the confluence of the Yenisey and Nizhnyaya Tunguska Rivers.']","Turukhansk (Russian: Туруха́нск) is a rural locality (a selo) and the administrative center of Turukhansky District of Krasnoyarsk Krai, Russia, located 1,474 kilometers (916 mi) north of Krasnoyarsk, at the confluence of the Yenisey and Nizhnyaya Tunguska Rivers.",,
35,Republic of the Congo,The official language of [X] is [Y] .,French,"The history of the Republic of the Congo has been marked by diverse civilisations: indigenous, [MASK] and post-independence.","The history of the Republic of the Congo has been marked by diverse civilisations: indigenous, French and post-independence.","['The history of the Republic of the Congo has been marked by diverse civilisations: indigenous, French and post-independence.']","The history of the Republic of the Congo has been marked by diverse civilisations: indigenous, French and post-independence.",,
36,Crown of Aragón,The official language of [X] is [Y] .,Catalan,"Alfonso IV, called the Kind (also the Gentle or the Nice, [MASK]: Alfons el Benigne) (2 November 1299 – 24 January 1336) was the King of Aragon and Count of Barcelona (as Alfonso III) from 1327 to his death.","Alfonso IV, called the Kind (also the Gentle or the Nice, Catalan: Alfons el Benigne) (2 November 1299 – 24 January 1336) was the King of Aragon and Count of Barcelona (as Alfonso III) from 1327 to his death.",,,,
37,Crown of Aragón,The official language of [X] is [Y] .,Latin,"During the War of the Spanish Succession (1701–14), the Crown of Aragon sided against the Bourbon Philip V of Spain, whose subsequent victory led to the abolition of non-Castilian institutions in all of Spain and the replacement of [MASK] and other languages (such as Catalan) with Spanish in legal documents.","During the War of the Spanish Succession (1701–14), the Crown of Aragon sided against the Bourbon Philip V of Spain, whose subsequent victory led to the abolition of non-Castilian institutions in all of Spain and the replacement of Latin and other languages (such as Catalan) with Spanish in legal documents.","['During the War of the Spanish Succession (1701–14), the Crown of Aragon sided against the Bourbon Philip V of Spain, whose subsequent victory led to the abolition of non-Castilian institutions in all of Spain and the replacement of Latin and other languages (such as Catalan) with Spanish in legal documents.']","During the War of the Spanish Succession (1701–14), the Crown of Aragon sided against the Bourbon Philip V of Spain, whose subsequent victory led to the abolition of non-Castilian institutions in all of Spain and the replacement of Latin and other languages (such as Catalan) with Spanish in legal documents.",,
38,Solomon Islands,The official language of [X] is [Y] .,English,"The Solomon Star is a Solomon Islands daily, [MASK] newspaper, launched on May 25, 1982.","The Solomon Star is a Solomon Islands daily, English newspaper, launched on May 25, 1982.","['The Solomon Star is a Solomon Islands daily, English newspaper, launched on May 25, 1982.']","The Solomon Star is a Solomon Islands daily, English newspaper, launched on May 25, 1982.",,
39,Meghalaya,The official language of [X] is [Y] .,English,[MASK] is the official language of Meghalaya.,English is the official language of Meghalaya.,['english is the official language of meghalaya'],[MASK] is the official language of meghalaya,,
40,Lohja,The official language of [X] is [Y] .,Swedish,"Heikki Heikinpoika Vaanila (1630–1709) ([MASK]: Hindrick Hindersson) was a Finnish farmer and parliamentarian from Vaanila village in Lohja, Uusimaa.","Heikki Heikinpoika Vaanila (1630–1709) (Swedish: Hindrick Hindersson) was a Finnish farmer and parliamentarian from Vaanila village in Lohja, Uusimaa.",['hindrick hindersson was a finnish farmer and parliamentarian from vaanila village in lohja uusimaa sweden'],hindrick hindersson was a [MASK] farmer and parliamentarian from vaanila village in lohja uusimaa sweden,,
41,Tornio,The official language of [X] is [Y] .,Finnish,"The [MASK] part lies entirely within Tornio in northern Finland, and is actually only 800 metres (0.50 mi) long.","The Finnish part lies entirely within Tornio in northern Finland, and is actually only 800 metres (0.50 mi) long.","['The Finnish part lies entirely within Tornio in northern Finland, and is actually only 800 metres (0.50 mi) long.']","The Finnish part lies entirely within Tornio in northern Finland, and is actually only 800 metres (0.50 mi) long.",,
42,Rajasthan,The official language of [X] is [Y] .,Hindi,Jujhar Singh Nehra ([MASK]: जुझारसिंह नेहरा) (1664–1730) or Jhunjha was a Jat chieftain of Rajasthan.,Jujhar Singh Nehra (Hindi: जुझारसिंह नेहरा) (1664–1730) or Jhunjha was a Jat chieftain of Rajasthan.,['Jujhar Singh Nehra (Hindi: जुझारसिंह नेहरा) (1664–1730) or Jhunjha was a Jat chieftain of Rajasthan.'],Jujhar Singh Nehra (Hindi: जुझारसिंह नेहरा) (1664–1730) or Jhunjha was a Jat chieftain of Rajasthan.,,
43,Shanghai Cooperation Organisation,The official language of [X] is [Y] .,Chinese,"Pan Guang ([MASK]: 潘光; pinyin: Pān Guāng; born June 7, 1947) is the Director of and Professor at the Shanghai Center for International Studies and Institute of European & Asian Studies at the Shanghai Academy of Social Sciences, Director of SCO (Shanghai Cooperation Organisation) Studies Center in Shanghai, Dean of Center of Jewish Studies Shanghai (CJSS), and Vice Chairman of the Chinese Society of Middle East Studies.","Pan Guang (Chinese: 潘光; pinyin: Pān Guāng; born June 7, 1947) is the Director of and Professor at the Shanghai Center for International Studies and Institute of European & Asian Studies at the Shanghai Academy of Social Sciences, Director of SCO (Shanghai Cooperation Organisation) Studies Center in Shanghai, Dean of Center of Jewish Studies Shanghai (CJSS), and Vice Chairman of the Chinese Society of Middle East Studies.","['Pan Guang (Chinese: 潘光; pinyin: Pān Guāng; born June 7, 1947) is the Director of and Professor at the Shanghai Center for International Studies and Institute of European & Asian Studies at the Shanghai Academy of Social Sciences, Director of SCO (Shanghai Cooperation Organisation) Studies Center in Shanghai, Dean of Center of Jewish Studies Shanghai (CJSS), and Vice Chairman of the Chinese Society of Middle East Studies.']","Pan Guang (Chinese: 潘光; pinyin: Pān Guāng; born June 7, 1947) is the Director of and Professor at the Shanghai Center for International Studies and Institute of European & Asian Studies at the Shanghai Academy of Social Sciences, Director of SCO (Shanghai Cooperation Organisation) Studies Center in Shanghai, Dean of Center of Jewish Studies Shanghai (CJSS), and Vice Chairman of the Chinese Society of Middle East Studies.",,
