,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0
10,James Northcote,[X] died in [Y] .,London,James Northcote RA (Plymouth 22 October 1746 – 13 July 1831 [MASK]) was an English painter.,James Northcote RA (Plymouth 22 October 1746 – 13 July 1831 London) was an English painter.,['James Northcote RA (Plymouth 22 October 1746 – 13 July 1831 London) was an English painter.'],['James Northcote RA (Plymouth 22 October 1746 – 13 July 1831 London) was an English painter.']
11,Christian Heinrich Postel,[X] died in [Y] .,Hamburg,"Christian Heinrich Postel (11 October 1658 – 22 March 1705) was a German jurist, epic poet and opera librettist, who wrote 28 libretti for the Oper am Gänsemarkt in [MASK], set by composers such as Johann Philipp Förtsch, Reinhard Keiser and Georg Philipp Telemann.","Christian Heinrich Postel (11 October 1658 – 22 March 1705) was a German jurist, epic poet and opera librettist, who wrote 28 libretti for the Oper am Gänsemarkt in Hamburg, set by composers such as Johann Philipp Förtsch, Reinhard Keiser and Georg Philipp Telemann.",,
12,Fredrik Idestam,[X] died in [Y] .,Helsinki,"Knut Fredrik Idestam (28 October 1838, Tyrväntö, Grand Duchy of Finland – 8 April 1916, [MASK], Grand Duchy of Finland) was a Finnish mining engineer and businessman, best known as a co-founder of Nokia.","Knut Fredrik Idestam (28 October 1838, Tyrväntö, Grand Duchy of Finland – 8 April 1916, Helsinki, Grand Duchy of Finland) was a Finnish mining engineer and businessman, best known as a co-founder of Nokia.",,
13,Santiago Carrillo,[X] died in [Y] .,Madrid,"After the resignation of Santiago Carrillo as General Secretary of PCE and the election of Gerardo Iglesias due to poor results in the 1982 elections, Frutos transferred to [MASK] to work within the Structures of the Central Committee of the PCE.","After the resignation of Santiago Carrillo as General Secretary of PCE and the election of Gerardo Iglesias due to poor results in the 1982 elections, Frutos transferred to Madrid to work within the Structures of the Central Committee of the PCE.","['following the resignation of santiago carrillo as general secretary of the pce and the election of gerardo iglesias due to poor results in the 1982 elections frutos moved to madrid to work within the structures of the central committee', 'after the resignation of santiago carrillo as pce general secretary and the election of gerardo iglesias due to poor results in the 1982 elections frutos transferred to madrid to work within the structures of the central committee of', 'after the resignation of santiago carrillo as general secretary of pce and the election of gerardo iglesias due to the poor results in the 1982 elections frutos transferred to madrid to work within the structures of the central committee of the pc']","['following the resignation of santiago carrillo as general secretary of the pce and the election of gerardo iglesias due to poor results in the 1982 elections frutos moved to madrid to work within the structures of the central committee', 'after the resignation of santiago carrillo as pce general secretary and the election of gerardo iglesias due to poor results in the 1982 elections frutos transferred to madrid to work within the structures of the central committee of', 'after the resignation of santiago carrillo as general secretary of pce and the election of gerardo iglesias due to the poor results in the 1982 elections frutos transferred to madrid to work within the structures of the central committee of the pc']"
14,Pierre Cartellier,[X] died in [Y] .,Paris,"In 1809 he went to [MASK] from the Dijon school of art, and became a pupil of Pierre Cartellier, obtaining the Grand Prix de Rome in 1812.","In 1809 he went to Paris from the Dijon school of art, and became a pupil of Pierre Cartellier, obtaining the Grand Prix de Rome in 1812.","['In 1809 he went to Paris from the Dijon school of art, and became a pupil of Pierre Cartellier, obtaining the Grand Prix de Rome in 1812.']","['In 1809 he went to Paris from the Dijon school of art, and became a pupil of Pierre Cartellier, obtaining the Grand Prix de Rome in 1812.']"
15,Isaac Boleslavsky,[X] died in [Y] .,Minsk,"Isaac Yefremovich Boleslavsky (Ukrainian: Ісаак Єфремович Болеславський, Исаак Ефремович Болеславский; June 9, 1919 Zolotonosha, Ukraine – February 15, 1977 [MASK]) was a Soviet chess Grandmaster.","Isaac Yefremovich Boleslavsky (Ukrainian: Ісаак Єфремович Болеславський, Исаак Ефремович Болеславский; June 9, 1919 Zolotonosha, Ukraine – February 15, 1977 Minsk) was a Soviet chess Grandmaster.","['Isaac Yefremovich Boleslavsky (Ukrainian: Ісаак Єфремович Болеславський, Исаак Ефремович Болеславский; June 9, 1919 Zolotonosha, Ukraine – February 15, 1977 Minsk) was a Soviet chess Grandmaster.']","['Isaac Yefremovich Boleslavsky (Ukrainian: Ісаак Єфремович Болеславський, Исаак Ефремович Болеславский; June 9, 1919 Zolotonosha, Ukraine – February 15, 1977 Minsk) was a Soviet chess Grandmaster.']"
16,Joseph Cordeiro,[X] died in [Y] .,Karachi,He succeeded Cardinal Joseph Cordeiro as Archbishop of [MASK] on 11 Feb 1994 and retired from that office on 20 November 2002.,He succeeded Cardinal Joseph Cordeiro as Archbishop of Karachi on 11 Feb 1994 and retired from that office on 20 November 2002.,"['he succeeded cardinal joseph cordeiro on 11 february 1994 as archbishop of karachi and retired from this office on 20 november 2002', 'he succeeded cardinal joseph cordeiro as archbishop of karachi on 11 feb 1994 and retired from that office on 20 november 2002']","['he succeeded cardinal joseph cordeiro on 11 february 1994 as archbishop of karachi and retired from this office on 20 november 2002', 'he succeeded cardinal joseph cordeiro as archbishop of karachi on 11 feb 1994 and retired from that office on 20 november 2002']"
17,Gillis Valckenier,[X] died in [Y] .,Amsterdam,"Gillis Valckenier (1623–1680) was nine years burgomaster of [MASK]: in 1665, 1666, 1668, 1670, 1673, 1674, 1676, 1678, 1679.","Gillis Valckenier (1623–1680) was nine years burgomaster of Amsterdam: in 1665, 1666, 1668, 1670, 1673, 1674, 1676, 1678, 1679.","['Gillis Valckenier (1623–1680) was nine years burgomaster of Amsterdam: in 1665, 1666, 1668, 1670, 1673, 1674, 1676, 1678, 1679.']","['Gillis Valckenier (1623–1680) was nine years burgomaster of Amsterdam: in 1665, 1666, 1668, 1670, 1673, 1674, 1676, 1678, 1679.']"
18,George Frampton,[X] died in [Y] .,London,"The Edith Cavell Memorial is an outdoor memorial to Edith Cavell by Sir George Frampton, in [MASK], United Kingdom.","The Edith Cavell Memorial is an outdoor memorial to Edith Cavell by Sir George Frampton, in London, United Kingdom.","['The Edith Cavell Memorial is an outdoor memorial to Edith Cavell by Sir George Frampton, in London, United Kingdom.']","['The Edith Cavell Memorial is an outdoor memorial to Edith Cavell by Sir George Frampton, in London, United Kingdom.']"
19,Coco Chanel,[X] died in [Y] .,Paris,"The book includes extensive material on the sights of [MASK] (such as Luxembourg Garden, Marais and Place des Vosges), as well as some of the city's most famous residents (such as Amedeo Modigliani and Coco Chanel).","The book includes extensive material on the sights of Paris (such as Luxembourg Garden, Marais and Place des Vosges), as well as some of the city's most famous residents (such as Amedeo Modigliani and Coco Chanel).","[""The book includes extensive material on the sights of Paris (such as Luxembourg Garden, Marais and Place des Vosges), as well as some of the city's most famous residents (such as Amedeo Modigliani and Coco Chanel).""]","[""The book includes extensive material on the sights of Paris (such as Luxembourg Garden, Marais and Place des Vosges), as well as some of the city's most famous residents (such as Amedeo Modigliani and Coco Chanel).""]"
20,Madame de Montesson,[X] died in [Y] .,Paris,"Le jugement de Midas (The Judgement of Midas) is a French comédie mêlée d'ariettes (a kind of opéra comique), in three acts by André Grétry first performed on 28 March 1778 in the apartments of Madame de Montesson at the Palais-Royal in [MASK].","Le jugement de Midas (The Judgement of Midas) is a French comédie mêlée d'ariettes (a kind of opéra comique), in three acts by André Grétry first performed on 28 March 1778 in the apartments of Madame de Montesson at the Palais-Royal in Paris.","[""Le jugement de Midas (The Judgement of Midas) is a French comédie mêlée d'ariettes (a kind of opéra comique), in three acts by André Grétry first performed on 28 March 1778 in the apartments of Madame de Montesson at the Palais-Royal in Paris.""]","[""Le jugement de Midas (The Judgement of Midas) is a French comédie mêlée d'ariettes (a kind of opéra comique), in three acts by André Grétry first performed on 28 March 1778 in the apartments of Madame de Montesson at the Palais-Royal in Paris.""]"
21,Said Ramadan,[X] died in [Y] .,Geneva,"Said Ramadan (Arabic: ; born April 12, 1926 in Shibin Al Kawm, Al Minufiyah, died August 4, 1995 in [MASK]) was an Egyptian religious scholar and activist, and a major figure in the Muslim Brotherhood.","Said Ramadan (Arabic: ; born April 12, 1926 in Shibin Al Kawm, Al Minufiyah, died August 4, 1995 in Geneva) was an Egyptian religious scholar and activist, and a major figure in the Muslim Brotherhood.","['Said Ramadan (Arabic: ; born April 12, 1926 in Shibin Al Kawm, Al Minufiyah, died August 4, 1995 in Geneva) was an Egyptian religious scholar and activist, and a major figure in the Muslim Brotherhood.']","['Said Ramadan (Arabic: ; born April 12, 1926 in Shibin Al Kawm, Al Minufiyah, died August 4, 1995 in Geneva) was an Egyptian religious scholar and activist, and a major figure in the Muslim Brotherhood.']"
22,Peter Strudel,[X] died in [Y] .,Vienna,"Between 1676 (when he was 16 years old) and 1686, Peter Strudel came to the Hofburg in [MASK] and, together with his brother Paul Strudel, obtained a position as painter to the Imperial Court.","Between 1676 (when he was 16 years old) and 1686, Peter Strudel came to the Hofburg in Vienna and, together with his brother Paul Strudel, obtained a position as painter to the Imperial Court.","['between 1676 when he was 16 and 1686 peter strudel came to hofburg in vienna and obtained a position as painter of the imperial court together with his brother paul strudel', 'between 1676 when he was 16 years old and 1686 peter strudel came to the hofburg in vienna and obtained together with his brother paul strudel a position as a painter for the imperial court', 'between 1676 when he was 16 years old and 1686 peter strudel came to the hofburg in vienna and together with his brother paul strudel obtained a position as painter at the imperial court']","['between 1676 when he was 16 and 1686 peter strudel came to hofburg in vienna and obtained a position as painter of the imperial court together with his brother paul strudel', 'between 1676 when he was 16 years old and 1686 peter strudel came to the hofburg in vienna and obtained together with his brother paul strudel a position as a painter for the imperial court', 'between 1676 when he was 16 years old and 1686 peter strudel came to the hofburg in vienna and together with his brother paul strudel obtained a position as painter at the imperial court']"
23,Ambrose,[X] died in [Y] .,London,"In 1953 Lew Davis (Ben Davis's brother), a professional trombonist who had played with Jack Hylton, Louis Armstrong, Lew Stone, Bert Ambrose, and Ray Noble joined the business and ran the brass and woodwind sections in the new showrooms at 114-116 Charing Cross Road, [MASK], WC2.","In 1953 Lew Davis (Ben Davis's brother), a professional trombonist who had played with Jack Hylton, Louis Armstrong, Lew Stone, Bert Ambrose, and Ray Noble joined the business and ran the brass and woodwind sections in the new showrooms at 114-116 Charing Cross Road, London, WC2.","[""lew davis ben davis' brother a professional trombonist who played with jack hylton louis armstrong lew stone bert ambrose and ray noble joined the business in 1953 and ran brass and woodwind sections in the new showrooms at 114-116 charing cross road london wc2"", 'in 1953 lew davis ben davis brother a professional trombonist who had played with jack hylton louis armstrong lew stone bert ambrose and ray noble joined the business and ran the brass and woodwind sections in the new showrooms at 114 - 116 charing cross road london wc']","[""lew davis ben davis' brother a professional trombonist who played with jack hylton louis armstrong lew stone bert ambrose and ray noble joined the business in 1953 and ran brass and woodwind sections in the new showrooms at 114-116 charing cross road london wc2"", 'in 1953 lew davis ben davis brother a professional trombonist who had played with jack hylton louis armstrong lew stone bert ambrose and ray noble joined the business and ran the brass and woodwind sections in the new showrooms at 114 - 116 charing cross road london wc']"
24,Benjamin Waterhouse Hawkins,[X] died in [Y] .,London,Benjamin Waterhouse Hawkins (8 February 1807 – 27 January 1894) was an English sculptor and natural history artist renowned for his work on the life-size models of dinosaurs in the Crystal Palace Park in south [MASK].,Benjamin Waterhouse Hawkins (8 February 1807 – 27 January 1894) was an English sculptor and natural history artist renowned for his work on the life-size models of dinosaurs in the Crystal Palace Park in south London.,"['benjamin waterhouse hawkins february 8 1807 january 27 1894 was an english sculptor and natural history artist renowned for his work on life-size models of dinosaurs at crystal palace park in south london', 'benjamin waterhouse hawkins february 8 1807 january 27 1894 was an english sculptor and natural history artist renowned for his work on the life-size models of dinosaurs in the crystal palace park in south london']","['benjamin waterhouse hawkins february 8 1807 january 27 1894 was an english sculptor and natural history artist renowned for his work on life-size models of dinosaurs at crystal palace park in south london', 'benjamin waterhouse hawkins february 8 1807 january 27 1894 was an english sculptor and natural history artist renowned for his work on the life-size models of dinosaurs in the crystal palace park in south london']"
25,Julius Klengel,[X] died in [Y] .,Leipzig,"Upon his graduation from high school at 16, Aronson moved to Berlin to study law, but a doctor, who was an amateur cellist, introduced him to Julius Klengel in [MASK] and he returned to cello studies with him.","Upon his graduation from high school at 16, Aronson moved to Berlin to study law, but a doctor, who was an amateur cellist, introduced him to Julius Klengel in Leipzig and he returned to cello studies with him.","['Upon his graduation from high school at 16, Aronson moved to Berlin to study law, but a doctor, who was an amateur cellist, introduced him to Julius Klengel in Leipzig and he returned to cello studies with him.']","['Upon his graduation from high school at 16, Aronson moved to Berlin to study law, but a doctor, who was an amateur cellist, introduced him to Julius Klengel in Leipzig and he returned to cello studies with him.']"
26,Giovanni Battista Trotti,[X] died in [Y] .,Parma,"Giovanni Battista Trotti (1555 – 11 June 1612) was an Italian painter of the late-Renaissance period, active mainly in Piacenza, [MASK], and his native city of Cremona.","Giovanni Battista Trotti (1555 – 11 June 1612) was an Italian painter of the late-Renaissance period, active mainly in Piacenza, Parma, and his native city of Cremona.","['Giovanni Battista Trotti (1555 – 11 June 1612) was an Italian painter of the late-Renaissance period, active mainly in Piacenza, Parma, and his native city of Cremona.']","['Giovanni Battista Trotti (1555 – 11 June 1612) was an Italian painter of the late-Renaissance period, active mainly in Piacenza, Parma, and his native city of Cremona.']"
27,Henry De la Beche,[X] died in [Y] .,London,"He studied metallurgy at the Royal School of Mines in [MASK], and won the annual De la Beche medal awarded in memory of the school's founder.","He studied metallurgy at the Royal School of Mines in London, and won the annual De la Beche medal awarded in memory of the school's founder.","['he studied metallurgy at the royal school of mines in london and won the annual de la beche medal awarded in memory of the founder', ""he studied metallurgy at the royal school of mines in london and won the annual de la beche medal in memory of the school's founder"", ""he studied metallurgy at the royal school of mines in london and won the de la beche medal awarded in memory of the school's founder""]","['he studied metallurgy at the royal school of mines in london and won the annual de la beche medal awarded in memory of the founder', ""he studied metallurgy at the royal school of mines in london and won the annual de la beche medal in memory of the school's founder"", ""he studied metallurgy at the royal school of mines in london and won the de la beche medal awarded in memory of the school's founder""]"
28,Charles Sprague Sargent,[X] died in [Y] .,Boston,"He left China via Shanghai in 1915, travelling to [MASK] where he worked at the Arnold Arboretum alongside Sargent, Rehder and Wilson until 1919, when he returned to Vienna.","He left China via Shanghai in 1915, travelling to Boston where he worked at the Arnold Arboretum alongside Sargent, Rehder and Wilson until 1919, when he returned to Vienna.","['he left china via shanghai in 1915 travelling to boston where he worked with sargent rehder and wilson at the arnold arboretum until 1919 when he returned to vienna', 'he left china in 1915 via shanghai travelling to boston where he worked at arnold arboretum alongside sargent rehder and wilson until 1919 when he returned to vienna', 'he left china via shanghai in 1915 and traveled to boston where he worked at the arnold arboretum alongside sargent rehder and wilson until 1919 when he returned to vienna']","['he left china via shanghai in 1915 travelling to boston where he worked with sargent rehder and wilson at the arnold arboretum until 1919 when he returned to vienna', 'he left china in 1915 via shanghai travelling to boston where he worked at arnold arboretum alongside sargent rehder and wilson until 1919 when he returned to vienna', 'he left china via shanghai in 1915 and traveled to boston where he worked at the arnold arboretum alongside sargent rehder and wilson until 1919 when he returned to vienna']"
29,Anne Redpath,[X] died in [Y] .,Edinburgh,"Born in [MASK], Crozier studied at Edinburgh College of Art and was a fellow student and friendly with William Geissler, William Gillies, Anne Redpath, Adam Bruce Thomson and William MacTaggart.","Born in Edinburgh, Crozier studied at Edinburgh College of Art and was a fellow student and friendly with William Geissler, William Gillies, Anne Redpath, Adam Bruce Thomson and William MacTaggart.","['Born in Edinburgh, Crozier studied at Edinburgh College of Art and was a fellow student and friendly with William Geissler, William Gillies, Anne Redpath, Adam Bruce Thomson and William MacTaggart.']","['Born in Edinburgh, Crozier studied at Edinburgh College of Art and was a fellow student and friendly with William Geissler, William Gillies, Anne Redpath, Adam Bruce Thomson and William MacTaggart.']"
30,Giacomo Barozzi da Vignola,[X] died in [Y] .,Rome,"He worked in [MASK] in collaboration with Vignola and Vasari), including designs for the Villa Giulia, but also for works and at Lucca.","He worked in Rome in collaboration with Vignola and Vasari), including designs for the Villa Giulia, but also for works and at Lucca.","['He worked in Rome in collaboration with Vignola and Vasari), including designs for the Villa Giulia, but also for works and at Lucca.']","['He worked in Rome in collaboration with Vignola and Vasari), including designs for the Villa Giulia, but also for works and at Lucca.']"
31,Red Munger,[X] died in [Y] .,Houston,"Red Munger died in [MASK], aged 77.","Red Munger died in Houston, aged 77.","['red munger died in houston at the age of 77', 'red munger died in houston at 77']","['red munger died in houston at the age of 77', 'red munger died in houston at 77']"
32,Hilary Masters,[X] died in [Y] .,Pittsburgh,"Hilary Masters (February 3, 1928 in Kansas City, Missouri – June 14, 2015 in [MASK]) was an American novelist, the son of poet Edgar Lee Masters, and Ellen Frances Coyne Masters.","Hilary Masters (February 3, 1928 in Kansas City, Missouri – June 14, 2015 in Pittsburgh) was an American novelist, the son of poet Edgar Lee Masters, and Ellen Frances Coyne Masters.","['Hilary Masters (February 3, 1928 in Kansas City, Missouri – June 14, 2015 in Pittsburgh) was an American novelist, the son of poet Edgar Lee Masters, and Ellen Frances Coyne Masters.']","['Hilary Masters (February 3, 1928 in Kansas City, Missouri – June 14, 2015 in Pittsburgh) was an American novelist, the son of poet Edgar Lee Masters, and Ellen Frances Coyne Masters.']"
33,Thomas Walsingham,[X] died in [Y] .,Kent,"Gresley was the son of Sir Thomas Gresley of Drakelow, Derbyshire and his first wife Dorothy Walsingham, daughter of Sir Thomas Walsingham, of Scadbury, [MASK].","Gresley was the son of Sir Thomas Gresley of Drakelow, Derbyshire and his first wife Dorothy Walsingham, daughter of Sir Thomas Walsingham, of Scadbury, Kent.",['gresley was the son of sir thomas gresley of drakelow derbyshire and his first wife dorothy walsingham daughter of sir thomas walsingham of scadbury kent'],['gresley was the son of sir thomas gresley of drakelow derbyshire and his first wife dorothy walsingham daughter of sir thomas walsingham of scadbury kent']
34,Dimitar Nenov,[X] died in [Y] .,Sofia,"Dimitar Nenov (Bulgarian: Димитър Ненов; December 19, 1901 in Razgrad – August 30, 1953 in [MASK]) was a Bulgarian classical pianist, composer, music pedagogue and architect.","Dimitar Nenov (Bulgarian: Димитър Ненов; December 19, 1901 in Razgrad – August 30, 1953 in Sofia) was a Bulgarian classical pianist, composer, music pedagogue and architect.","['Dimitar Nenov (Bulgarian: Димитър Ненов; December 19, 1901 in Razgrad – August 30, 1953 in Sofia) was a Bulgarian classical pianist, composer, music pedagogue and architect.']","['Dimitar Nenov (Bulgarian: Димитър Ненов; December 19, 1901 in Razgrad – August 30, 1953 in Sofia) was a Bulgarian classical pianist, composer, music pedagogue and architect.']"
35,Charles Laughton,[X] died in [Y] .,Hollywood,"Actor Charles Laughton said of Corwin, There is no actor in [MASK] or on Broadway, who would not drop what he is doing to be in one of Norman Corwin's radio plays.","Actor Charles Laughton said of Corwin, There is no actor in Hollywood or on Broadway, who would not drop what he is doing to be in one of Norman Corwin's radio plays.","[""Actor Charles Laughton said of Corwin, There is no actor in Hollywood or on Broadway, who would not drop what he is doing to be in one of Norman Corwin's radio plays.""]","[""Actor Charles Laughton said of Corwin, There is no actor in Hollywood or on Broadway, who would not drop what he is doing to be in one of Norman Corwin's radio plays.""]"
36,Eliakim Carmoly,[X] died in [Y] .,Frankfurt,"Eliakim Carmoly (August 5, 1802, Soultz-Haut-Rhin, France – February 15, 1875, [MASK]) was a French-Jewish scholar.","Eliakim Carmoly (August 5, 1802, Soultz-Haut-Rhin, France – February 15, 1875, Frankfurt) was a French-Jewish scholar.","['Eliakim Carmoly (August 5, 1802, Soultz-Haut-Rhin, France – February 15, 1875, Frankfurt) was a French-Jewish scholar.']","['Eliakim Carmoly (August 5, 1802, Soultz-Haut-Rhin, France – February 15, 1875, Frankfurt) was a French-Jewish scholar.']"
37,Beatrice d’Este,[X] died in [Y] .,Milan,Beatrice d'Este (alternately Beatrix d'Este) usually refers to the daughter of Ercole I d'Este and Duchess of [MASK].,Beatrice d'Este (alternately Beatrix d'Este) usually refers to the daughter of Ercole I d'Este and Duchess of Milan.,"[""Beatrice d'Este (alternately Beatrix d'Este) usually refers to the daughter of Ercole I d'Este and Duchess of Milan.""]","[""Beatrice d'Este (alternately Beatrix d'Este) usually refers to the daughter of Ercole I d'Este and Duchess of Milan.""]"
38,Serge Nigg,[X] died in [Y] .,Paris,"Serge Nigg (June 6, 1924 – November 12, 2008) was a French composer, born in [MASK].","Serge Nigg (June 6, 1924 – November 12, 2008) was a French composer, born in Paris.","['Serge Nigg (June 6, 1924 – November 12, 2008) was a French composer, born in Paris.']","['Serge Nigg (June 6, 1924 – November 12, 2008) was a French composer, born in Paris.']"
