,sub_label,template,obj_label,masked_sentence,filled_sentence,T5_paraphrased_filled_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
10,Alexandria Governorate,The capital of [X] is [Y] .,Alexandria,"Alexandria Governorate (Arabic: محافظة الإسكندرية Muḥāfaẓat [MASK]) is one of the governorates of Egypt.It was previously known as the capital of Egypt , and now it is considered as the second capital after Cairo.","Alexandria Governorate (Arabic: محافظة الإسكندرية Muḥāfaẓat Alexandria) is one of the governorates of Egypt.It was previously known as the capital of Egypt , and now it is considered as the second capital after Cairo.","['Alexandria Governorate, which means  Mufaat Alexandria in Arabic, was once the capital of Egypt and is now considered the second capital after Cairo.', 'Previously known as the capital of Egypt, Alexandria Governorate is now considered the second capital after Cairo.', ""The Alexandria Governorate, which is one of Egypt's governorates, was once the capital of Cairo but is now considered the second capital after Cairo."", 'Alexandria, which is also known as the Governorate of Egypt or Mufaat Alexandria in Arabic, was once considered the capital of Egyptian society and is now considered to be the second capital after Cairo.']","Alexandria Governorate, which means  Mufaat Alexandria in Arabic, was once the capital of Egypt and is now considered the second capital after [MASK].","Previously known as the capital of Egypt, Alexandria Governorate is now considered the second capital after [MASK].","The Alexandria Governorate, which is one of Egypt's governorates, was once the capital of Alexandria but is now considered the second capital after [MASK].","Alexandria, which is also known as the Governorate of Egypt or Mufaat Alexandria in Arabic, was once considered the capital of Egyptian society and is now considered to be the second capital after [MASK]."
11,Colombo District,The capital of [X] is [Y] .,Colombo,"Malabe is a suburb of [MASK] city in Colombo District, Sri Lanka.","Malabe is a suburb of Colombo city in Colombo District, Sri Lanka.","[""In the Colombo District of Sri Lanka, Malabe is a suburb that falls under the city's jurisdiction."", ""The city of Colombo is situated in the suburb of Malabe, which is located in Sri Lanka's Colton District."", 'Located in the Colombo District of Sri Lanka, Malabe is a suburb of its own city.', 'Malabe is a suburb of Colombo city situated in the Columo District, Sri Lanka.']","In the [MASK] District of Sri Lanka, Malabe is a suburb that falls under the city's jurisdiction.","The city of [MASK] is situated in the suburb of Malabe, which is located in Sri Lanka's Colton District.","Located in the [MASK] District of Sri Lanka, Malabe is a suburb of its own city.","Malabe is a suburb of [MASK] city situated in the Columo District, Sri Lanka."
12,Kingdom of Italy,The capital of [X] is [Y] .,Florence,"It started in Italy at the end of the 16th century (with Jacopo Peri's lost Dafne, produced in [MASK] in 1598) and soon spread through the rest of Europe: Schütz in Germany, Lully in France, and Purcell in England all helped to establish their national traditions in the 17th century.","It started in Italy at the end of the 16th century (with Jacopo Peri's lost Dafne, produced in Florence in 1598) and soon spread through the rest of Europe: Schütz in Germany, Lully in France, and Purcell in England all helped to establish their national traditions in the 17th century.","[""The origins of this can be traced back to Italy in the late 1500s, where Jacopo Peri's lost Dafne was produced in Florence in 1598. Schütz, Lully, and Purcell all played a role in creating national customs in Germany and England, respectively, during the 17th century."", ""Starting with Jacopo Peri's lost Dafne in Florence in 1598, it began in Italy at the end of the 16th century and then spread to other parts of Europe. Schütz, Lully, and Purcell all played a role in creating their respective national traditions during the 17thcentury."", ""It originated in Italy at the end of the 16th century, where Jacopo Peri's lost Dafne was produced in Florence in 1598. Schütz, Lully, and Purcell all played a role in creating national traditions in Germany, France, England, among others, during the 17th Century."", ""Italy was the birthplace of it in late 16th century, when Jacopo Peri's lost Dafne (originally made by Miraculous architect Mirugilius Caesar in Florence in 1598) started it, and later spread throughout Europe: Schütz in Germany; Lully in France; and Purcell in England all played a role in popularizing their national traditions during the 17thcentury.""]","The origins of this can be traced back to Italy in the late 1500s, where Jacopo Peri's lost Dafne was produced in [MASK] in 1598. Schütz, Lully, and Purcell all played a role in creating national customs in Germany and England, respectively, during the 17th century.","Starting with Jacopo Peri's lost Dafne in [MASK] in 1598, it began in Italy at the end of the 16th century and then spread to other parts of Europe. Schütz, Lully, and Purcell all played a role in creating their respective national traditions during the 17thcentury.","It originated in Italy at the end of the 16th century, where Jacopo Peri's lost Dafne was produced in [MASK] in 1598. Schütz, Lully, and Purcell all played a role in creating national traditions in Germany, France, England, among others, during the 17th Century.","Italy was the birthplace of it in late 16th century, when Jacopo Peri's lost Dafne (originally made by Miraculous architect Mirugilius Caesar in [MASK] in 1598) started it, and later spread throughout Europe: Schütz in Germany; Lully in France; and Purcell in England all played a role in popularizing their national traditions during the 17thcentury."
13,Grand Duchy of Finland,The capital of [X] is [Y] .,Helsinki,[MASK] (/hɛlˈsɪŋki/; [ˈhelsiŋki]; Swedish: Helsingfors) is the capital and largest city of Finland.,Helsinki (/hɛlˈsɪŋki/; [ˈhelsiŋki]; Swedish: Helsingfors) is the capital and largest city of Finland.,"['Helsinki, also known as Helsingfors in Swedish, is the capital and largest city of Finland.', 'The capital and largest city of Finland is Helsinki, which is also known as Helsingfors in Swedish.', ""Finland's capital and largest city is Helsinki, also known as Helsingfors in Swedish."", 'Helsinki (/hlski/; [helsik; Swedish: Helgesingfors) is the capital and largest city of Finland.']","[MASK], also known as Helsingfors in Swedish, is the capital and largest city of Finland.","The capital and largest city of Finland is [MASK], which is also known as Helsingfors in Swedish.","Finland's capital and largest city is [MASK], also known as Helsingfors in Swedish.",[MASK] (/hlski/; [helsik; Swedish: Helgesingfors) is the capital and largest city of Finland.
14,Telangana,The capital of [X] is [Y] .,Hyderabad,"Alampur is a temple-town situated in Mahbubnagar district, in the state of Telangana, India.It is located at about 90 km from Mahabubnagar, 27 km From Kurnool and 200 km from [MASK].","Alampur is a temple-town situated in Mahbubnagar district, in the state of Telangana, India.It is located at about 90 km from Mahabubnagar, 27 km From Kurnool and 200 km from Hyderabad.","[""Alampur, a temple-town located in the state of Telangana's Mahbubnagar district, is situated around 90 km from Mahabubonagiri, which is 27 km away from Kurnool, and 200 km outside Hyderabad."", 'Temple-town Alampur can be found in the district of Mahbubnagar, which is situated approximately 90 km from Mahabubona gar, 27 km away from Kurnool, and 200 km outside Hyderabad.', 'The temple-town of Alampur is situated in the district where Mahabubnagar is located, which is part of the Mahbubabu district in Telanganjaro country. It can be reached by traveling about 90 km to reach it, while it is 27 km away from Kurnool, and 200 km from Hyderabad.', ""Located in the district of Mahbubnagar, Alampur is a temple-town located in Telangana's state, and is situated about 90 km away from Mahabubonagir, Kurnoor, Hyderabad (which is 200 km) and 27 km respectively.""]","Alampur, a temple-town located in the state of Telangana's Mahbubnagar district, is situated around 90 km from Mahabubonagiri, which is 27 km away from Kurnool, and 200 km outside [MASK].","Temple-town Alampur can be found in the district of Mahbubnagar, which is situated approximately 90 km from Mahabubona gar, 27 km away from Kurnool, and 200 km outside [MASK].","The temple-town of Alampur is situated in the district where Mahabubnagar is located, which is part of the Mahbubabu district in Telanganjaro country. It can be reached by traveling about 90 km to reach it, while it is 27 km away from Kurnool, and 200 km from [MASK].","Located in the district of Mahbubnagar, Alampur is a temple-town located in Telangana's state, and is situated about 90 km away from Mahabubonagir, Kurnoor, [MASK] (which is 200 km) and 27 km respectively."
15,Carlisle,The capital of [X] is [Y] .,Carlisle,"The V.I.P.s were a British R&B musical ensemble formed in [MASK], (North West England) in late 1963, out of an earlier outfit known as The Ramrods, who had formed in Carlisle in 1960.","The V.I.P.s were a British R&B musical ensemble formed in Carlisle, (North West England) in late 1963, out of an earlier outfit known as The Ramrods, who had formed in Carlisle in 1960.","['Carlisle was the birthplace of The Ramrods, a British R&B musical group established in 1960. They later became known as The V.I.P.s and formed their name in late 1963.', 'In late 1963, The V.I.P.s were established in Carlisle, North West England, as a British R&B musical group, having originated from The Ramrods that had been formed in 1960.', 'The Ramrods, which originated in Carlisle in 1960, transformed into The V.I.P.s by late 1963, forming a British R&B musical ensemble in the city of Carliford, North West England.', ""A British R&B musical ensemble called the V.I.P.s was founded in Carlisle (North West England) in late 1963, having emerged from The Ramrod's previous group formed at Carlisingle in 1960.""]","[MASK] was the birthplace of The Ramrods, a British R&B musical group established in 1960. They later became known as The V.I.P.s and formed their name in late 1963.","In late 1963, The V.I.P.s were established in [MASK], North West England, as a British R&B musical group, having originated from The Ramrods that had been formed in 1960.","The Ramrods, which originated in [MASK] in 1960, transformed into The V.I.P.s by late 1963, forming a British R&B musical ensemble in the city of Carliford, North West England.","A British R&B musical ensemble called the V.I.P.s was founded in [MASK] (North West England) in late 1963, having emerged from The Ramrod's previous group formed at Carlisingle in 1960."
16,South Australia,The capital of [X] is [Y] .,Adelaide,"As South Australia's seat of government and commercial centre, [MASK] is the site of many governmental and financial institutions.","As South Australia's seat of government and commercial centre, Adelaide is the site of many governmental and financial institutions.","[""The city of Adelaide, which is South Australia's capital and commercial hub, is home to numerous governmental and financial institutions."", 'Adelaide is the seat of government and commercial centre of South Australia, with many governmental and financial institutions located within its territory.', ""South Australia's capital and government seat, Adelaide, is home to numerous financial institutions."", 'Many governmental and financial institutions are located in Adelaide, which is also the seat of government and commercial hub of South Australia.']","The city of [MASK], which is South Australia's capital and commercial hub, is home to numerous governmental and financial institutions.","[MASK] is the seat of government and commercial centre of South Australia, with many governmental and financial institutions located within its territory.","South Australia's capital and government seat, [MASK], is home to numerous financial institutions.","Adelaide governmental and financial institutions are located in [MASK], which is also the seat of government and commercial hub of South Australia."
17,Kingdom of Scotland,The capital of [X] is [Y] .,Edinburgh,"Set in late 15th-century England, the episode takes a humorous look at rivalries with the Kingdom of Scotland and centres the dramatic tension on the doubts cast over parentage of the lead character, Prince Edmund, Duke of [MASK].","Set in late 15th-century England, the episode takes a humorous look at rivalries with the Kingdom of Scotland and centres the dramatic tension on the doubts cast over parentage of the lead character, Prince Edmund, Duke of Edinburgh.","[""In the episode, which takes place in late 15th century England, the focus is on the questions surrounding Prince Edmund, Duke of Edinburgh's parentage, while also providing a humorous examination of Scottish power struggles with their kingdom."", ""The episode takes place in late 15th-century England and humorously explores the Kingdom of Scotland's rivalries, with a focus on the question of Prince Edmund, Duke of Edinburgh'S parentage."", ""Taking place in late 15th-century England, the episode humorously explores the Kingdom of Scotland's rivalries and centers on Prince Edmund, Duke Of Edinburgh'S parentage."", ""The episode is a humorous examination of the Kingdom of Scotland's rivalries in late 15th-century England, with heightened tension surrounding the controversial questions about Prince Edmund.""]","In the episode, which takes place in late 15th century England, the focus is on the questions surrounding Prince Edmund, Duke of [MASK]'s parentage, while also providing a humorous examination of Scottish power struggles with their kingdom.","The episode takes place in late 15th-century England and humorously explores the Kingdom of Scotland's rivalries, with a focus on the question of Prince Edmund, Duke of [MASK]'S parentage.","Taking place in late 15th-century England, the episode humorously explores the Kingdom of Scotland's rivalries and centers on Prince Edmund, Duke Of [MASK]'S parentage.","The episode is a humorous examination of the Kingdom of Scotland's rivalries in late 15th-century England, with heightened tension surrounding the controversial questions about Prince Edmund."
18,Second Polish Republic,The capital of [X] is [Y] .,Warsaw,"A child prodigy, he completed his musical education and composed his earlier works in [MASK] before leaving Poland at the age of 20, less than a month before the outbreak of the November 1830 Uprising.","A child prodigy, he completed his musical education and composed his earlier works in Warsaw before leaving Poland at the age of 20, less than a month before the outbreak of the November 1830 Uprising.","['Before the November 1830 Uprising, he left Poland at age 20, having completed his musical education and composed his earlier works in Warsaw as a child prodigy.', 'Leaving Poland at 20, he completed his musical education and composed his earlier works in Warsaw before the outbreak of the November 1830 Uprising, as a child prodigy.', 'He left Poland at the age of 20, less than a month before the November 1830 Uprising, after finishing his musical education and compositions in Warsaw as he was regarded as an exceptional child prodigy.', ""After completing his musical education and compositions in Warsaw, he left Poland at the age of 20, less than a month before the November 1830 Uprising, having become renowned as 'child prodigy'.""]","Before the November 1830 Uprising, he left Poland at age 20, having completed his musical education and composed his earlier works in [MASK] as a child prodigy.","Leaving Poland at 20, he completed his musical education and composed his earlier works in [MASK] before the outbreak of the November 1830 Uprising, as a child prodigy.","He left Poland at the age of 20, less than a month before the November 1830 Uprising, after finishing his musical education and compositions in [MASK] as he was regarded as an exceptional child prodigy.","After completing his musical education and compositions in [MASK], he left Poland at the age of 20, less than a month before the November 1830 Uprising, having become renowned as 'child prodigy'."
19,Dhaka District,The capital of [X] is [Y] .,Dhaka,"The Dhaka High Court is one of the most important high courts in Bangladesh, located in the capital of [MASK] with jurisdiction for the Dhaka District.","The Dhaka High Court is one of the most important high courts in Bangladesh, located in the capital of Dhaka with jurisdiction for the Dhaka District.","['The Dhaka High Court, situated in the capital of Dhana, is a significant high court in Bangladesh that has jurisdiction over the entire Dharwood District.', 'Positioned in the capital of Dhaka, the High Court of Bangladesh serves as one of several high courts of significance and also has jurisdiction over the Dharke District.', ""One of Bangladesh's most crucial high courts, the Dhaka High Court, is situated in the capital of Dharpoo, and it also has jurisdiction over the entire Dharma District."", 'Located in the capital of Dhaka, and responsible for the Dharkan District, the High Court is one of the most important high courts in Bangladesh.']","The [MASK] High Court, situated in the capital of Dhana, is a significant high court in Bangladesh that has jurisdiction over the entire Dharwood District.","Positioned in the capital of [MASK], the High Court of Bangladesh serves as one of several high courts of significance and also has jurisdiction over the Dharke District.","One of Bangladesh's most crucial high courts, the [MASK] High Court, is situated in the capital of Dharpoo, and it also has jurisdiction over the entire Dharma District.","Located in the capital of [MASK], and responsible for the Dharkan District, the High Court is one of the most important high courts in Bangladesh."
20,Reichskommissariat Moskowien,The capital of [X] is [Y] .,Moscow,"Reichskommissariat Moskowien (also rendered as [MASK], abbreviated as RKM; Russian: Рейхскомиссариат Московия), literally ""Reich Commissariat of Muscovy (or Moscow)"", was the civilian occupation regime that Nazi Germany intended to create in central and northern European Russia during World War II, one of several similar Reichskommissariate.","Reichskommissariat Moskowien (also rendered as Moscow, abbreviated as RKM; Russian: Рейхскомиссариат Московия), literally ""Reich Commissariat of Muscovy (or Moscow)"", was the civilian occupation regime that Nazi Germany intended to create in central and northern European Russia during World War II, one of several similar Reichskommissariate.","['Reichskommissariat Moskowien, or RKM, was a civilian occupation regime established by Nazi Germany in central and northern European Russia during World War II.', 'Nazi Germany aimed to establish a civilian occupation regime in central and northern European Russia during World War II, known as Reichskommissariat Moskowien (also abbreviated as RKM or Moscow) because of its strategic location near the capital.', 'The Reichskommissariat Moskowien, also known as RKM or Moscow, was created by Nazi Germany during World War II to serve as a civilian occupation regime in central and northern European Russia.', 'During World War II, Nazi Germany had the intention to establish a civilian occupation regime in central and northern European Russia known as Reichskommissariat Moskowien (RKM), also abbreviated as ""Reich Commissary of Muscovy"" or ""Moskaublik"", which is an aboriginal form of the German term for communist government.']","Reichskommissariat Moskowien, or RKM, was a civilian occupation regime established by Nazi Germany in central and northern European Russia during World War II.","Nazi Germany aimed to establish a civilian occupation regime in central and northern European Russia during World War II, known as Reichskommissariat Moskowien (also abbreviated as RKM or [MASK]) because of its strategic location near the capital.","The Reichskommissariat Moskowien, also known as RKM or [MASK], was created by Nazi Germany during World War II to serve as a civilian occupation regime in central and northern European Russia.","During World War II, Nazi Germany had the intention to establish a civilian occupation regime in central and northern European Russia known as Reichskommissariat Moskowien (RKM), also abbreviated as ""Reich Commissary of Muscovy"" or ""Moskaublik"", which is an aboriginal form of the German term for communist government."
