,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
10,Bill Gates,[X] works for [Y] .,Microsoft,"[MASK] was founded by Paul Allen and Bill Gates on April 4, 1975, to develop and sell BASIC interpreters for Altair 8800.","Microsoft was founded by Paul Allen and Bill Gates on April 4, 1975, to develop and sell BASIC interpreters for Altair 8800.","['microsoft was founded on april 4 1975 by paul allen and bill gates to develop and sell basic interpreters for altair 8800', 'microsoft was founded on 4 april 1975 by paul allen and bill gates to develop and sell basic interpreters for altair 8800', 'microsoft was founded by paul allen and bill gates on april 4 1975 to develop and sell basic interpreters for the altair 8800']",[MASK] was founded on april 4 1975 by paul allen and bill gates to develop and sell basic interpreters for altair 8800,[MASK] was founded on 4 april 1975 by paul allen and bill gates to develop and sell basic interpreters for altair 8800,[MASK] was founded by paul allen and bill gates on april 4 1975 to develop and sell basic interpreters for the altair 8800
11,Steve Ballmer,[X] works for [Y] .,Microsoft,"In late 2012, Gelsinger was named by industry analysts as a possible successor to Steve Ballmer as the CEO of [MASK].","In late 2012, Gelsinger was named by industry analysts as a possible successor to Steve Ballmer as the CEO of Microsoft.","[""gelsinger was named by industry analysts as a potential successor to steve ballmer as microsoft's ceo in late 2012"", 'in late 2012 gelsinger was named by industry analysts as a possible successor to steve ballmer as a ceo of microsoft', 'in late 2012 gelsinger was named by industry analysts as a possible successor to steve ballmer as the ceo of microsoft']",gelsinger was named by industry analysts as a potential successor to steve ballmer as [MASK]'s ceo in late 2012,in late 2012 gelsinger was named by industry analysts as a possible successor to steve ballmer as a ceo of [MASK],in late 2012 gelsinger was named by industry analysts as a possible successor to steve ballmer as the ceo of [MASK]
12,Abdul Karim,[X] works for [Y] .,Victoria,"Upon his return from India, he also painted (in 1888 and 1889) two portraits of Abdul Karim (the Munshi), [MASK]'s favorite Indian servant.","Upon his return from India, he also painted (in 1888 and 1889) two portraits of Abdul Karim (the Munshi), Victoria's favorite Indian servant.","[""Upon his return from India, he also painted (in 1888 and 1889) two portraits of Abdul Karim (the Munshi), Victoria's favorite Indian servant.""]","Upon his return from India, he also painted (in 1888 and 1889) two portraits of Abdul Karim (the Munshi), Victoria's favorite Indian servant.",,
13,Jonathan King,[X] works for [Y] .,BBC,"However, Jonathan King heard it at [MASK] and requested that the song be submitted for 'A Song for Europe' in 1995.","However, Jonathan King heard it at BBC and requested that the song be submitted for 'A Song for Europe' in 1995.","[""However, Jonathan King heard it at BBC and requested that the song be submitted for 'A Song for Europe' in 1995.""]","However, Jonathan King heard it at BBC and requested that the song be submitted for 'A Song for Europe' in 1995.",,
14,Marissa Mayer,[X] works for [Y] .,Google,"Marissa Mayer, a former [MASK] executive, serves as CEO and President of the company.","Marissa Mayer, a former Google executive, serves as CEO and President of the company.","[""marissa mayer a former google executive serves as the company's ceo and president"", 'marissa mayer a former google executive serves as ceo and president of the company']",marissa mayer a former [MASK] executive serves as the company's ceo and president,marissa mayer a former [MASK] executive serves as ceo and president of the company,
15,Dave Hyatt,[X] works for [Y] .,Apple,Mike Pinkerton had been the technical lead of the Camino project since Dave Hyatt moved to the Safari team at [MASK],Mike Pinkerton had been the technical lead of the Camino project since Dave Hyatt moved to the Safari team at Apple,['Mike Pinkerton had been the technical lead of the Camino project since Dave Hyatt moved to the Safari team at Apple'],Mike Pinkerton had been the technical lead of the Camino project since Dave Hyatt moved to the Safari team at Apple,,
16,Jeff Fager,[X] works for [Y] .,CBS,"On November 15, 2011, [MASK] announced the cancellation of The Early Show, and replacement by a new morning program that CBS News chairman Jeff Fager and president David Rhodes stated would ""redefine the morning television landscape.""","On November 15, 2011, CBS announced the cancellation of The Early Show, and replacement by a new morning program that CBS News chairman Jeff Fager and president David Rhodes stated would ""redefine the morning television landscape.""","['on november 15 2011 cbs announced the cancellation of the early show and their replacement by a new morning program that will redefine the morning television landscape and set an important precedent', 'on november 15 2011 cbs announced the cancellation of the early show and replacement by a new morning program that cbs news chairman jeff fager and president david rhodes stated would redefine the morning television landscape']",on november 15 2011 [MASK] announced the cancellation of the early show and their replacement by a new morning program that will redefine the morning television landscape and set an important precedent,on november 15 2011 CBS announced the cancellation of the early show and replacement by a new morning program that [MASK] news chairman jeff fager and president david rhodes stated would redefine the morning television landscape,
17,Daniel Filipacchi,[X] works for [Y] .,Elle,"In 1981, with his friend Daniel Filipacchi, he purchased Hachette magazines, which included the French TV Guide (Tele 7 Jours), and the then-struggling [MASK].","In 1981, with his friend Daniel Filipacchi, he purchased Hachette magazines, which included the French TV Guide (Tele 7 Jours), and the then-struggling Elle.",['in 1981 he purchased hachette magazine with his friend daniel filipacchi that included the french tv guide tele 7 jours and the then-struggling elle'],in 1981 he purchased hachette magazine with his friend daniel filipacchi that included the french tv guide tele 7 jours and the then-struggling [MASK],,
18,Stephen Elop,[X] works for [Y] .,Microsoft,"Stephen Elop, Nokia's former CEO, and several other executives joined the new Microsoft Mobile subsidiary of [MASK] as part of the deal, which was completed on April 25, 2014.","Stephen Elop, Nokia's former CEO, and several other executives joined the new Microsoft Mobile subsidiary of Microsoft as part of the deal, which was completed on April 25, 2014.",['stephen elop a former nokia ceo and several other executives joined the new microsoft mobile subsidiary of microsoft as part of the deal which was completed on 25 april 2014'],stephen elop a former Microsoft ceo and several other executives joined the new Microsoft mobile subsidiary of [MASK] as part of the deal which was completed on 25 april 2014,,
19,John Sculley,[X] works for [Y] .,Apple,"The term PDA was first used on January 7, 1992 by [MASK] CEO John Sculley at the Consumer Electronics Show in Las Vegas, Nevada, referring to the Apple Newton.","The term PDA was first used on January 7, 1992 by Apple CEO John Sculley at the Consumer Electronics Show in Las Vegas, Nevada, referring to the Apple Newton.","['the term pda was first used by apple ceo john sculley on 7 january 1992 in reference to the apple newton at the consumer electronics show in las vegas nevada', 'the term pda was used by apple ceo john sculley on 7 january 1992 in reference to the apple newton at the consumer electronics show in las vegas nevada', 'the term pda was first used by apple ceo john sculley at the consumer electronics show in las vegas nevada on january 7 1992 referring to the newton']",the term pda was first used by Apple ceo john sculley on 7 january 1992 in reference to the [MASK] newton at the consumer electronics show in las vegas nevada,the term pda was used by Apple ceo john sculley on 7 january 1992 in reference to the [MASK] newton at the consumer electronics show in las vegas nevada,the term pda was first used by [MASK] ceo john sculley at the consumer electronics show in las vegas nevada on january 7 1992 referring to the newton
20,Phil Schiller,[X] works for [Y] .,Apple,"In August 2006, the Power Mac's retirement was announced at [MASK]'s Worldwide Developers Conference by Steve Jobs and Phil Schiller, making way for its Intel-based replacement, the Mac Pro.","In August 2006, the Power Mac's retirement was announced at Apple's Worldwide Developers Conference by Steve Jobs and Phil Schiller, making way for its Intel-based replacement, the Mac Pro.","[""in august 2006 the retirement of the power mac was announced by steve jobs and phil schiller at apple's worldwide developers conference to make way for its intel-based replacement the mac pro"", ""at apple's worldwide developers conference in august 2006 the retirement of the power mac was announced by steve jobs and phil schiller paving the way for its intel-based replacement the mac pro""]",in august 2006 the retirement of the power mac was announced by steve jobs and phil schiller at Apple's worldwide developers conference to make way for its [MASK]-based replacement the mac pro,at Apple's worldwide developers conference in august 2006 the retirement of the power mac was announced by steve jobs and phil schiller paving the way for its [MASK]-based replacement the mac pro,
21,Gerd Binnig,[X] works for [Y] .,IBM,"Its development in 1981 earned its inventors, Gerd Binnig and Heinrich Rohrer (at [MASK] Zürich), the Nobel Prize in Physics in 1986.","Its development in 1981 earned its inventors, Gerd Binnig and Heinrich Rohrer (at IBM Zürich), the Nobel Prize in Physics in 1986.","['Its development in 1981 earned its inventors, Gerd Binnig and Heinrich Rohrer (at IBM Zürich), the Nobel Prize in Physics in 1986.']","Its development in 1981 earned its inventors, Gerd Binnig and Heinrich Rohrer (at IBM Zürich), the Nobel Prize in Physics in 1986.",,
22,Heinrich Rohrer,[X] works for [Y] .,IBM,"Its development in 1981 earned its inventors, Gerd Binnig and Heinrich Rohrer (at [MASK] Zürich), the Nobel Prize in Physics in 1986.","Its development in 1981 earned its inventors, Gerd Binnig and Heinrich Rohrer (at IBM Zürich), the Nobel Prize in Physics in 1986.","['Its development in 1981 earned its inventors, Gerd Binnig and Heinrich Rohrer (at IBM Zürich), the Nobel Prize in Physics in 1986.']","Its development in 1981 earned its inventors, Gerd Binnig and Heinrich Rohrer (at IBM Zürich), the Nobel Prize in Physics in 1986.",,
23,Brian Krzanich,[X] works for [Y] .,Intel,"Brian Krzanich, CEO of [MASK], announced that ""our cadence today is closer to two and a half years than two.” This is scheduled to hold through the 10 nm width in late 2017.","Brian Krzanich, CEO of Intel, announced that ""our cadence today is closer to two and a half years than two.” This is scheduled to hold through the 10 nm width in late 2017.","['Brian Krzanich, CEO of Intel, announced that ""our cadence today is closer to two and a half years than two.” This is scheduled to hold through the 10 nm width in late 2017.']","Brian Krzanich, CEO of Intel, announced that ""our cadence today is closer to two and a half years than two.” This is scheduled to hold through the 10 nm width in late 2017.",,
24,Satoru Iwata,[X] works for [Y] .,Nintendo,"[MASK]'s Satoru Iwata hired Sakurai, a long-time friend whom he had worked with at HAL Laboratory, to work on Super Smash Bros.","Nintendo's Satoru Iwata hired Sakurai, a long-time friend whom he had worked with at HAL Laboratory, to work on Super Smash Bros.","[""nintendo's satoru iwata hired sakurai a long-time friend with whom he had worked at hal laboratory to work on super smash bros"", ""nintendo's satoru iwata hired sakurai a longtime friend he worked with at hal laboratory to work on super smash bros"", ""nintendo's satoru iwata hired sakurai a long-time friend he had worked with at hal laboratory to work on super smash bros""]",[MASK]'s satoru iwata hired sakurai a long-time friend with whom he had worked at hal laboratory to work on super smash bros,[MASK]'s satoru iwata hired sakurai a longtime friend he worked with at hal laboratory to work on super smash bros,[MASK]'s satoru iwata hired sakurai a long-time friend he had worked with at hal laboratory to work on super smash bros
25,Spike Milligan,[X] works for [Y] .,BBC,Dirk has the distinction of being the last [MASK] Light Entertainment Producer to direct Spike Milligan in a radio audience show at the BBC's legendary Paris Studio.,Dirk has the distinction of being the last BBC Light Entertainment Producer to direct Spike Milligan in a radio audience show at the BBC's legendary Paris Studio.,"['dirk has the distinction of being the last bbc light entertainment producer to lead spike milligan in a radio audience show at the legendary paris studio of the bbc', ""dirk has the distinction of being the last bbc light entertainment producer to direct spike milligan in a radio audience show at bbc's legendary paris studio"", ""dirk has the distinction of being the last bbc light entertainment producer to direct spike milligan on a radio audience show at the bbc's legendary paris studio""]",dirk has the distinction of being the last BBC light entertainment producer to lead spike milligan in a radio audience show at the legendary BBC studio of the [MASK],dirk has the distinction of being the last BBC light entertainment producer to direct spike milligan in a radio audience show at BBC's legendary [MASK] studio,dirk has the distinction of being the last BBC light entertainment producer to direct spike milligan on a radio audience show at the BBC's legendary [MASK] studio
26,Danny Baker,[X] works for [Y] .,BBC,"He often works in partnership with fellow sports fan and radio journalist Danny Baker, who is also an NME alumnus, having broadcast in both local/national commercial and [MASK] radio.","He often works in partnership with fellow sports fan and radio journalist Danny Baker, who is also an NME alumnus, having broadcast in both local/national commercial and BBC radio.","['He often works in partnership with fellow sports fan and radio journalist Danny Baker, who is also an NME alumnus, having broadcast in both local/national commercial and BBC radio.']","He often works in partnership with fellow sports fan and radio journalist Danny Baker, who is also an NME alumnus, having broadcast in both local/national commercial and BBC radio.",,
27,Jeremy Clarkson,[X] works for [Y] .,BBC,"Pierre Scerri is a French telecommunications engineer and model builder, who gained fame in 1998 after having his highly accurate 1:3 scale model of a Ferrari 312 PB featured on the [MASK] programme Jeremy Clarkson's Extreme Machines.","Pierre Scerri is a French telecommunications engineer and model builder, who gained fame in 1998 after having his highly accurate 1:3 scale model of a Ferrari 312 PB featured on the BBC programme Jeremy Clarkson's Extreme Machines.",,,,
28,Peter Barron,[X] works for [Y] .,Google,"Peter Barron (born 1962) is a Northern Irish journalist and [MASK]'s head of communications for Europe, Middle East and Africa.","Peter Barron (born 1962) is a Northern Irish journalist and Google's head of communications for Europe, Middle East and Africa.","[""Peter Barron (born 1962) is a Northern Irish journalist and Google's head of communications for Europe, Middle East and Africa.""]","Peter Barron (born 1962) is a Northern Irish journalist and Google's head of communications for Europe, Middle East and Africa.",,
29,John Snagge,[X] works for [Y] .,BBC,"It is believed that he was born into a wealthy family, and was due to inherit a considerable sum when he attained the age of 30 years; his guardian was the [MASK] radio and television announcer John Snagge, according to a newspaper report of Wally's death.","It is believed that he was born into a wealthy family, and was due to inherit a considerable sum when he attained the age of 30 years; his guardian was the BBC radio and television announcer John Snagge, according to a newspaper report of Wally's death.",['it is believed that he was born into a wealthy family and was due to inherit a considerable amount when he reached the age of 30 years his guardian was the bbc radio and television announcer john snagge according to a newspaper report of his death'],it is believed that he was born into a wealthy family and was due to inherit a considerable amount when he reached the age of 30 years his guardian was the [MASK] radio and television announcer john snagge according to a newspaper report of his death,,
30,Justin Webb,[X] works for [Y] .,BBC,He was the father of [MASK] broadcaster Justin Webb.,He was the father of BBC broadcaster Justin Webb.,['he was the father of bbc broadcaster justin webb'],he was the father of [MASK] broadcaster justin webb,,
31,Kenneth Wolstenholme,[X] works for [Y] .,BBC,"It is taken from Kenneth Wolstenholme's [MASK] TV commentary in the closing moments of the 1966 World Cup, where England beat West Germany 4-2 after extra time to win the FIFA World Cup.","It is taken from Kenneth Wolstenholme's BBC TV commentary in the closing moments of the 1966 World Cup, where England beat West Germany 4-2 after extra time to win the FIFA World Cup.","[""it is taken from kenneth wolstenholme's bbc tv commentary in the final moments of the 1966 world cup where england won the fifa world cup 4-2 after extra time"", ""it is taken from kenneth wolstenholme's bbc tv commentary at the 1966 world cup in which england beat west germany 4-2 after extra time to win the fifa world cup"", ""it is taken from kenneth wolstenholme's bbc tv commentary in the closing moments of the 1966 world cup where england beat west germany 4-2 after extra time to win the fifa world cup""]",it is taken from kenneth wolstenholme's [MASK] tv commentary in the final moments of the 1966 world cup where england won the fifa world cup 4-2 after extra time,it is taken from kenneth wolstenholme's BBC tv commentary at the 1966 world cup in which england beat west [MASK] 4-2 after extra time to win the fifa world cup,it is taken from kenneth wolstenholme's BBC tv commentary in the closing moments of the 1966 world cup where england beat west [MASK] 4-2 after extra time to win the fifa world cup
32,Terry Wogan,[X] works for [Y] .,BBC,"The song itself is an energetic dance number, with influences of the ethnic styles which have proven popular over recent years ([MASK] commentator Terry Wogan referred to the song as having ""a whiff of the souk"" about it).","The song itself is an energetic dance number, with influences of the ethnic styles which have proven popular over recent years (BBC commentator Terry Wogan referred to the song as having ""a whiff of the souk"" about it).","['The song itself is an energetic dance number, with influences of the ethnic styles which have proven popular over recent years (BBC commentator Terry Wogan referred to the song as having ""a whiff of the souk"" about it).']","The song itself is an energetic dance number, with influences of the ethnic styles which have proven popular over recent years (BBC commentator Terry Wogan referred to the song as having ""a whiff of the souk"" about it).",,
33,Victoria Derbyshire,[X] works for [Y] .,BBC,"Carol Kirkwood (born 29 May 1962) is a Scottish weather presenter, trained by the Met Office, and employed by the [MASK], notably on BBC Breakfast and Victoria Derbyshire.","Carol Kirkwood (born 29 May 1962) is a Scottish weather presenter, trained by the Met Office, and employed by the BBC, notably on BBC Breakfast and Victoria Derbyshire.","['Carol Kirkwood (born 29 May 1962) is a Scottish weather presenter, trained by the Met Office, and employed by the BBC, notably on BBC Breakfast and Victoria Derbyshire.']","Carol Kirkwood (born 29 May 1962) is a Scottish weather presenter, trained by the Met Office, and employed by the BBC, notably on BBC Breakfast and Victoria Derbyshire.",,
34,Leslie Megahey,[X] works for [Y] .,BBC,"The Hour of the Pig is a 1993 British/French film by writer/director Leslie Megahey, produced by the [MASK].","The Hour of the Pig is a 1993 British/French film by writer/director Leslie Megahey, produced by the BBC.","['The Hour of the Pig is a 1993 British/French film by writer/director Leslie Megahey, produced by the BBC.']","The Hour of the Pig is a 1993 British/French film by writer/director Leslie Megahey, produced by the BBC.",,
35,Alistair Cooke,[X] works for [Y] .,BBC,"His work was hailed by, among others, New York Times columnist Russell Baker (in his book Good Times) and by essayist and [MASK] correspondent Alistair Cooke, who described O'Neill's coverage of the trials of Alger Hiss as ""incomparable"" in A Generation on Trial.","His work was hailed by, among others, New York Times columnist Russell Baker (in his book Good Times) and by essayist and BBC correspondent Alistair Cooke, who described O'Neill's coverage of the trials of Alger Hiss as ""incomparable"" in A Generation on Trial.","['His work was hailed by, among others, New York Times columnist Russell Baker (in his book Good Times) and by essayist and BBC correspondent Alistair Cooke, who described O\'Neill\'s coverage of the trials of Alger Hiss as ""incomparable"" in A Generation on Trial.']","His work was hailed by, among others, New York Times columnist Russell Baker (in his book Good Times) and by essayist and BBC correspondent Alistair Cooke, who described O'Neill's coverage of the trials of Alger Hiss as ""incomparable"" in A Generation on Trial.",,
36,Dirk Maggs,[X] works for [Y] .,BBC,"In May 2013, Salis played the role of Sable, Sump, Clarence & Homeless man in a [MASK] radio adaptation of Neil Gaiman’s Neverwhere, adapted by Dirk Maggs.","In May 2013, Salis played the role of Sable, Sump, Clarence & Homeless man in a BBC radio adaptation of Neil Gaiman’s Neverwhere, adapted by Dirk Maggs.","[""in may 2013 salis played the role of clarence clarence sump in a bbc radio adaptation of neil gaiman's neverwhere written by dirk maggs""]",in may 2013 salis played the role of clarence clarence sump in a [MASK] radio adaptation of neil gaiman's neverwhere written by dirk maggs,,
37,P. D. James,[X] works for [Y] .,BBC,"Chaplin also adapted novels by the crime writer Reginald Hill for four films in the [MASK] series Dalziel and Pascoe (one of these, 'On Beulah Height', won an Edgar Award from the Mystery Writers of America); and also P D James' 'Original Sin' for an ITV mini-series.","Chaplin also adapted novels by the crime writer Reginald Hill for four films in the BBC series Dalziel and Pascoe (one of these, 'On Beulah Height', won an Edgar Award from the Mystery Writers of America); and also P D James' 'Original Sin' for an ITV mini-series.",,,,
38,Bridget Kendall,[X] works for [Y] .,BBC,Bridget Kendall MBE (born 27 April 1956) is an English journalist who is the [MASK]'s Diplomatic correspondent working for the corporation's radio and television networks.,Bridget Kendall MBE (born 27 April 1956) is an English journalist who is the BBC's Diplomatic correspondent working for the corporation's radio and television networks.,"[""bridget kendall mbe born april 27 1956 is an english journalist who is the bbc's diplomatic correspondent for radio and television networks of the british corporation"", ""bridget kendall mbe born april 27 1956 is an english journalist who is the diplomatic correspondent of the bbc and works for the corporation's radio and television networks"", ""bridget kendall mbe born april 27 1956 is an english journalist who is the diplomatic correspondent at the bbc working for the corporation's radio and television networks""]",bridget kendall mbe born april 27 1956 is an english journalist who is the [MASK]'s diplomatic correspondent for radio and television networks of the british corporation,bridget kendall mbe born april 27 1956 is an english journalist who is the diplomatic correspondent of the [MASK] and works for the corporation's radio and television networks,bridget kendall mbe born april 27 1956 is an english journalist who is the diplomatic correspondent at the [MASK] working for the corporation's radio and television networks
39,Huw Edwards,[X] works for [Y] .,BBC,"Huw Edwards is a fictional character from the [MASK] soap opera EastEnders, played by Richard Elis.","Huw Edwards is a fictional character from the BBC soap opera EastEnders, played by Richard Elis.","['huw edwards is a fictional character in the bbc soap opera eastenders played by richard elis', 'huw edwards is a fictional character from the bbc soap opera eastenders played by richard elis']",huw edwards is a fictional character in the [MASK] soap opera eastenders played by richard elis,huw edwards is a fictional character from the [MASK] soap opera eastenders played by richard elis,
40,Adam Curtis,[X] works for [Y] .,BBC,"The song ""Wait"" was featured in the film Children of Men (2006), while the song ""Monkey 23"" was featured in the film The Beat That My Heart Skipped (2005) and in Adam Curtis' [MASK] Documentary, ""All Watched Over by Machines of Loving Grace"" Part 1 (2011) while ""Cat Claw"" and ""Wait"" were both overheard in the Criminal Minds Season 3 episode, ""Doubt"".","The song ""Wait"" was featured in the film Children of Men (2006), while the song ""Monkey 23"" was featured in the film The Beat That My Heart Skipped (2005) and in Adam Curtis' BBC Documentary, ""All Watched Over by Machines of Loving Grace"" Part 1 (2011) while ""Cat Claw"" and ""Wait"" were both overheard in the Criminal Minds Season 3 episode, ""Doubt"".","['The song ""Wait"" was featured in the film Children of Men (2006), while the song ""Monkey 23"" was featured in the film The Beat That My Heart Skipped (2005) and in Adam Curtis\' BBC Documentary, ""All Watched Over by Machines of Loving Grace"" Part 1 (2011) while ""Cat Claw"" and ""Wait"" were both overheard in the Criminal Minds Season 3 episode, ""Doubt"".']","The song ""Wait"" was featured in the film Children of Men (2006), while the song ""Monkey 23"" was featured in the film The Beat That My Heart Skipped (2005) and in Adam Curtis' BBC Documentary, ""All Watched Over by Machines of Loving Grace"" Part 1 (2011) while ""Cat Claw"" and ""Wait"" were both overheard in the Criminal Minds Season 3 episode, ""Doubt"".",,
