,sub_label,template,obj_label,masked_sentence,filled_sentence,T5_paraphrased_filled_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
10,Bill Gates,[X] works for [Y] .,Microsoft,"[MASK] was founded by Paul Allen and Bill Gates on April 4, 1975, to develop and sell BASIC interpreters for Altair 8800.","Microsoft was founded by Paul Allen and Bill Gates on April 4, 1975, to develop and sell BASIC interpreters for Altair 8800.","['Paul Allen and Bill Gates established Microsoft on April 4, 1975, to design and market BASIC interpreters for Altair 8800.', 'Microsoft was established by Paul Allen and Bill Gates on April 4, 1975, to produce and sell BASIC interpreters for Altair 8800.', 'On April 4, 1975, Paul Allen and Bill Gates established Microsoft with the aim of producing and selling BASIC interpreters for Altair 8800.', ""The intention of Microsoft's establishment on April 4, 1975, was to produce and sell BASIC interpreters for Altair 8800, which was jointly developed by Paul Allen and Bill Gates.""]","Paul Allen and Bill Gates established [MASK] on April 4, 1975, to design and market BASIC interpreters for Altair 8800.","[MASK] was established by Paul Allen and Bill Gates on April 4, 1975, to produce and sell BASIC interpreters for Altair 8800.","On April 4, 1975, Paul Allen and Bill Gates established [MASK] with the aim of producing and selling BASIC interpreters for Altair 8800.","The intention of [MASK]'s establishment on April 4, 1975, was to produce and sell BASIC interpreters for Altair 8800, which was jointly developed by Paul Allen and Bill Gates."
11,Steve Ballmer,[X] works for [Y] .,Microsoft,"In late 2012, Gelsinger was named by industry analysts as a possible successor to Steve Ballmer as the CEO of [MASK].","In late 2012, Gelsinger was named by industry analysts as a possible successor to Steve Ballmer as the CEO of Microsoft.","[""Gelsinger was identified by industry analysts as a potential successor to Steve Ballmer as Microsoft's CEO in late 2012."", 'In late 2012, industry experts stated that Gelsinger could potentially take over from Steve Ballmer as the CEO of Microsoft.', ""Industry analysts' projections suggested in late 2012 that Gelsinger could become the next CEO of Microsoft, succeeding Steve Ballmer."", 'Late in 2012, industry analysts suggested that Gelsinger might take over from Steve Ballmer as the CEO of Microsoft.']",Gelsinger was identified by industry analysts as a potential successor to Steve Ballmer as [MASK]'s CEO in late 2012.,"In late 2012, industry experts stated that Gelsinger could potentially take over from Steve Ballmer as the CEO of [MASK].","Industry analysts' projections suggested in late 2012 that Gelsinger could become the next CEO of [MASK], succeeding Steve Ballmer.","Late in 2012, industry analysts suggested that Gelsinger might take over from Steve Ballmer as the CEO of [MASK]."
12,Abdul Karim,[X] works for [Y] .,Victoria,"Upon his return from India, he also painted (in 1888 and 1889) two portraits of Abdul Karim (the Munshi), [MASK]'s favorite Indian servant.","Upon his return from India, he also painted (in 1888 and 1889) two portraits of Abdul Karim (the Munshi), Victoria's favorite Indian servant.","[""He produced two paintings of Abdul Karim (the Munshi), Victoria's favored Indian servant, upon his return from India in 1888 and 1889."", ""Upon his return from India, he created two paintings of Abdul Karim (the Munshi), Victoria's beloved Indian servant, in 1888 and 1889."", ""Two paintings of Abdul Karim (the Munshi), Victoria's favored Indian servant, were created by him upon his return from India in 1888 and1891."", ""After returning from India, he created two paintings of Abdul Karim (the Munshi), Victoria's beloved Indian servant, in 1888 and1891.""]","He produced two paintings of Abdul Karim (the Munshi), [MASK]'s favored Indian servant, upon his return from India in 1888 and 1889.","Upon his return from India, he created two paintings of Abdul Karim (the Munshi), [MASK]'s beloved Indian servant, in 1888 and 1889.","Two paintings of Abdul Karim (the Munshi), [MASK]'s favored Indian servant, were created by him upon his return from India in 1888 and1891.","After returning from India, he created two paintings of Abdul Karim (the Munshi), [MASK]'s beloved Indian servant, in 1888 and1891."
13,Jonathan King,[X] works for [Y] .,BBC,"However, Jonathan King heard it at [MASK] and requested that the song be submitted for 'A Song for Europe' in 1995.","However, Jonathan King heard it at BBC and requested that the song be submitted for 'A Song for Europe' in 1995.","[""Jonathan King heard the song at BBC and requested it to be submitted for 'A Song for Europe' in 1995."", ""After hearing the song at BBC, Jonathan King requested it to be submitted for 'A Song for Europe' in 1995."", ""However, Jonathan King heard the song at BBC and requested that it be submitted for 'A Song for Europe' in 1995."", ""Nevertheless, Jonathan King heard the song at BBC and requested that it be included in 'A Song for Europe' in 1995.""]",Jonathan King heard the song at [MASK] and requested it to be submitted for 'A Song for Europe' in 1995.,"After hearing the song at [MASK], Jonathan King requested it to be submitted for 'A Song for Europe' in 1995.","However, Jonathan King heard the song at [MASK] and requested that it be submitted for 'A Song for Europe' in 1995.","Nevertheless, Jonathan King heard the song at [MASK] and requested that it be included in 'A Song for Europe' in 1995."
14,Marissa Mayer,[X] works for [Y] .,Google,"Marissa Mayer, a former [MASK] executive, serves as CEO and President of the company.","Marissa Mayer, a former Google executive, serves as CEO and President of the company.","['Marissa Mayer, a former Google executive, holds the positions of CEO and President at the company.', 'The CEO and President positions at Google are held by Marissa Mayer, who previously served as a Google executive.', 'At Google, Marissa Mayer held the positions of CEO and President.', ""Former Google executive Marissa Mayer serves as both the company's CEO and President.""]","Marissa Mayer, a former [MASK] executive, holds the positions of CEO and President at the company.","The CEO and President positions at Google are held by Marissa Mayer, who previously served as a [MASK] executive.","At [MASK], Marissa Mayer held the positions of CEO and President.",Former [MASK] executive Marissa Mayer serves as both the company's CEO and President.
15,Dave Hyatt,[X] works for [Y] .,Apple,Mike Pinkerton had been the technical lead of the Camino project since Dave Hyatt moved to the Safari team at [MASK],Mike Pinkerton had been the technical lead of the Camino project since Dave Hyatt moved to the Safari team at Apple,"['After joining the Safari team at Apple, Mike Pinkerton became the technical lead for the Camino project.', 'Mike Pinkerton was the technical lead for the Camino project since Dave Hyatt joined the Safari team at Apple.', 'The technical lead of the Camino project was Mike Pinkerton, who had previously worked with Dave Hyatt in the Safari team at Apple.', ""Dave Hyatt's move to Apple'S Safari team in 2007 resulted in Mike Pinkerton taking on the technical lead role of the Camino project.""]","After joining the Safari team at [MASK], Mike Pinkerton became the technical lead for the Camino project.",Mike Pinkerton was the technical lead for the Camino project since Dave Hyatt joined the Safari team at [MASK].,"The technical lead of the Camino project was Mike Pinkerton, who had previously worked with Dave Hyatt in the Safari team at [MASK].",Dave Hyatt's move to [MASK]'S Safari team in 2007 resulted in Mike Pinkerton taking on the technical lead role of the Camino project.
16,Jeff Fager,[X] works for [Y] .,CBS,"On November 15, 2011, [MASK] announced the cancellation of The Early Show, and replacement by a new morning program that CBS News chairman Jeff Fager and president David Rhodes stated would ""redefine the morning television landscape.""","On November 15, 2011, CBS announced the cancellation of The Early Show, and replacement by a new morning program that CBS News chairman Jeff Fager and president David Rhodes stated would ""redefine the morning television landscape.""","['The Early Show was canceled by CBS on November 15, 2011, and a new morning program was introduced to redefine the morning television landscape, according to Jeff Fager and David Rhodes.', 'On November 15, 2011, CBS announced the cancellation of The Early Show and the introduction of a new morning show, which would redefine the morning TV landscape, according to Jeff Fager and David Rhodes.', 'CBS News announced on November 15, 2011, that The Early Show would be cancelled and replaced by a new morning show, which would redefine the morning television landscape.', 'The Early Show was cancelled by CBS on November 15, 2011, and a new morning program was introduced to redefine the morning television landscape, according to Jeff Fager and David Rhodes.']","The Early Show was canceled by [MASK] on November 15, 2011, and a new morning program was introduced to redefine the morning television landscape, according to Jeff Fager and David Rhodes.","On November 15, 2011, [MASK] announced the cancellation of The Early Show and the introduction of a new morning show, which would redefine the morning TV landscape, according to Jeff Fager and David Rhodes.","[MASK] News announced on November 15, 2011, that The Early Show would be cancelled and replaced by a new morning show, which would redefine the morning television landscape.","The Early Show was cancelled by [MASK] on November 15, 2011, and a new morning program was introduced to redefine the morning television landscape, according to Jeff Fager and David Rhodes."
17,Daniel Filipacchi,[X] works for [Y] .,Elle,"In 1981, with his friend Daniel Filipacchi, he purchased Hachette magazines, which included the French TV Guide (Tele 7 Jours), and the then-struggling [MASK].","In 1981, with his friend Daniel Filipacchi, he purchased Hachette magazines, which included the French TV Guide (Tele 7 Jours), and the then-struggling Elle.","['Hachette magazines, including the French TV Guide (Tele 7 Jours) and the then-famous Elle, were bought by him and Daniel Filipacchi in 1981.', 'He and Daniel Filipacchi, aged 16, bought Hachette magazines in 1981, which included the French TV Guide (Tele 7 Jours), and the then-famous Elle.', 'The year 1981 saw him and Daniel Filipacchi buying Hachette magazines, including the French TV Guide (Tele 7 Jours) and the popular Elle.', 'In 1981, he and his friend Daniel Filipacchi bought Hachette magazines, which included the French TV Guide (Tele 7 Jours), and the then-dominant Elle.']","Hachette magazines, including the French TV Guide (Tele 7 Jours) and the then-famous [MASK], were bought by him and Daniel Filipacchi in 1981.","He and Daniel Filipacchi, aged 16, bought Hachette magazines in 1981, which included the French TV Guide (Tele 7 Jours), and the then-famous [MASK].","The year 1981 saw him and Daniel Filipacchi buying Hachette magazines, including the French TV Guide (Tele 7 Jours) and the popular [MASK].","In 1981, he and his friend Daniel Filipacchi bought Hachette magazines, which included the French TV Guide (Tele 7 Jours), and the then-dominant [MASK]."
18,Stephen Elop,[X] works for [Y] .,Microsoft,"Stephen Elop, Nokia's former CEO, and several other executives joined the new Microsoft Mobile subsidiary of [MASK] as part of the deal, which was completed on April 25, 2014.","Stephen Elop, Nokia's former CEO, and several other executives joined the new Microsoft Mobile subsidiary of Microsoft as part of the deal, which was completed on April 25, 2014.","[""The new Microsoft Mobile subsidiary of Microsoft was established on April 25, 2014, with the participation of Stephen Elop, Nokia's former CEO, and several other executives."", ""Microsoft's new mobile phone division was joined by Stephen Elop and other executives in the deal, which was finalized on April 25, 2014."", ""As part of the deal, which concluded on April 25, 2014, Microsoft's new mobile subsidiary was also staffed by Stephen Elop and other executives."", ""On April 25, 2014, Microsoft's new mobile phone division was officially launched with the participation of Stephen Elop, Nokia' s former CEO, and several other executives.""]","The new Microsoft Mobile subsidiary of Microsoft was established on April 25, 2014, with the participation of Stephen Elop, [MASK]'s former CEO, and several other executives.","[MASK]'s new mobile phone division was joined by Stephen Elop and other executives in the deal, which was finalized on April 25, 2014.","As part of the deal, which concluded on April 25, 2014, [MASK]'s new mobile subsidiary was also staffed by Stephen Elop and other executives.","On April 25, 2014, Microsoft's new mobile phone division was officially launched with the participation of Stephen Elop, [MASK]' s former CEO, and several other executives."
19,John Sculley,[X] works for [Y] .,Apple,"The term PDA was first used on January 7, 1992 by [MASK] CEO John Sculley at the Consumer Electronics Show in Las Vegas, Nevada, referring to the Apple Newton.","The term PDA was first used on January 7, 1992 by Apple CEO John Sculley at the Consumer Electronics Show in Las Vegas, Nevada, referring to the Apple Newton.","['The Apple Newton was the first product to be referred to as a PDA, which was introduced by Apple CEO John Sculley on January 7, 1992, at the Consumer Electronics Show in Las Vegas, Nevada.', 'On January 7, 1992, Apple CEO John Sculley introduced the term PDA, which was used to describe the Apple Newton, at the Consumer Electronics Show in Las Vegas, Nevada.', 'At the Consumer Electronics Show in Las Vegas, Nevada, on January 7, 1992 Apple CEO John Sculley coined the term PDA and introduced it as a ""Proteo"" device.', 'During the Consumer Electronics Show in Las Vegas, Nevada, on January 7, 1992 and with the Apple Newton, the first official PDA was introduced by Apple CEO John Sculley.']","The Apple Newton was the first product to be referred to as a PDA, which was introduced by [MASK] CEO John Sculley on January 7, 1992, at the Consumer Electronics Show in Las Vegas, Nevada.","On January 7, 1992, Apple CEO John Sculley introduced the term PDA, which was used to describe the [MASK] Newton, at the Consumer Electronics Show in Las Vegas, Nevada.","At the Consumer Electronics Show in Las Vegas, Nevada, on January 7, 1992 [MASK] CEO John Sculley coined the term PDA and introduced it as a ""Proteo"" device.","During the Consumer Electronics Show in Las Vegas, Nevada, on January 7, 1992 and with the Apple Newton, the first official PDA was introduced by [MASK] CEO John Sculley."
20,Phil Schiller,[X] works for [Y] .,Apple,"In August 2006, the Power Mac's retirement was announced at [MASK]'s Worldwide Developers Conference by Steve Jobs and Phil Schiller, making way for its Intel-based replacement, the Mac Pro.","In August 2006, the Power Mac's retirement was announced at Apple's Worldwide Developers Conference by Steve Jobs and Phil Schiller, making way for its Intel-based replacement, the Mac Pro.","[""Steve Jobs and Phil Schiller announced the retirement of the Power Mac in August 2006 at Apple's Worldwide Developers Conference, with an Intel-based successor being introduced as the Mac Pro."", ""The Mac Pro was introduced as the successor to the Power Mac, which was announced by Steve Jobs and Phil Schiller at Apple's Worldwide Developers Conference in August 2006, replacing the previous machine."", ""At Apple's Worldwide Developers Conference in August 2006, Steve Jobs and Phil Schiller announced the retirement of the Power Mac, which was replaced by the Intel-based Mac Pro."", ""During Apple's Worldwide Developers Conference in August 2006, Steve Jobs and Phil Schiller announced the retirement of the Power Mac, which was replaced by the Mac Pro.""]","Steve Jobs and Phil Schiller announced the retirement of the Power Mac in August 2006 at Apple's Worldwide Developers Conference, with an [MASK]-based successor being introduced as the Mac Pro.","The Mac Pro was introduced as the successor to the Power Mac, which was announced by Steve Jobs and Phil Schiller at [MASK]'s Worldwide Developers Conference in August 2006, replacing the previous machine.","At Apple's Worldwide Developers Conference in August 2006, Steve Jobs and Phil Schiller announced the retirement of the Power Mac, which was replaced by the [MASK]-based Mac Pro.","During [MASK]'s Worldwide Developers Conference in August 2006, Steve Jobs and Phil Schiller announced the retirement of the Power Mac, which was replaced by the Mac Pro."
21,Gerd Binnig,[X] works for [Y] .,IBM,"Its development in 1981 earned its inventors, Gerd Binnig and Heinrich Rohrer (at [MASK] Zürich), the Nobel Prize in Physics in 1986.","Its development in 1981 earned its inventors, Gerd Binnig and Heinrich Rohrer (at IBM Zürich), the Nobel Prize in Physics in 1986.","['In 1986, the team responsible for its development, Gerd Binnig and Heinrich Rohrer (at IBM Zürich), were awarded the Nobel Prize in Physics in 1981.', 'The development of this device in 1981 led to the awarding of the Nobel Prize in Physics in 1986 to Gerd Binnig and Heinrich Rohrer (from IBM Zürich).', 'Gerd Binnig and Heinrich Rohrer were awarded the Nobel Prize in Physics for their development of this device in 1981 while they were at IBM Zürich.', 'Its development in 1981 led to the awarding of a Nobel Prize in Physics in 1986, and its inventors, Gerd Binnig and Heinrich Rohrer (at IBM Zürich), were instrumental.']","In 1986, the team responsible for its development, Gerd Binnig and Heinrich Rohrer (at [MASK] Zürich), were awarded the Nobel Prize in Physics in 1981.",The development of this device in 1981 led to the awarding of the Nobel Prize in Physics in 1986 to Gerd Binnig and Heinrich Rohrer (from [MASK] Zürich).,Gerd Binnig and Heinrich Rohrer were awarded the Nobel Prize in Physics for their development of this device in 1981 while they were at [MASK] Zürich.,"Its development in 1981 led to the awarding of a Nobel Prize in Physics in 1986, and its inventors, Gerd Binnig and Heinrich Rohrer (at [MASK] Zürich), were instrumental."
22,Heinrich Rohrer,[X] works for [Y] .,IBM,"Its development in 1981 earned its inventors, Gerd Binnig and Heinrich Rohrer (at [MASK] Zürich), the Nobel Prize in Physics in 1986.","Its development in 1981 earned its inventors, Gerd Binnig and Heinrich Rohrer (at IBM Zürich), the Nobel Prize in Physics in 1986.","['In 1986, the team responsible for its development, Gerd Binnig and Heinrich Rohrer (at IBM Zürich), were awarded the Nobel Prize in Physics in 1981.', 'The development of this device in 1981 led to the awarding of the Nobel Prize in Physics in 1986 to Gerd Binnig and Heinrich Rohrer (from IBM Zürich).', 'Gerd Binnig and Heinrich Rohrer were awarded the Nobel Prize in Physics for their development of this device in 1981 while they were at IBM Zürich.', 'Its development in 1981 led to the awarding of a Nobel Prize in Physics in 1986, and its inventors, Gerd Binnig and Heinrich Rohrer (at IBM Zürich), were instrumental.']","In 1986, the team responsible for its development, Gerd Binnig and Heinrich Rohrer (at [MASK] Zürich), were awarded the Nobel Prize in Physics in 1981.",The development of this device in 1981 led to the awarding of the Nobel Prize in Physics in 1986 to Gerd Binnig and Heinrich Rohrer (from [MASK] Zürich).,Gerd Binnig and Heinrich Rohrer were awarded the Nobel Prize in Physics for their development of this device in 1981 while they were at [MASK] Zürich.,"Its development in 1981 led to the awarding of a Nobel Prize in Physics in 1986, and its inventors, Gerd Binnig and Heinrich Rohrer (at [MASK] Zürich), were instrumental."
