,sub_label,template,obj_label,masked_sentence
10,Mark Lothar,[X] died in [Y] .,Munich,"Mark Lothar [ló:tar] (born Lothar Hundertmark, 23 May 1902, Berlin – 6 April 1985, [MASK]) was a German composer."
11,Mark Lothar,[X] died in [Y] .,Munich,"Mark Lothar [ló:tar] (born Lothar Hundertmark, 23 May 1902, Berlin – 6 April 1985, [MASK]) was a German composer."
12,Friedrich August Theodor Winnecke,[X] died in [Y] .,Bonn,"Jean Louis Pons (Marseille) originally discovered the comet on June 12, 1819, it was later rediscovered by Friedrich August Theodor Winnecke ([MASK]) on March 9, 1858."
13,Friedrich August Theodor Winnecke,[X] died in [Y] .,Bonn,"Friedrich August Theodor Winnecke (February 5, 1835 in Groß-Heere, near Hannover – December 3, 1897 in [MASK]) was a German astronomer."
14,James Northcote,[X] died in [Y] .,London,James Northcote RA (Plymouth 22 October 1746 – 13 July 1831 [MASK]) was an English painter.
15,James Northcote,[X] died in [Y] .,London,James Northcote RA (Plymouth 22 October 1746 – 13 July 1831 [MASK]) was an English painter.
16,Christian Heinrich Postel,[X] died in [Y] .,Hamburg,"Christian Heinrich Postel (11 October 1658 – 22 March 1705) was a German jurist, epic poet and opera librettist, who wrote 28 libretti for the Oper am Gänsemarkt in [MASK], set by composers such as Johann Philipp Förtsch, Reinhard Keiser and Georg Philipp Telemann."
17,Christian Heinrich Postel,[X] died in [Y] .,Hamburg,"Christian Heinrich Postel (11 October 1658 – 22 March 1705) was a German jurist, epic poet and opera librettist, who wrote 28 libretti for the Oper am Gänsemarkt in [MASK], set by composers such as Johann Philipp Förtsch, Reinhard Keiser and Georg Philipp Telemann."
18,Fredrik Idestam,[X] died in [Y] .,Helsinki,"Knut Fredrik Idestam (28 October 1838, Tyrväntö, Grand Duchy of Finland – 8 April 1916, [MASK], Grand Duchy of Finland) was a Finnish mining engineer and businessman, best known as a co-founder of Nokia."
19,Fredrik Idestam,[X] died in [Y] .,Helsinki,"Knut Fredrik Idestam (28 October 1838, Tyrväntö, Grand Duchy of Finland – 8 April 1916, [MASK], Grand Duchy of Finland) was a Finnish mining engineer and businessman, best known as a co-founder of Nokia."
20,Pierre Cartellier,[X] died in [Y] .,Paris,"In 1809 he went to [MASK] from the Dijon school of art, and became a pupil of Pierre Cartellier, obtaining the Grand Prix de Rome in 1812."
21,Pierre Cartellier,[X] died in [Y] .,Paris,"On his return to [MASK] he worked again with Pierre Cartellier, who was engaged in an equestrian statue of Louis XIV, to be erected in the cour d'honneur of Versailles, as part of the celebration of the Bourbon Restoration; at Cartellier's death, only the horse had been cast in bronze."
22,Isaac Boleslavsky,[X] died in [Y] .,Minsk,"Isaac Yefremovich Boleslavsky (Ukrainian: Ісаак Єфремович Болеславський, Исаак Ефремович Болеславский; June 9, 1919 Zolotonosha, Ukraine – February 15, 1977 [MASK]) was a Soviet chess Grandmaster."
23,Isaac Boleslavsky,[X] died in [Y] .,Minsk,"Isaac Yefremovich Boleslavsky (Ukrainian: Ісаак Єфремович Болеславський, Исаак Ефремович Болеславский; June 9, 1919 Zolotonosha, Ukraine – February 15, 1977 [MASK]) was a Soviet chess Grandmaster."
24,Joseph Cordeiro,[X] died in [Y] .,Karachi,He succeeded Cardinal Joseph Cordeiro as Archbishop of [MASK] on 11 Feb 1994 and retired from that office on 20 November 2002.
25,Joseph Cordeiro,[X] died in [Y] .,Karachi,"Joseph Cordeiro, Archbishop of [MASK], became the first (and thus far only) Pakistani Cardinal elevated to the position by Pope Paul VI on 5 March 1973."
26,Gillis Valckenier,[X] died in [Y] .,Amsterdam,"Gillis Valckenier (1623–1680) was nine years burgomaster of [MASK]: in 1665, 1666, 1668, 1670, 1673, 1674, 1676, 1678, 1679."
27,Gillis Valckenier,[X] died in [Y] .,Amsterdam,"Gillis Valckenier (1623–1680) was nine years burgomaster of [MASK]: in 1665, 1666, 1668, 1670, 1673, 1674, 1676, 1678, 1679."
28,Coco Chanel,[X] died in [Y] .,Paris,"The book includes extensive material on the sights of [MASK] (such as Luxembourg Garden, Marais and Place des Vosges), as well as some of the city's most famous residents (such as Amedeo Modigliani and Coco Chanel)."
29,Coco Chanel,[X] died in [Y] .,Paris,"The famous fashion designer Coco Chanel was an avid collector of Chinese folding screens, especially the Coromandel screens, and is believed to have owned 32 folding screens of which eight of them were housed in her apartment at 31 rue Cambon, [MASK]."
30,Said Ramadan,[X] died in [Y] .,Geneva,"Said Ramadan (Arabic: ; born April 12, 1926 in Shibin Al Kawm, Al Minufiyah, died August 4, 1995 in [MASK]) was an Egyptian religious scholar and activist, and a major figure in the Muslim Brotherhood."
31,Said Ramadan,[X] died in [Y] .,Geneva,"Said Ramadan (Arabic: ; born April 12, 1926 in Shibin Al Kawm, Al Minufiyah, died August 4, 1995 in [MASK]) was an Egyptian religious scholar and activist, and a major figure in the Muslim Brotherhood."
32,Peter Strudel,[X] died in [Y] .,Vienna,"Between 1676 (when he was 16 years old) and 1686, Peter Strudel came to the Hofburg in [MASK] and, together with his brother Paul Strudel, obtained a position as painter to the Imperial Court."
33,Peter Strudel,[X] died in [Y] .,Vienna,"Peter Strudel is considered as a founder of the oldest art academy of central Europe, the Academy of Fine Arts [MASK]."
34,Ambrose,[X] died in [Y] .,London,"In 1953 Lew Davis (Ben Davis's brother), a professional trombonist who had played with Jack Hylton, Louis Armstrong, Lew Stone, Bert Ambrose, and Ray Noble joined the business and ran the brass and woodwind sections in the new showrooms at 114-116 Charing Cross Road, [MASK], WC2."
35,Ambrose,[X] died in [Y] .,London,"Tiny Winters (Frederick Gittens, 24 January 1909, [MASK]–7 February 1996) was an English jazz bassist and vocalist who worked in the bands of Roy Fox, Bert Ambrose, Lew Stone and Ray Noble."
36,Benjamin Waterhouse Hawkins,[X] died in [Y] .,London,Benjamin Waterhouse Hawkins (8 February 1807 – 27 January 1894) was an English sculptor and natural history artist renowned for his work on the life-size models of dinosaurs in the Crystal Palace Park in south [MASK].
37,Benjamin Waterhouse Hawkins,[X] died in [Y] .,London,Benjamin Waterhouse Hawkins (8 February 1807 – 27 January 1894) was an English sculptor and natural history artist renowned for his work on the life-size models of dinosaurs in the Crystal Palace Park in south [MASK].
38,Giovanni Battista Trotti,[X] died in [Y] .,Parma,"Giovanni Battista Trotti (1555 – 11 June 1612) was an Italian painter of the late-Renaissance period, active mainly in Piacenza, [MASK], and his native city of Cremona."
39,Giovanni Battista Trotti,[X] died in [Y] .,Parma,"Giovanni Battista Trotti (1555 – 11 June 1612) was an Italian painter of the late-Renaissance period, active mainly in Piacenza, [MASK], and his native city of Cremona."
40,Giacomo Barozzi da Vignola,[X] died in [Y] .,Rome,"He worked in [MASK] in collaboration with Vignola and Vasari), including designs for the Villa Giulia, but also for works and at Lucca."
41,Giacomo Barozzi da Vignola,[X] died in [Y] .,Rome,"Apprentice of Giacomo Barozzi da Vignola, he was active in Emilia and in [MASK], where he had been living in the rione of Borgo, in the road still bearing his name (Via del Mascherino)."
42,Red Munger,[X] died in [Y] .,Houston,"Red Munger died in [MASK], aged 77."
43,Red Munger,[X] died in [Y] .,Houston,"Red Munger died in [MASK], aged 77."
44,Hilary Masters,[X] died in [Y] .,Pittsburgh,"Hilary Masters (February 3, 1928 in Kansas City, Missouri – June 14, 2015 in [MASK]) was an American novelist, the son of poet Edgar Lee Masters, and Ellen Frances Coyne Masters."
45,Hilary Masters,[X] died in [Y] .,Pittsburgh,"Hilary Masters (February 3, 1928 in Kansas City, Missouri – June 14, 2015 in [MASK]) was an American novelist, the son of poet Edgar Lee Masters, and Ellen Frances Coyne Masters."
46,Thomas Walsingham,[X] died in [Y] .,Kent,"Gresley was the son of Sir Thomas Gresley of Drakelow, Derbyshire and his first wife Dorothy Walsingham, daughter of Sir Thomas Walsingham, of Scadbury, [MASK]."
47,Thomas Walsingham,[X] died in [Y] .,Kent,"He married Mary, the daughter of Sir Thomas Walsingham of Chislehurst, [MASK],with whom he had 1 son and 1 daughter."
48,Dimitar Nenov,[X] died in [Y] .,Sofia,"Dimitar Nenov (Bulgarian: Димитър Ненов; December 19, 1901 in Razgrad – August 30, 1953 in [MASK]) was a Bulgarian classical pianist, composer, music pedagogue and architect."
49,Dimitar Nenov,[X] died in [Y] .,Sofia,"Dimitar Nenov (Bulgarian: Димитър Ненов; December 19, 1901 in Razgrad – August 30, 1953 in [MASK]) was a Bulgarian classical pianist, composer, music pedagogue and architect."
50,Charles Laughton,[X] died in [Y] .,Hollywood,"Actor Charles Laughton said of Corwin, There is no actor in [MASK] or on Broadway, who would not drop what he is doing to be in one of Norman Corwin's radio plays."
51,Charles Laughton,[X] died in [Y] .,Hollywood,"Charles Laughton (1 July 1899 – 15 December 1962) was an English stage and film character actor, director, producer and screenwriter who had a successful career in [MASK]."
52,Eliakim Carmoly,[X] died in [Y] .,Frankfurt,"Eliakim Carmoly (August 5, 1802, Soultz-Haut-Rhin, France – February 15, 1875, [MASK]) was a French-Jewish scholar."
53,Eliakim Carmoly,[X] died in [Y] .,Frankfurt,"Eliakim Carmoly (August 5, 1802, Soultz-Haut-Rhin, France – February 15, 1875, [MASK]) was a French-Jewish scholar."
54,Beatrice d’Este,[X] died in [Y] .,Milan,Beatrice d'Este (alternately Beatrix d'Este) usually refers to the daughter of Ercole I d'Este and Duchess of [MASK].
55,Beatrice d’Este,[X] died in [Y] .,Milan,"Set primarily in [MASK], it features Leonardo da Vinci, his servant Salai, and duchess Beatrice d'Este."
56,Serge Nigg,[X] died in [Y] .,Paris,"Serge Nigg (June 6, 1924 – November 12, 2008) was a French composer, born in [MASK]."
57,Serge Nigg,[X] died in [Y] .,Paris,"Serge Nigg (June 6, 1924 – November 12, 2008) was a French composer, born in [MASK]."
58,Jean Drapeau,[X] died in [Y] .,Montreal,He defeated future mayor of [MASK] Jean Drapeau who was running for the Bloc Populaire.
59,Jean Drapeau,[X] died in [Y] .,Montreal,"Jean Drapeau, CC GOQ (18 February 1916 – 12 August 1999) was a Canadian lawyer and politician who served as mayor of [MASK] from 1954 to 1957 and 1960 to 1986."
60,Khursheed Bano,[X] died in [Y] .,Karachi,"Launch event for series held at Khursheed Mahal, Avari Towers [MASK] on April 7, 2014."
61,Khursheed Bano,[X] died in [Y] .,Karachi,"The Memorial Society was visited by Abdul Sattar Afghani— former Mayor of [MASK], Khursheed Shah- former Transport Minister, Mir Khalilur Rehman– The former Chief of Daily Jang, Dr."
62,Nicholas Liverpool,[X] died in [Y] .,Miami,"Nicholas Liverpool died on 1 June 2015 in [MASK], where he was receiving medical treatment."
63,Nicholas Liverpool,[X] died in [Y] .,Miami,"Nicholas Liverpool died on 1 June 2015 in [MASK], where he was receiving medical treatment."
64,Hagop Oshagan,[X] died in [Y] .,Aleppo,"Hagop Oshagan (Armenian: Յակոբ Օշական; December 9, 1883 in Soloz, Bursa - February 17, 1948 in [MASK]), was an Armenian writer, playwright, and novelist."
65,Hagop Oshagan,[X] died in [Y] .,Aleppo,"Hagop Oshagan (Armenian: Յակոբ Օշական; December 9, 1883 in Soloz, Bursa - February 17, 1948 in [MASK]), was an Armenian writer, playwright, and novelist."
66,Carl Carls,[X] died in [Y] .,Bremen,"Carl Carls (September 16, 1880, Varel – September 11, 1958, [MASK]) was a German chess master."
67,Carl Carls,[X] died in [Y] .,Bremen,"Carl Carls (September 16, 1880, Varel – September 11, 1958, [MASK]) was a German chess master."
68,Saeed Nafisi,[X] died in [Y] .,Tehran,"Saeed Nafisi's relatives include Moadeb Naficy, the guardian and doctor of the Shah of Iran (Reza Pahlavi); and Moadeb's son Habib Naficy, a senior statesman, founder of Iran's labor laws, U.S.-Iran Attache, and founder of multiple technical universities in [MASK], Siamak Naficy, an anthropologist, as well as acclaimed author, Azar Nafisi, a niece of his."
69,Saeed Nafisi,[X] died in [Y] .,Tehran,"Saeed Nafisi's relatives include Moadeb Naficy, the guardian and doctor of the Shah of Iran (Reza Pahlavi); and Moadeb's son Habib Naficy, a senior statesman, founder of Iran's labor laws, U.S.-Iran Attache, and founder of multiple technical universities in [MASK], Siamak Naficy, an anthropologist, as well as acclaimed author, Azar Nafisi, a niece of his."
70,Martin Baum,[X] died in [Y] .,Cincinnati,"Martin Baum (15 June 1765 in Hagerstown, Maryland – 14 December 1831 in [MASK] ) was an American businessman and politician."
71,Martin Baum,[X] died in [Y] .,Cincinnati,"Martin Baum (15 June 1765 in Hagerstown, Maryland – 14 December 1831 in [MASK] ) was an American businessman and politician."
72,Edward Bowring Stephens,[X] died in [Y] .,London,"Edward Bowring Stephens ARA (Exeter 10 December 1815 – 10 November 1882 [MASK]), (works signed E B Stephens) was a British sculptor from Devon generally considered to be the finest ever produced by that county."
73,Edward Bowring Stephens,[X] died in [Y] .,London,"Edward Bowring Stephens ARA (Exeter 10 December 1815 – 10 November 1882 [MASK]), (works signed E B Stephens) was a British sculptor from Devon generally considered to be the finest ever produced by that county."
74,Ehrhardt Post,[X] died in [Y] .,Berlin,"In matches, he won against Carl Carls (+5 –1 =1), drew with Ehrhardt Post (+4 –4 =1), both at [MASK] 1906, and lost to Rudolf Spielmann (+1 –2 =0) at Munich 1906, and Edward Lasker (+0 –1 =3) at Berlin 1909."
75,Ehrhardt Post,[X] died in [Y] .,Berlin,"In matches, he won against Carl Carls (+5 –1 =1), drew with Ehrhardt Post (+4 –4 =1), both at Berlin 1906, and lost to Rudolf Spielmann (+1 –2 =0) at Munich 1906, and Edward Lasker (+0 –1 =3) at [MASK] 1909."
76,Clement XIV,[X] died in [Y] .,Rome,Gamelin later went to [MASK] with Puymaurin's financial assistance to study under Jacques-Louis David and Joseph-Marie Vien and eventually became a painter to Pope Clement XIV.
77,Clement XIV,[X] died in [Y] .,Rome,"The most famous version has been that in the Capitoline Museums in [MASK], purchased by Pope Clement XIV from the heirs of Cardinal Alessandro Albani."
78,Thomas Arne,[X] died in [Y] .,London,"Around 1742, Hebden moved to [MASK], and when composer Thomas Arne enlarged the orchestra at Vauxhall Gardens in 1745, he became the principal cellist and bassoonist."
79,Thomas Arne,[X] died in [Y] .,London,"Milton's text was later used for a highly successful masque by the musician Thomas Arne in 1738, which then ran for more than seventy years in [MASK]."
80,Carlos Casagemas,[X] died in [Y] .,Paris,"Carlos Casagemas (1881 in Barcelona – 17 February 1901 in [MASK]) was a Spanish art student and poet, best known for his friendship with Pablo Picasso."
81,Carlos Casagemas,[X] died in [Y] .,Paris,"Carlos Casagemas (1881 in Barcelona – 17 February 1901 in [MASK]) was a Spanish art student and poet, best known for his friendship with Pablo Picasso."
82,Gaetano Gandolfi,[X] died in [Y] .,Bologna,"Gaetano Gandolfi (31 August 1734 – 20 June 1802) was an Italian painter of the late Baroque and early Neoclassic period, active in [MASK]."
83,Gaetano Gandolfi,[X] died in [Y] .,Bologna,"Gaetano Gandolfi (31 August 1734 – 20 June 1802) was an Italian painter of the late Baroque and early Neoclassic period, active in [MASK]."
84,Anatole de Monzie,[X] died in [Y] .,Paris,"Anatole de Monzie (22 November 1876, Bazas, Gironde – 11 January 1947, [MASK]) was a French administrator, encyclopaedist (Encyclopédie française), political figure and scholar."
85,Anatole de Monzie,[X] died in [Y] .,Paris,"Anatole de Monzie (22 November 1876, Bazas, Gironde – 11 January 1947, [MASK]) was a French administrator, encyclopaedist (Encyclopédie française), political figure and scholar."
86,Khosrow Shakibai,[X] died in [Y] .,Tehran,"Khosrow Shakibā'í or Khosro Shakibaei (March 27, 1944, [MASK], Iran – July 18, 2008, Tehran) (Persian: خسرو شکیبایی) was a Iranian stage and cinema actor."
87,Khosrow Shakibai,[X] died in [Y] .,Tehran,"Khosrow Shakibā'í or Khosro Shakibaei (March 27, 1944, Tehran, Iran – July 18, 2008, [MASK]) (Persian: خسرو شکیبایی) was a Iranian stage and cinema actor."
88,Umar ibn Al-Khattāb,[X] died in [Y] .,Medina,"[MASK] was Muhammad's destination after his Hijrah from Mecca, and became the capital of a rapidly increasing Muslim Empire, first under Muhammad's leadership, and then under the first four Rashidun caliphs, Abu Bakr, Umar, Uthman, and Ali."
89,Umar ibn Al-Khattāb,[X] died in [Y] .,Medina,"[citation needed] When Muhammad arrived in [MASK] in 622, he joined each Muhajir with one of the Ansar, pairing Muhammad ibn Maslamah with Umar ibn al-Khattab."
90,Diederik Korteweg,[X] died in [Y] .,Amsterdam,"He was born on 22 January 1866 in [MASK], and studied at the University of Amsterdam with the distinguished physical chemist Johannes van der Waals and with Korteweg."
91,Diederik Korteweg,[X] died in [Y] .,Amsterdam,"He was born on 22 January 1866 in Amsterdam, and studied at the University of [MASK] with the distinguished physical chemist Johannes van der Waals and with Korteweg."
92,Astley Cooper,[X] died in [Y] .,London,"It is one of [MASK]'s most famous hospitals, associated with names such as Astley Cooper, William Cheselden, Florence Nightingale, Linda Richards, Edmund Montgomery, Agnes Elizabeth Jones and Sir Harold Ridley."
93,Astley Cooper,[X] died in [Y] .,London,"In 1807 or 1808 he went to England to study medicine at St Thomas' Hospital in [MASK] under Sir Astley Paston Cooper, a famous surgeon."
94,Evaristo Felice Dall'Abaco,[X] died in [Y] .,Munich,"Evaristo Felice dall'Abaco (12 July 1675, Verona, Italy — 12 July 1742, [MASK], Bavaria) was an Italian composer and cellist."
95,Evaristo Felice Dall'Abaco,[X] died in [Y] .,Munich,"Evaristo Felice dall'Abaco (12 July 1675, Verona, Italy — 12 July 1742, [MASK], Bavaria) was an Italian composer and cellist."
96,Pierre Sancan,[X] died in [Y] .,Paris,"Pierre Sancan (24 October 1916 in Mazamet – 20 October 2008 in [MASK]) was a French composer, pianist, teacher and conductor."
97,Pierre Sancan,[X] died in [Y] .,Paris,"Pierre Sancan (24 October 1916 in Mazamet – 20 October 2008 in [MASK]) was a French composer, pianist, teacher and conductor."
98,Ng Eng Teng,[X] died in [Y] .,Singapore,"Ng Eng Teng (Chinese: 黄荣庭; pinyin: Huáng Róngtíng; 12 July 1934 – 4 November 2001), The Grandfather of [MASK] Sculpture was a sculptor in Singapore known for his figurative sculptures, many of which are found in public locations around Singapore."
99,Ng Eng Teng,[X] died in [Y] .,Singapore,"Ng Eng Teng (Chinese: 黄荣庭; pinyin: Huáng Róngtíng; 12 July 1934 – 4 November 2001), The Grandfather of Singapore Sculpture was a sculptor in [MASK] known for his figurative sculptures, many of which are found in public locations around Singapore."
100,Jean-Pierre Rampal,[X] died in [Y] .,Paris,"She studied with Alain Marion and Jean-Pierre Rampal in [MASK], after which she returned to Australia to lecture in flute and chamber music at the Sydney Conservatorium of Music."
101,Jean-Pierre Rampal,[X] died in [Y] .,Paris,"Born Lily Aimée Laskine to Jewish parents in [MASK], she studied at the Conservatoire de Paris with Alphonse Hasselmans and became a frequent performing partner of several distinguished French flautists, including Marcel Moyse and Jean-Pierre Rampal."
102,Johann Andreas Schmeller,[X] died in [Y] .,Munich,Johann Andreas Schmeller (6 August 1785 in Tirschenreuth – 27 September 1852 in [MASK]) was a German philologist who initially studied the Bavarian dialect.
103,Johann Andreas Schmeller,[X] died in [Y] .,Munich,Johann Andreas Schmeller (6 August 1785 in Tirschenreuth – 27 September 1852 in [MASK]) was a German philologist who initially studied the Bavarian dialect.
104,Everette Lee DeGolyer,[X] died in [Y] .,Dallas,"Everette Lee DeGolyer (October 9, 1886 – December 14, 1956), was a prominent oilman, geophysicist and philanthropist in [MASK]."
105,Everette Lee DeGolyer,[X] died in [Y] .,Dallas,"Everette Lee DeGolyer (October 9, 1886 – December 14, 1956), was a prominent oilman, geophysicist and philanthropist in [MASK]."
106,Marjorie Pickthall,[X] died in [Y] .,Vancouver,"Marjorie Lowry Christie Pickthall (14 September 1883, Gunnersbury, London – 19 April 1922, [MASK]), was a Canadian writer who was born in England but lived in Canada from the time she was seven."
107,Marjorie Pickthall,[X] died in [Y] .,Vancouver,"Marjorie Lowry Christie Pickthall (14 September 1883, Gunnersbury, London – 19 April 1922, [MASK]), was a Canadian writer who was born in England but lived in Canada from the time she was seven."
108,Tanuma Okitsugu,[X] died in [Y] .,Edo,"Tanuma Okitsugu (田沼意次) (September 11, 1719 in [MASK], Japan – August 25, 1788 in Edo) was a rōjū (senior counselor) of the Tokugawa shogunate who introduced monetary reform."
109,Tanuma Okitsugu,[X] died in [Y] .,Edo,"Tanuma Okitsugu (田沼意次) (September 11, 1719 in Edo, Japan – August 25, 1788 in [MASK]) was a rōjū (senior counselor) of the Tokugawa shogunate who introduced monetary reform."
110,Reynaldo Hahn,[X] died in [Y] .,Paris,"Ciboulette is a French opérette in three acts, music by Reynaldo Hahn, libretto by Robert de Flers and Francis de Croisset, first performed at the Théâtre des Variétés, in [MASK], on 7 April 1923."
111,Reynaldo Hahn,[X] died in [Y] .,Paris,"He was trained as a violinist at the National Conservatory of Music in [MASK], winning a first prize in 1926, but moved to conducting in 1931 after support from Reynaldo Hahn."
112,Mas Oyama,[X] died in [Y] .,Tokyo,"Van Weenen was graded to 1st Dan by Moss Hollis in 1966,(his diploma is reproduced in his auto biography 'In Funakoshi's Footsteps'), before travelling to Japan in 1967 to train at the invitation of Masutatsu Oyama at the Kyokushinkai Headquarters.In fact, John decided to train under Hirokazu Kanazawa and registered at the JKA Honbu in [MASK]."
113,Mas Oyama,[X] died in [Y] .,Tokyo,"He won both the Moscow and the Armenian championships in 1995, the Russian championship in 1996, the British National Open Tournament in 1997, and the European Championship in 2005.He has been vice-president of Kyokushinkai Federation of Armenia since 1999.In 2005, he moved to the International Karate Organization (IKO) headquarters in [MASK]."
114,Giannina Arangi-Lombardi,[X] died in [Y] .,Milan,She studied with the renowned Giannina Arangi-Lombardi in [MASK].
115,Giannina Arangi-Lombardi,[X] died in [Y] .,Milan,"Giannina Arangi-Lombardi (20 June 1891, Marigliano – 9 July 1951, [MASK]) was a prominent spinto soprano, particularly associated with the Italian operatic repertory."
116,Alexander Afanasyev,[X] died in [Y] .,Moscow,"Moderately critical of Soviet leader Mikhail Gorbachev and still more so of rising independent politician Boris Yeltsin in his capacity as editor, Afanasyev was dismissed from his high position at Pravda after a period of falling circulation and a negative official reaction to the newspaper's highlighting Boris Yeltsin's troubles with alcohol during the Gorbachev administration in 1989 and spent the remaining half-decade of his life working for the national Academy of Sciences in [MASK]."
117,Alexander Afanasyev,[X] died in [Y] .,Moscow,"It was led by five to six co-chairs, a group that at different times included Ponomaryov, Yury Afanasyev (head of Russian State University for Humanities), Gavriil Popov (Chairman of the [MASK] City Soviet who left DRM after his election as Mayor in 1991), Gleb Yakunin, Galina Starovoitova, Marina Salye et al."
118,John C. Breckinridge,[X] died in [Y] .,Lexington,"Breckenridge was the founder of many civic organizations, including the [MASK] Civic League, Associated Charities and Kentucky Association for the Prevention and Treatment of Tuberculosis."
119,John C. Breckinridge,[X] died in [Y] .,Lexington,"Three other properties listed that day are also located in [MASK]: the John C. Breckinridge Memorial, which is on the other side of the same block as the Morgan Memorial, and the Confederate Soldier Monument in Lexington and the Ladies' Confederate Memorial, both in nearby Lexington Cemetery."
120,Charles Alfred Pillsbury,[X] died in [Y] .,Minneapolis,"The company received financial backing from Clinton Morrison and Charles Alfred Pillsbury, who were prominent businessmen in the [MASK] flour milling industry."
121,Charles Alfred Pillsbury,[X] died in [Y] .,Minneapolis,His granite Pioneers sculpture was given to the City of [MASK] by the family of Charles Alfred Pillsbury during the Great Depression.
122,Elmar Huseynov,[X] died in [Y] .,Baku,Elmar Huseynov was born in 1967 in [MASK] and educated as an engineer at the Azerbaijan University of Architecture and Construction.
123,Elmar Huseynov,[X] died in [Y] .,Baku,Elmar Huseynov was born in 1967 in [MASK] and educated as an engineer at the Azerbaijan University of Architecture and Construction.
124,Hrant Dink,[X] died in [Y] .,Istanbul,"Journalist Hrant Dink was assassinated in [MASK] in January 2007, by a 17-year-old Turkish nationalist shortly after the premiere of Screamers, in which he was interviewed about Turkish denial of the Armenian Genocide of 1915 and the case against him under article 301."
125,Hrant Dink,[X] died in [Y] .,Istanbul,Mouradian is also the recipient of the first Hrant Dink Freedom and Justice Medal (2014) of the Organization of [MASK] Armenians .
126,Saint Afra,[X] died in [Y] .,Augsburg,Saint Afra (died 304) was a Christian martyr and a saint of [MASK].
127,Saint Afra,[X] died in [Y] .,Augsburg,Saint Afra (died 304) was a Christian martyr and a saint of [MASK].
128,Yiannis Latsis,[X] died in [Y] .,Athens,"Yiannis Latsis (Greek: Γιάννης Λάτσης; September 14, 1910, Katakolo – April 17, 2003, [MASK]), also John Spyridon Latsis, was a Greek shipping multi-billionaire tycoon notable for his great wealth, influential friends, and charitable activities."
129,Yiannis Latsis,[X] died in [Y] .,Athens,"Yiannis Latsis (Greek: Γιάννης Λάτσης; September 14, 1910, Katakolo – April 17, 2003, [MASK]), also John Spyridon Latsis, was a Greek shipping multi-billionaire tycoon notable for his great wealth, influential friends, and charitable activities."
130,Muthulakshmi Reddi,[X] died in [Y] .,Chennai,"Muthulakshmi Reddy (30 July 1886, [MASK] – 22 July 1968) was an eminent medical practitioner, social reformer and Padma Bhushan awardee in India."
131,Muthulakshmi Reddi,[X] died in [Y] .,Chennai,"Muthulakshmi Reddy (30 July 1886, [MASK] – 22 July 1968) was an eminent medical practitioner, social reformer and Padma Bhushan awardee in India."
132,James Young Simpson,[X] died in [Y] .,Edinburgh,"LSA is located in the Leith area of [MASK], in the former converted Norwegian Seamen's Church, originally built by Scottish architect James Simpson and Danish architect Johan Schroder in 1868.LSA was founded in 1989 with the aim: LSA has been sited in the former Norwegian Seamen's Church in Leith since its conception."
