,sub_label,template,obj_label,masked_sentence
30,Mari Hamada,[X] is [Y] citizen .,Japan,"Mari Hamada (濱田マリ Hamada Mari, born December 27, 1968 at Kobe, Hyogo, [MASK]) is a Japanese singer and actress who starred in numerous movies and drama in Japan and released two solo albums and solo singles in the 1990s, after being part of the Japanese band ""Modern Choki Chokies""."
31,Mari Hamada,[X] is [Y] citizen .,Japan,"Mari Hamada (濱田マリ Hamada Mari, born December 27, 1968 at Kobe, Hyogo, Japan) is a Japanese singer and actress who starred in numerous movies and drama in [MASK] and released two solo albums and solo singles in the 1990s, after being part of the Japanese band ""Modern Choki Chokies""."
32,Arturo Rodas,[X] is [Y] citizen .,Ecuador,Arturo Rodas (3 March 1954 in Quito) is an [MASK] French-citizen composer.
33,Arturo Rodas,[X] is [Y] citizen .,Ecuador,Arturo Rodas (3 March 1954 in Quito) is an [MASK] French-citizen composer.
34,Enrique Llanes,[X] is [Y] citizen .,Mexico,"Enrique Juan Yañez González (August 24, 1919 – September 18, 2004), best known under the ring name Enrique Llanes, was one of the premier Hispanic professional wrestlers in the early days of Lucha Libre when most wrestlers were imported from outside of [MASK]."
35,Enrique Llanes,[X] is [Y] citizen .,Mexico,"Enrique Juan Yañez González (August 24, 1919 – September 18, 2004), best known under the ring name Enrique Llanes, was one of the premier Hispanic professional wrestlers in the early days of Lucha Libre when most wrestlers were imported from outside of [MASK]."
36,Lionel Messi,[X] is [Y] citizen .,Argentina,"Eduardo Messi, president of Nucleoeléctrica [MASK] S.A."
37,Lionel Messi,[X] is [Y] citizen .,Argentina,"Born and raised in central [MASK], Messi was diagnosed with a growth hormone deficiency as a child."
38,Diosdado Cabello,[X] is [Y] citizen .,Venezuela,"Diosdado Cabello Rondón (born 15 April 1963) is a Venezuelan politician, member of the National Assembly of [MASK] and a former Speaker of the country's legislature, and active member of the Venezuelan armed forces."
39,Diosdado Cabello,[X] is [Y] citizen .,Venezuela,"Diosdado Cabello Rondón (born 15 April 1963) is a Venezuelan politician, member of the National Assembly of [MASK] and a former Speaker of the country's legislature, and active member of the Venezuelan armed forces."
40,Ken Okuyama,[X] is [Y] citizen .,Japan,His given name is Kiyoyuki Okuyama (奥山 清行 Okuyama Kiyoyuki) but goes by Ken Okuyama (ケン・オクヤマ) outside [MASK].
41,Ken Okuyama,[X] is [Y] citizen .,Japan,His given name is Kiyoyuki Okuyama (奥山 清行 Okuyama Kiyoyuki) but goes by Ken Okuyama (ケン・オクヤマ) outside [MASK].
42,Andrew Bogut,[X] is [Y] citizen .,Australia,"Virgin Islands) in 1997, Michael Olowokandi (Nigeria) in 1998, Andrew Bogut ([MASK]) in 2005, Kyrie Irving (Australia) in 2011, Anthony Bennett (Canada) in 2013, Andrew Wiggins (Canada) in 2014, and Karl-Anthony Towns (Dominican Republic) in 2015."
43,Andrew Bogut,[X] is [Y] citizen .,Australia,"Virgin Islands) in 1997, Michael Olowokandi (Nigeria) in 1998, Andrew Bogut (Australia) in 2005, Kyrie Irving ([MASK]) in 2011, Anthony Bennett (Canada) in 2013, Andrew Wiggins (Canada) in 2014, and Karl-Anthony Towns (Dominican Republic) in 2015."
44,Juma Ikangaa,[X] is [Y] citizen .,Tanzania,"He came second in the 1989 New York City Marathon in 2:09:38 to [MASK]’s Juma Ikangaa’s 2:08:01; as of 2007, that was the fourth-fastest marathon time by an American-born athlete."
45,Juma Ikangaa,[X] is [Y] citizen .,Tanzania,"Juma Ikangaa (born July 19, 1957 in Dodoma) is a marathon runner from [MASK], a sentimental favorite in Boston after finishing second three years in a row at the Boston Marathon from 1988-1990."
46,Marlene Favela,[X] is [Y] citizen .,Mexico,"Marlene Favela (born Silvia Marlene Favela Meraz on August 5, 1976 in Santiago Papasquiaro, Durango, [MASK]) is a Mexican actress."
47,Marlene Favela,[X] is [Y] citizen .,Mexico,"Marlene Favela (born Silvia Marlene Favela Meraz on August 5, 1976 in Santiago Papasquiaro, Durango, Mexico) is a [MASK] actress."
48,Abdul Khalid Ibrahim,[X] is [Y] citizen .,Malaysia,He was a Member of Parliament of (P124) Bandar Tun Razak in Wilayah Persekutuan (Federal Territory) of [MASK]) representing the National Front Coalition (Barisan Nasional) for 3 terms until he lost to Tan Sri Abdul Khalid Ibrahim of Parti Keadilan Rakyat (PKR) in the twelfth General Election in Malaysia on 8 March 2008.
49,Abdul Khalid Ibrahim,[X] is [Y] citizen .,Malaysia,He was a Member of Parliament of (P124) Bandar Tun Razak in Wilayah Persekutuan (Federal Territory) of Malaysia) representing the National Front Coalition (Barisan Nasional) for 3 terms until he lost to Tan Sri Abdul Khalid Ibrahim of Parti Keadilan Rakyat (PKR) in the twelfth General Election in [MASK] on 8 March 2008.
50,Prince Leka of Albania,[X] is [Y] citizen .,Albania,"Prince Leka of [MASK] (Leka Anwar Zog Reza Baudouin Msiziwe Zogu, born 26 March 1982) is the only child of Leka, Crown Prince of Albania and Susan Cullen-Ward."
51,Prince Leka of Albania,[X] is [Y] citizen .,Albania,"Prince Leka of Albania (Leka Anwar Zog Reza Baudouin Msiziwe Zogu, born 26 March 1982) is the only child of Leka, Crown Prince of [MASK] and Susan Cullen-Ward."
52,Auguste Forel,[X] is [Y] citizen .,Switzerland,"Other famous students of Meynert's were Russian neuropsychiatrist Sergei Korsakoff (1854–1900), German neuropathologist Carl Wernicke (1848–1905) and [MASK] neuroanatomist Auguste-Henri Forel (1848–1931)."
53,Auguste Forel,[X] is [Y] citizen .,Switzerland,"Forel is a letter of `Abdu'l-Bahá, written in reply to questions asked by Auguste-Henri Forel, a [MASK] myrmecologist, neuroanatomist and psychiatrist."
54,Alfred Werner,[X] is [Y] citizen .,Switzerland,Alfred Werner (12 December 1866 – 15 November 1919) was a [MASK] chemist who was a student at ETH Zurich and a professor at the University of Zurich.
55,Alfred Werner,[X] is [Y] citizen .,Switzerland,Alfred Werner (12 December 1866 – 15 November 1919) was a [MASK] chemist who was a student at ETH Zurich and a professor at the University of Zurich.
56,Szymon Szymonowic,[X] is [Y] citizen .,Poland,"Zimorowic acknowledges the most important earlier [MASK] pastoral poet Szymon Szymonowic, whose Sielanki appeared in 1614, as his master, but his own poems are notable for their local, ""Ruthenian"" (i.e."
57,Szymon Szymonowic,[X] is [Y] citizen .,Poland,"He also corresponded with the [MASK] poet Szymon Szymonowic, and other Polish connections included his stay at the University of Altdorf 1614-1616 at the same time as the Socinian activity there around Samuel Przypkowski."
58,Rosario Flores,[X] is [Y] citizen .,Spain,"Previously, his own band has featured an international mix of musicians – Perico Sambeat (alto saxophone; [MASK]), Bernardo Sassetti (piano; Portugal), Geoff Gascoyne (bass, United Kingdom), and Gene Calderazzo (drums; United States) More recently he has toured the Guy Barker Jazz Orchestra – a 15 piece big band featuring Rosario Giuliani (alto saxophone; Italy) and Per Johansson (tenor saxophone; Sweden) - performing DZF, a reworking of Mozart's Magic Flute with Michael Brandon narrating the story as a Raymond Chandler style pulp fiction novel, retold by Robert Ryan Guy Barker was Musical Director / Arranger for the opening gala concert ""Jazz Voice : Celebrating a century of song"" at the London Jazz Festival annually from 2008 to 2014."
59,Rosario Flores,[X] is [Y] citizen .,Spain,"Princess Maria de la Esperanza Amalia Raniera Maria Rosario Luisa Gonzaga of Bourbon-Two Sicilies (14 June 1914, Madrid, [MASK] – 8 August 2005, Villamanrique de la Condesa, Spain) was the youngest daughter of Prince Carlos of Bourbon-Two Sicilies and his wife Princess Louise of Orléans."
60,Inge Magnusson,[X] is [Y] citizen .,Norway,Inge Magnusson or Inge Baglar-king was from 1196 to 1202 the Bagler candidate for pretender to the Norwegian throne during the Civil war era in [MASK].
61,Inge Magnusson,[X] is [Y] citizen .,Norway,Inge Magnusson or Inge Baglar-king was from 1196 to 1202 the Bagler candidate for pretender to the Norwegian throne during the Civil war era in [MASK].
62,Eleanor Wachtel,[X] is [Y] citizen .,Canada,"Journalist Eleanor Wachtel describes a major problem faced by feminist magazines and journals in [MASK] in her 1983 report on Feminist Print Media as involving ""a small population stretched out across 4000 miles""."
63,Eleanor Wachtel,[X] is [Y] citizen .,Canada,"Hosted by Eleanor Wachtel, the program covered theatre, dance, books, music and visual arts in [MASK] in a magazine and interview format."
64,Charles II of Spain,[X] is [Y] citizen .,Spain,"Claude Lamoral, 3rd Prince of Ligne, Prince of Epinoy, Marquis of Roubaix and Count of Fauquemberg (8 October 1618 – 21 December 1679), was a nobleman from the Spanish Netherlands, military and diplomate in the service of Philip IV of [MASK] and Charles II of Spain ."
65,Charles II of Spain,[X] is [Y] citizen .,Spain,"Claude Lamoral, 3rd Prince of Ligne, Prince of Epinoy, Marquis of Roubaix and Count of Fauquemberg (8 October 1618 – 21 December 1679), was a nobleman from the Spanish Netherlands, military and diplomate in the service of Philip IV of Spain and Charles II of [MASK] ."
66,Jean Baptiste Abbeloos,[X] is [Y] citizen .,Belgium,"Quadrophonia were a Dutch/[MASK] electronic music collective, formed by Olivier Abbeloos (also known as part of T99) and Lucien Foort in the late 1980s, with several of their tracks performed by Marvin D (Marvin Tholen)."
67,Jean Baptiste Abbeloos,[X] is [Y] citizen .,Belgium,Jean Baptiste Abbeloos (15 January 1836 – 25 February 1906) was a [MASK] orientalist and Rector of the University of Leuven.
68,Timothy Anglin,[X] is [Y] citizen .,Canada,"Timothy Warren Anglin (August 31, 1822 – May 4, 1896) was a [MASK] politician and Speaker of the Canadian House of Commons."
69,Timothy Anglin,[X] is [Y] citizen .,Canada,"Timothy Warren Anglin (August 31, 1822 – May 4, 1896) was a Canadian politician and Speaker of the [MASK] House of Commons."
70,Hanan al-Shaykh,[X] is [Y] citizen .,Lebanon,"She has translated numerous literary works from Arabic to English, including several by the [MASK] author Hanan al-Shaykh."
71,Hanan al-Shaykh,[X] is [Y] citizen .,Lebanon,"Hanan al-Shaykh (born November 12, 1945, Beirut) is a [MASK] author of contemporary literature."
72,Art mac Cuinn,[X] is [Y] citizen .,Ireland,"Art mac Cuinn (""son of Conn""), also known as Art Óenfer (literally ""one man"", used in the sense of ""lone"", ""solitary"", or ""only son""), was, according to medieval Irish legend and historical tradition, a High King of [MASK]."
73,Art mac Cuinn,[X] is [Y] citizen .,Ireland,"Art mac Cuinn (""son of Conn""), also known as Art Óenfer (literally ""one man"", used in the sense of ""lone"", ""solitary"", or ""only son""), was, according to medieval Irish legend and historical tradition, a High King of [MASK]."
74,Ely Guerra,[X] is [Y] citizen .,Mexico,"Ely Guerra (born Elizabeth Guerra Vázquez, February 13, 1972) is a Mexican singer-songwriter who was raised in Monterrey, Nuevo Leon, [MASK]."
75,Ely Guerra,[X] is [Y] citizen .,Mexico,"Ely Guerra (born Elizabeth Guerra Vázquez, February 13, 1972) is a Mexican singer-songwriter who was raised in Monterrey, Nuevo Leon, [MASK]."
76,Felix Plater,[X] is [Y] citizen .,Switzerland,"Felix Plater (or Platter) (October 28, 1536 – July 28, 1614) was a [MASK] physician, professor in Basel, well known for his classification of psychiatric diseases, and was also the first to describe an intracranial tumour (a meningioma)."
77,Felix Plater,[X] is [Y] citizen .,Switzerland,"Felix Plater (or Platter) (October 28, 1536 – July 28, 1614) was a [MASK] physician, professor in Basel, well known for his classification of psychiatric diseases, and was also the first to describe an intracranial tumour (a meningioma)."
78,Borys Kolesnikov,[X] is [Y] citizen .,Ukraine,"Borys Kolesnikov, a prominent Ukrainian politician and businessman, purchased the team in 2010, and from then until 2014 it was the most successful hockey club in [MASK]."
79,Borys Kolesnikov,[X] is [Y] citizen .,Ukraine,"Borys Kolesnikov, a prominent Ukrainian politician and businessman, purchased the team in 2010, and since this time the organization has become the most successful in [MASK]."
80,Assif Tsahar,[X] is [Y] citizen .,Israel,"Assif Tsahar (born [MASK], June 11, 1969) is an Israeli tenor saxophonist and bass clarinetist."
81,Assif Tsahar,[X] is [Y] citizen .,Israel,"Assif Tsahar (born [MASK], June 11, 1969) is an Israeli tenor saxophonist and bass clarinetist."
82,Marek Niit,[X] is [Y] citizen .,Estonia,"Marek Niit (born August 9, 1987 in Kuressaare) is a male sprinter from [MASK] who won gold medal at the 200 metres at the 2006 World Junior Championships in Athletics in Beijing, China."
83,Marek Niit,[X] is [Y] citizen .,Estonia,"Marek Niit (born August 9, 1987 in Kuressaare) is a male sprinter from [MASK] who won gold medal at the 200 metres at the 2006 World Junior Championships in Athletics in Beijing, China."
84,Marcel Trudel,[X] is [Y] citizen .,Canada,"Marcel Trudel, CC GOQ (May 29, 1917 – January 11, 2011) was a [MASK] historian, university professor (1947–1982) and author who published more than 40 books on the history of New France, scientifically re-written."
85,Marcel Trudel,[X] is [Y] citizen .,Canada,"Marcel Trudel, CC GOQ (May 29, 1917 – January 11, 2011) was a [MASK] historian, university professor (1947–1982) and author who published more than 40 books on the history of New France, scientifically re-written."
86,Fa Ngum,[X] is [Y] citizen .,Laos,":225–226 In 1359 the Khmer king gave the Phra Bang to his son-in-law, the first Lang Xang monarch Fa Ngum (1353-1373); to provide Buddhist legitimacy both to Fa Ngum's rule and by extension to the sovereignty of [MASK]."
87,Fa Ngum,[X] is [Y] citizen .,Laos,":225–226 In 1359 the Khmer king gave the Phra Bang to his son-in-law, the first Lang Xang monarch Fa Ngum (1353-1373); to provide Buddhist legitimacy both to Fa Ngum's rule and by extension to the sovereignty of [MASK]."
88,Lyuben Berov,[X] is [Y] citizen .,Bulgaria,"Stoyan Alexandrov ([MASK]: Стоян Александров, born 14 June 1949 in Iliya, Kystendil) is a Bulgarian economist, and former Minister of Finance under Prime Minister Lyuben Berov."
89,Lyuben Berov,[X] is [Y] citizen .,Bulgaria,"Stoyan Alexandrov (Bulgarian: Стоян Александров, born 14 June 1949 in Iliya, Kystendil) is a [MASK] economist, and former Minister of Finance under Prime Minister Lyuben Berov."
90,Colman mac Duagh,[X] is [Y] citizen .,Ireland,"Saint Colman mac Duagh was born at Cork, Kiltartan, County Galway, [MASK], (c."
91,Colman mac Duagh,[X] is [Y] citizen .,Ireland,"Saint Colman mac Duagh was born at Cork, Kiltartan, County Galway, [MASK], (c."
92,"Frank Oberle, Sr.",[X] is [Y] citizen .,Canada,"Frank Oberle, Sr., PC (born March 24, 1932) is a businessman and former [MASK] politician."
93,"Frank Oberle, Sr.",[X] is [Y] citizen .,Canada,"Frank Oberle, Sr., PC (born March 24, 1932) is a businessman and former [MASK] politician."
94,Mario Aerts,[X] is [Y] citizen .,Belgium,"Mario Aerts (born 31 December 1974 in Herentals, [MASK]) is a former professional road bicycle racer, who competed between 1996 and 2011."
95,Mario Aerts,[X] is [Y] citizen .,Belgium,"Mario Aerts (born 31 December 1974 in Herentals, [MASK]) is a former professional road bicycle racer, who competed between 1996 and 2011."
96,Abdul Malik Pahlawan,[X] is [Y] citizen .,Afghanistan,Abdul Malik Pahlawan is an Uzbek politician based in Faryab Province in northern [MASK].
97,Abdul Malik Pahlawan,[X] is [Y] citizen .,Afghanistan,Abdul Malik Pahlawan is an Uzbek politician based in Faryab Province in northern [MASK].
98,Gorm the Old,[X] is [Y] citizen .,Denmark,"The legendary kings of [MASK] are the predecessors of Gorm the Old, half history and half legend."
99,Gorm the Old,[X] is [Y] citizen .,Denmark,"Gorm the Old (Danish: Gorm den Gamle, Old Norse: Gormr gamli, Latin: Gormus Vetus), also called Gorm the Languid (Danish: Gorm Løge, Gorm den Dvaske), was the first historically recognized King of [MASK], reigning from c."
100,Gabriel Garcete,[X] is [Y] citizen .,Paraguay,"Gabriel Garcete Jimenez (born 7 January 1982 in Yegros, [MASK]) isa Paraguayan footballer."
101,Gabriel Garcete,[X] is [Y] citizen .,Paraguay,"Gabriel Garcete Jimenez (born 7 January 1982 in Yegros, [MASK]) isa Paraguayan footballer."
102,Arthur Phillip,[X] is [Y] citizen .,Australia,"Admiral Arthur Phillip RN (11 October 1738 – 31 August 1814) was a Royal Navy officer, the first Governor of New South Wales and led the colonisation of what is now [MASK] and founded the British penal colony that later became the city of Sydney, Australia."
103,Arthur Phillip,[X] is [Y] citizen .,Australia,"Admiral Arthur Phillip RN (11 October 1738 – 31 August 1814) was a Royal Navy officer, the first Governor of New South Wales and led the colonisation of what is now [MASK] and founded the British penal colony that later became the city of Sydney, Australia."
104,Johann Aegidius Bach,[X] is [Y] citizen .,Germany,"Johann Aegidius Bach (9 February 1645 – November 1716) was organist, violist, and municipal orchestra director of Erfurt, [MASK]."
105,Johann Aegidius Bach,[X] is [Y] citizen .,Germany,"Johann Aegidius Bach (9 February 1645 – November 1716) was organist, violist, and municipal orchestra director of Erfurt, [MASK]."
106,Katsuhiko Nagata,[X] is [Y] citizen .,Japan,"Katsuhiko Nagata (永田克彦 Nagata Katsuhiko, born on October 31, 1973 in Tōgane, Chiba, [MASK]) is a Japanese olympic wrestler and mixed martial artist, who won the silver medal in 63–69 kg Greco-Roman wrestling at the 2000 Summer Olympics."
107,Katsuhiko Nagata,[X] is [Y] citizen .,Japan,"Katsuhiko Nagata (永田克彦 Nagata Katsuhiko, born on October 31, 1973 in Tōgane, Chiba, [MASK]) is a Japanese olympic wrestler and mixed martial artist, who won the silver medal in 63–69 kg Greco-Roman wrestling at the 2000 Summer Olympics."
108,Katerine Moreno,[X] is [Y] citizen .,Bolivia,Katerine Moreno de Quintanilla (born 4 May 1974 in Santa Cruz de la Sierra) is a retired swimmer from [MASK].
109,Katerine Moreno,[X] is [Y] citizen .,Bolivia,Katerine Moreno de Quintanilla (born 4 May 1974 in Santa Cruz de la Sierra) is a retired swimmer from [MASK].
110,Yuki Uchida,[X] is [Y] citizen .,Japan,"Junjou Karen Otome Moyou (純情可憐乙女模様) is Yuki Uchida's first album, released in [MASK] on 1995/02/08 on King Records label (reference: KICS-470)."
111,Yuki Uchida,[X] is [Y] citizen .,Japan,"Mi-Chemin is Yuki Uchida's 2nd album, released in [MASK] on 1995/09/21 on King Records label (reference: KICS-510)."
112,Joan Burton,[X] is [Y] citizen .,Ireland,"Following the Irish general election, 2011 and a re-shuffle in 2014, four women were appointed cabinet ministers (the highest number of women in senior ministerial positions ever in [MASK]): Joan Burton, Frances Fitzgerald, Jan O'Sullivan and Heather Humphries."
113,Joan Burton,[X] is [Y] citizen .,Ireland,"Direct Provision has been labeled ""inhuman and degrading"" in a court case being taken against Justice Minister Frances Fitzgerald, Minister for Social Protection Joan Burton and the Attorney General Maire Whelan, asserting that the system is illegal under both the Irish Constitution and the European Convention on Human Rights, and all other international human rights conventions that [MASK] has subscribed to."
114,Sachimi Iwao,[X] is [Y] citizen .,Japan,"Sachimi Iwao (岩尾 幸美 Iwao Sachimi) (born February 20, 1976 in Kokonoe, Oita) is a female field hockey player from [MASK]."
115,Sachimi Iwao,[X] is [Y] citizen .,Japan,"Sachimi Iwao (岩尾 幸美 Iwao Sachimi) (born February 20, 1976 in Kokonoe, Oita) is a female field hockey player from [MASK]."
116,John Queen,[X] is [Y] citizen .,Canada,"He was replaced as party leader by John Queen, formerly of the Social Democratic Party of [MASK]."
117,John Queen,[X] is [Y] citizen .,Canada,Carmen John Queen (10 August 1912 – 23 February 1974) was Anglican Bishop of Huron in [MASK] the third quarter of the 20th century.
118,Sayyed Imam Al-Sharif,[X] is [Y] citizen .,Egypt,"However, following the release of Sayyed Imam Al-Sharif's anti-terrorist manifesto Rationalizing Jihad in [MASK] and the World, he is reported to have ""declared on a Web site that he welcomed the rejection of violence as a means of fostering change in the Arab world""."
119,Sayyed Imam Al-Sharif,[X] is [Y] citizen .,Egypt,"On the other hand, he has condemned Sayyed Imam Al-Sharif's book Rationalizing Jihad in [MASK] and the World which calls for a stop to jihad activities both in the West and in Muslim countries, as “numbness and discouragement” because it tells Muslims that they are too weak to engage in jihad or overthrow their oppressive rulers."
120,Jean Bobet,[X] is [Y] citizen .,France,Jean Bobet (born 22 February 1930 in Saint-Méen-le-Grand) is a [MASK] former road bicycle racer.
121,Jean Bobet,[X] is [Y] citizen .,France,Jean Bobet (born 22 February 1930 in Saint-Méen-le-Grand) is a [MASK] former road bicycle racer.
122,Ion Dragalina,[X] is [Y] citizen .,Romania,"Dragalina is a commune in Călăraşi County, [MASK], named after the Romanian general Ion Dragalina."
123,Ion Dragalina,[X] is [Y] citizen .,Romania,"Dragalina is a commune in Călăraşi County, Romania, named after the [MASK] general Ion Dragalina."
124,Adrian Knox,[X] is [Y] citizen .,Australia,"Sir Adrian Knox KCMG, KC (29 November 1863 – 27 April 1932), Australian judge, was the second Chief Justice of the High Court of [MASK], sitting on the bench of the High Court from 1919 to 1930."
125,Adrian Knox,[X] is [Y] citizen .,Australia,"Sir Adrian Knox KCMG, KC (29 November 1863 – 27 April 1932), Australian judge, was the second Chief Justice of the High Court of [MASK], sitting on the bench of the High Court from 1919 to 1930."
126,Awang Hassan,[X] is [Y] citizen .,Malaysia,"Tan Sri Dato' Dr Yahya bin Awang (MBBS 1974), originally from Muar Johor, is a Malaysian cardiothoracic surgeon; born to the former state governor (Yang Di Pertua) of Pulau Pinang [MASK] (1981–1989), Tun Datuk Dr Haji Awang bin Hassan and Toh Puan Khadijah Abdul Rahman, sister of Tun Dr Ismail Abdul Rahman, the 2nd Deputy Prime Minister of Malaysia."
127,Awang Hassan,[X] is [Y] citizen .,Malaysia,"Tan Sri Dato' Dr Yahya bin Awang (MBBS 1974), originally from Muar Johor, is a Malaysian cardiothoracic surgeon; born to the former state governor (Yang Di Pertua) of Pulau Pinang Malaysia (1981–1989), Tun Datuk Dr Haji Awang bin Hassan and Toh Puan Khadijah Abdul Rahman, sister of Tun Dr Ismail Abdul Rahman, the 2nd Deputy Prime Minister of [MASK]."
