,answers,original,parrot_0,parrot_1,parrot_2
11,australia,"[{'token': 'victoria', 'score': 0.528}, {'token': 'australia', 'score': 0.285}, {'token': 'melbourne', 'score': 0.093}, {'token': 'england', 'score': 0.011}, {'token': 'canada', 'score': 0.009}, {'token': 'country', 'score': 0.007}, {'token': 'commonwealth', 'score': 0.007}, {'token': 'nsw', 'score': 0.005}, {'token': 'queensland', 'score': 0.004}, {'token': 'ireland', 'score': 0.003}, {'token': 'britain', 'score': 0.002}, {'token': 'sydney', 'score': 0.002}, {'token': 'vfl', 'score': 0.002}, {'token': 'cricket', 'score': 0.002}, {'token': 'vic', 'score': 0.001}]",,,
12,australia,"[{'token': 'australia', 'score': 0.965}, {'token': 'victoria', 'score': 0.025}, {'token': 'queensland', 'score': 0.005}, {'token': 'nsw', 'score': 0.001}, {'token': 'canada', 'score': 0.001}, {'token': 'singapore', 'score': 0.0}, {'token': 'tasmania', 'score': 0.0}, {'token': 'england', 'score': 0.0}, {'token': 'melbourne', 'score': 0.0}, {'token': 'ireland', 'score': 0.0}, {'token': 'sydney', 'score': 0.0}, {'token': 'australian', 'score': 0.0}, {'token': 'australians', 'score': 0.0}, {'token': 'scotland', 'score': 0.0}, {'token': 'fiji', 'score': 0.0}]",,,
13,england,"[{'token': 'english', 'score': 1.0}, {'token': 'irish', 'score': 0.0}, {'token': 'england', 'score': 0.0}, {'token': 'anglo', 'score': 0.0}, {'token': 'englishman', 'score': 0.0}, {'token': 'american', 'score': 0.0}, {'token': 'anglican', 'score': 0.0}, {'token': 'australian', 'score': 0.0}, {'token': 'italian', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'influential', 'score': 0.0}, {'token': 'indian', 'score': 0.0}, {'token': 'earl', 'score': 0.0}, {'token': 'important', 'score': 0.0}, {'token': 'african', 'score': 0.0}]",,,
14,france,"[{'token': 'russia', 'score': 0.395}, {'token': 'czechoslovakia', 'score': 0.134}, {'token': 'france', 'score': 0.076}, {'token': 'bulgaria', 'score': 0.062}, {'token': 'yugoslavia', 'score': 0.035}, {'token': 'germany', 'score': 0.032}, {'token': 'italy', 'score': 0.025}, {'token': 'romania', 'score': 0.018}, {'token': 'ussr', 'score': 0.017}, {'token': 'greece', 'score': 0.016}, {'token': 'turkey', 'score': 0.013}, {'token': 'sweden', 'score': 0.012}, {'token': 'england', 'score': 0.011}, {'token': 'poland', 'score': 0.011}, {'token': 'canada', 'score': 0.01}]","[{'token': '.', 'score': 0.982}, {'token': ';', 'score': 0.009}, {'token': '?', 'score': 0.002}, {'token': 'greece', 'score': 0.002}, {'token': '!', 'score': 0.0}, {'token': 'thessaloniki', 'score': 0.0}, {'token': 'athens', 'score': 0.0}, {'token': 'germany', 'score': 0.0}, {'token': 'australia', 'score': 0.0}, {'token': 'russia', 'score': 0.0}, {'token': 'france', 'score': 0.0}, {'token': 'moscow', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'serbia', 'score': 0.0}, {'token': 'bulgaria', 'score': 0.0}]","[{'token': '.', 'score': 0.98}, {'token': ';', 'score': 0.01}, {'token': '?', 'score': 0.003}, {'token': 'greece', 'score': 0.001}, {'token': 'germany', 'score': 0.0}, {'token': '!', 'score': 0.0}, {'token': 'russia', 'score': 0.0}, {'token': 'australia', 'score': 0.0}, {'token': 'france', 'score': 0.0}, {'token': 'moscow', 'score': 0.0}, {'token': 'bulgaria', 'score': 0.0}, {'token': 'athens', 'score': 0.0}, {'token': 'yugoslavia', 'score': 0.0}, {'token': 'thessaloniki', 'score': 0.0}, {'token': 'turkey', 'score': 0.0}]",
15,france,"[{'token': 'france', 'score': 0.917}, {'token': 'paris', 'score': 0.07}, {'token': 'belgium', 'score': 0.003}, {'token': 'french', 'score': 0.001}, {'token': 'europe', 'score': 0.001}, {'token': 'quebec', 'score': 0.001}, {'token': 'brittany', 'score': 0.0}, {'token': 'montreal', 'score': 0.0}, {'token': 'burgundy', 'score': 0.0}, {'token': 'marseille', 'score': 0.0}, {'token': 'italy', 'score': 0.0}, {'token': 'orleans', 'score': 0.0}, {'token': 'normandy', 'score': 0.0}, {'token': 'martinique', 'score': 0.0}, {'token': 'england', 'score': 0.0}]",,,
16,denmark,"[{'token': 'danish', 'score': 0.963}, {'token': 'german', 'score': 0.013}, {'token': 'norwegian', 'score': 0.012}, {'token': 'swedish', 'score': 0.009}, {'token': 'dutch', 'score': 0.001}, {'token': 'scandinavian', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'danes', 'score': 0.0}, {'token': 'belgian', 'score': 0.0}, {'token': 'french', 'score': 0.0}, {'token': 'former', 'score': 0.0}, {'token': 'nordic', 'score': 0.0}, {'token': 'finnish', 'score': 0.0}, {'token': 'professional', 'score': 0.0}, {'token': 'swiss', 'score': 0.0}]",,,
17,austria,"[{'token': 'austria', 'score': 0.378}, {'token': 'germany', 'score': 0.31}, {'token': 'italy', 'score': 0.078}, {'token': 'switzerland', 'score': 0.052}, {'token': 'russia', 'score': 0.022}, {'token': 'czechoslovakia', 'score': 0.021}, {'token': 'slovakia', 'score': 0.02}, {'token': 'norway', 'score': 0.011}, {'token': 'they', 'score': 0.01}, {'token': 'liechtenstein', 'score': 0.008}, {'token': 'sweden', 'score': 0.008}, {'token': 'hungary', 'score': 0.006}, {'token': 'france', 'score': 0.005}, {'token': 'finland', 'score': 0.005}, {'token': 'bulgaria', 'score': 0.004}]",,,
18,israel,"[{'token': 'particular', 'score': 0.628}, {'token': 'turn', 'score': 0.264}, {'token': 'it', 'score': 0.023}, {'token': 'fact', 'score': 0.006}, {'token': 'israel', 'score': 0.005}, {'token': 'effect', 'score': 0.004}, {'token': 'this', 'score': 0.003}, {'token': 'part', 'score': 0.003}, {'token': 'general', 'score': 0.003}, {'token': 'addition', 'score': 0.002}, {'token': 'time', 'score': 0.002}, {'token': '1959', 'score': 0.001}, {'token': '1962', 'score': 0.001}, {'token': 'turned', 'score': 0.001}, {'token': 'short', 'score': 0.001}]",,"[{'token': 'particular', 'score': 0.878}, {'token': 'turn', 'score': 0.033}, {'token': 'it', 'score': 0.007}, {'token': 'general', 'score': 0.004}, {'token': 'fact', 'score': 0.003}, {'token': '1958', 'score': 0.002}, {'token': 'this', 'score': 0.002}, {'token': '1959', 'score': 0.002}, {'token': 'such', 'score': 0.002}, {'token': '1948', 'score': 0.002}, {'token': '1962', 'score': 0.002}, {'token': 'effect', 'score': 0.001}, {'token': '1946', 'score': 0.001}, {'token': '1967', 'score': 0.001}, {'token': 'essence', 'score': 0.001}]",
19,japan,"[{'token': 'japan', 'score': 1.0}, {'token': 'prefecture', 'score': 0.0}, {'token': 'jp', 'score': 0.0}, {'token': 'japanese', 'score': 0.0}, {'token': 'italy', 'score': 0.0}, {'token': 'korea', 'score': 0.0}, {'token': 'kobe', 'score': 0.0}, {'token': 'abe', 'score': 0.0}, {'token': 'france', 'score': 0.0}, {'token': 'zone', 'score': 0.0}, {'token': 'germany', 'score': 0.0}, {'token': 'china', 'score': 0.0}, {'token': 'kyushu', 'score': 0.0}, {'token': 'alps', 'score': 0.0}, {'token': 'russia', 'score': 0.0}]",,,
20,india,"[{'token': 'india', 'score': 0.59}, {'token': 'uk', 'score': 0.063}, {'token': 'holdings', 'score': 0.042}, {'token': 'private', 'score': 0.036}, {'token': 'singapore', 'score': 0.026}, {'token': 'asia', 'score': 0.02}, {'token': 'africa', 'score': 0.018}, {'token': 'nigeria', 'score': 0.014}, {'token': 'australia', 'score': 0.008}, {'token': 'malaysia', 'score': 0.008}, {'token': 'bangladesh', 'score': 0.007}, {'token': 'china', 'score': 0.007}, {'token': 'mauritius', 'score': 0.006}, {'token': 'international', 'score': 0.006}, {'token': 'europe', 'score': 0.004}]","[{'token': 'group', 'score': 0.184}, {'token': 'company', 'score': 0.122}, {'token': 'holdings', 'score': 0.118}, {'token': 'international', 'score': 0.097}, {'token': 'india', 'score': 0.072}, {'token': 'private', 'score': 0.024}, {'token': 'holding', 'score': 0.023}, {'token': 'uk', 'score': 0.015}, {'token': 'corporation', 'score': 0.014}, {'token': 'industries', 'score': 0.013}, {'token': 'limited', 'score': 0.012}, {'token': 'companies', 'score': 0.012}, {'token': 'bank', 'score': 0.01}, {'token': 'trading', 'score': 0.008}, {'token': 'investments', 'score': 0.008}]","[{'token': 'india', 'score': 0.178}, {'token': 'international', 'score': 0.113}, {'token': 'holdings', 'score': 0.052}, {'token': 'bank', 'score': 0.043}, {'token': 'group', 'score': 0.041}, {'token': 'asia', 'score': 0.029}, {'token': 'industries', 'score': 0.027}, {'token': 'investments', 'score': 0.019}, {'token': 'africa', 'score': 0.013}, {'token': 'express', 'score': 0.013}, {'token': 'oil', 'score': 0.01}, {'token': 'petroleum', 'score': 0.009}, {'token': 'holding', 'score': 0.009}, {'token': 'global', 'score': 0.008}, {'token': 'hotels', 'score': 0.008}]","[{'token': 'india', 'score': 0.189}, {'token': 'international', 'score': 0.122}, {'token': 'holdings', 'score': 0.053}, {'token': 'group', 'score': 0.039}, {'token': 'industries', 'score': 0.036}, {'token': 'asia', 'score': 0.03}, {'token': 'bank', 'score': 0.026}, {'token': 'investments', 'score': 0.02}, {'token': 'africa', 'score': 0.014}, {'token': 'oil', 'score': 0.01}, {'token': 'holding', 'score': 0.009}, {'token': 'petroleum', 'score': 0.008}, {'token': 'global', 'score': 0.008}, {'token': 'hotels', 'score': 0.006}, {'token': 'energy', 'score': 0.006}]"
21,ecuador,"[{'token': 'ecuador', 'score': 0.368}, {'token': 'argentine', 'score': 0.306}, {'token': 'uruguayan', 'score': 0.191}, {'token': 'bolivian', 'score': 0.024}, {'token': 'american', 'score': 0.02}, {'token': 'independent', 'score': 0.014}, {'token': 'colombian', 'score': 0.011}, {'token': 'venezuelan', 'score': 0.009}, {'token': 'italian', 'score': 0.008}, {'token': 'important', 'score': 0.007}, {'token': 'peruvian', 'score': 0.005}, {'token': 'indigenous', 'score': 0.003}, {'token': 'active', 'score': 0.003}, {'token': 'exiled', 'score': 0.003}, {'token': 'azerbaijani', 'score': 0.002}]",,,
22,mexico,"[{'token': 'mexico', 'score': 0.809}, {'token': 'spain', 'score': 0.171}, {'token': 'cuba', 'score': 0.01}, {'token': 'europe', 'score': 0.003}, {'token': 'argentina', 'score': 0.002}, {'token': 'colombia', 'score': 0.001}, {'token': 'peru', 'score': 0.001}, {'token': 'nicaragua', 'score': 0.0}, {'token': 'brazil', 'score': 0.0}, {'token': 'venezuela', 'score': 0.0}, {'token': 'america', 'score': 0.0}, {'token': 'cmll', 'score': 0.0}, {'token': 'ecuador', 'score': 0.0}, {'token': 'guatemala', 'score': 0.0}, {'token': 'madrid', 'score': 0.0}]",,,
23,argentina,"[{'token': 'argentina', 'score': 0.427}, {'token': ',', 'score': 0.283}, {'token': 'chile', 'score': 0.037}, {'token': 'brasil', 'score': 0.027}, {'token': 'nacional', 'score': 0.013}, {'token': 'americas', 'score': 0.011}, {'token': 'america', 'score': 0.011}, {'token': 'mexico', 'score': 0.01}, {'token': 'italiana', 'score': 0.009}, {'token': 'sa', 'score': 0.008}, {'token': 'colombia', 'score': 0.008}, {'token': 'holding', 'score': 0.007}, {'token': 'group', 'score': 0.005}, {'token': 'brazil', 'score': 0.005}, {'token': 'uruguay', 'score': 0.005}]",,,
24,venezuela,"[{'token': 'venezuela', 'score': 1.0}, {'token': 'margarita', 'score': 0.0}, {'token': 'caracas', 'score': 0.0}, {'token': 'venezuelan', 'score': 0.0}, {'token': 'chavez', 'score': 0.0}, {'token': 'vargas', 'score': 0.0}, {'token': 'congress', 'score': 0.0}, {'token': 'miranda', 'score': 0.0}, {'token': 'representatives', 'score': 0.0}, {'token': 'perez', 'score': 0.0}, {'token': 'deputies', 'score': 0.0}, {'token': 'lara', 'score': 0.0}, {'token': 'valencia', 'score': 0.0}, {'token': 'mexico', 'score': 0.0}, {'token': 'bolivar', 'score': 0.0}]",,,
25,japan,"[{'token': 'japan', 'score': 0.645}, {'token': 'games', 'score': 0.039}, {'token': 'anime', 'score': 0.034}, {'token': 'work', 'score': 0.024}, {'token': 'acting', 'score': 0.02}, {'token': 'films', 'score': 0.016}, {'token': 'japanese', 'score': 0.012}, {'token': 'school', 'score': 0.01}, {'token': 'appearances', 'score': 0.009}, {'token': 'works', 'score': 0.008}, {'token': 'public', 'score': 0.008}, {'token': 'movies', 'score': 0.006}, {'token': 'events', 'score': 0.006}, {'token': 'dramas', 'score': 0.006}, {'token': 'matches', 'score': 0.006}]","[{'token': 'japan', 'score': 0.988}, {'token': 'tokyo', 'score': 0.002}, {'token': 'japanese', 'score': 0.002}, {'token': 'okinawa', 'score': 0.002}, {'token': 'judo', 'score': 0.001}, {'token': 'taiwan', 'score': 0.001}, {'token': 'asia', 'score': 0.001}, {'token': 'osaka', 'score': 0.0}, {'token': 'korea', 'score': 0.0}, {'token': 'china', 'score': 0.0}, {'token': 'hawaii', 'score': 0.0}, {'token': 'nippon', 'score': 0.0}, {'token': 'karate', 'score': 0.0}, {'token': 'hokkaido', 'score': 0.0}, {'token': 'edo', 'score': 0.0}]",,
26,belgium,"[{'token': 'france', 'score': 0.928}, {'token': 'belgium', 'score': 0.024}, {'token': 'burgundy', 'score': 0.009}, {'token': 'paris', 'score': 0.007}, {'token': 'brittany', 'score': 0.006}, {'token': 'provence', 'score': 0.003}, {'token': 'rhone', 'score': 0.002}, {'token': 'luxembourg', 'score': 0.002}, {'token': 'algeria', 'score': 0.001}, {'token': 'quebec', 'score': 0.001}, {'token': 'switzerland', 'score': 0.001}, {'token': 'lebanon', 'score': 0.001}, {'token': 'lorraine', 'score': 0.001}, {'token': 'tunisia', 'score': 0.001}, {'token': 'normandy', 'score': 0.001}]",,,
27,brazil,"[{'token': 'brazil', 'score': 0.993}, {'token': 'bahia', 'score': 0.002}, {'token': 'brasil', 'score': 0.001}, {'token': 'brazilian', 'score': 0.001}, {'token': 'uruguay', 'score': 0.001}, {'token': 'parana', 'score': 0.001}, {'token': 'paraguay', 'score': 0.0}, {'token': 'para', 'score': 0.0}, {'token': 'argentina', 'score': 0.0}, {'token': 'bolivia', 'score': 0.0}, {'token': 'pt', 'score': 0.0}, {'token': 'paulo', 'score': 0.0}, {'token': 'portugal', 'score': 0.0}, {'token': 'santos', 'score': 0.0}, {'token': 'goa', 'score': 0.0}]",,,
28,australia,"[{'token': 'poland', 'score': 0.143}, {'token': 'canada', 'score': 0.112}, {'token': 'australia', 'score': 0.074}, {'token': 'slovakia', 'score': 0.066}, {'token': 'france', 'score': 0.046}, {'token': 'croatia', 'score': 0.045}, {'token': 'israel', 'score': 0.044}, {'token': 'germany', 'score': 0.03}, {'token': 'hungary', 'score': 0.029}, {'token': 'russia', 'score': 0.029}, {'token': 'ukraine', 'score': 0.027}, {'token': 'slovenia', 'score': 0.021}, {'token': 'czechoslovakia', 'score': 0.019}, {'token': 'usa', 'score': 0.019}, {'token': 'romania', 'score': 0.016}]",,,
29,tanzania,"[{'token': 'kenya', 'score': 0.748}, {'token': 'kenyan', 'score': 0.163}, {'token': 'cameroon', 'score': 0.014}, {'token': 'nigeria', 'score': 0.011}, {'token': 'gabon', 'score': 0.01}, {'token': 'tanzania', 'score': 0.008}, {'token': 'ethiopia', 'score': 0.007}, {'token': 'nigerian', 'score': 0.005}, {'token': 'guinea', 'score': 0.005}, {'token': 'ethiopian', 'score': 0.004}, {'token': 'uganda', 'score': 0.004}, {'token': 'congo', 'score': 0.003}, {'token': 'ghana', 'score': 0.002}, {'token': 'finland', 'score': 0.001}, {'token': 'tonga', 'score': 0.001}]",,,
30,mexico,"[{'token': 'mexico', 'score': 1.0}, {'token': 'spain', 'score': 0.0}, {'token': 'colorado', 'score': 0.0}, {'token': 'chihuahua', 'score': 0.0}, {'token': 'sonora', 'score': 0.0}, {'token': 'mexican', 'score': 0.0}, {'token': 'mx', 'score': 0.0}, {'token': 'hidalgo', 'score': 0.0}, {'token': 'argentina', 'score': 0.0}, {'token': 'texas', 'score': 0.0}, {'token': 'norte', 'score': 0.0}, {'token': 'duran', 'score': 0.0}, {'token': 'nm', 'score': 0.0}, {'token': 'veracruz', 'score': 0.0}, {'token': 'usa', 'score': 0.0}]",,,
31,malaysia,"[{'token': 'malaysia', 'score': 0.99}, {'token': 'sarawak', 'score': 0.002}, {'token': 'brunei', 'score': 0.001}, {'token': 'malaya', 'score': 0.001}, {'token': 'malaysian', 'score': 0.001}, {'token': 'sabah', 'score': 0.001}, {'token': 'borneo', 'score': 0.001}, {'token': 'selangor', 'score': 0.0}, {'token': 'malacca', 'score': 0.0}, {'token': 'singapore', 'score': 0.0}, {'token': 'indonesia', 'score': 0.0}, {'token': '2003', 'score': 0.0}, {'token': 'johor', 'score': 0.0}, {'token': '2007', 'score': 0.0}, {'token': '2002', 'score': 0.0}]",,,
32,albania,"[{'token': 'albania', 'score': 0.994}, {'token': 'albanians', 'score': 0.002}, {'token': 'albanian', 'score': 0.002}, {'token': 'tirana', 'score': 0.0}, {'token': 'kosovo', 'score': 0.0}, {'token': 'crete', 'score': 0.0}, {'token': 'belgium', 'score': 0.0}, {'token': 'orange', 'score': 0.0}, {'token': 'ethiopia', 'score': 0.0}, {'token': 'morocco', 'score': 0.0}, {'token': 'greece', 'score': 0.0}, {'token': 'rwanda', 'score': 0.0}, {'token': 'algeria', 'score': 0.0}, {'token': 'kenya', 'score': 0.0}, {'token': 'tunisia', 'score': 0.0}]",,,
