,answers,original,parrot_0,parrot_1,parrot_2
10,alexandria,"[{'token': 'alexandria', 'score': 0.993}, {'token': 'egypt', 'score': 0.003}, {'token': 'governorate', 'score': 0.002}, {'token': '[unk]', 'score': 0.001}, {'token': 'cairo', 'score': 0.0}, {'token': 'egyptian', 'score': 0.0}, {'token': 'syria', 'score': 0.0}, {'token': 'arabic', 'score': 0.0}, {'token': 'damascus', 'score': 0.0}, {'token': 'el', 'score': 0.0}, {'token': 'acre', 'score': 0.0}, {'token': 'anwar', 'score': 0.0}, {'token': 'nasser', 'score': 0.0}, {'token': 'cleopatra', 'score': 0.0}, {'token': 'sudan', 'score': 0.0}]",,,
11,colombo,"[{'token': 'colombo', 'score': 0.999}, {'token': 'the', 'score': 0.0}, {'token': 'sri', 'score': 0.0}, {'token': 'central', 'score': 0.0}, {'token': 'churchill', 'score': 0.0}, {'token': 'rama', 'score': 0.0}, {'token': 'inner', 'score': 0.0}, {'token': 'logan', 'score': 0.0}, {'token': 'queens', 'score': 0.0}, {'token': 'old', 'score': 0.0}, {'token': 'pearl', 'score': 0.0}, {'token': 'orchid', 'score': 0.0}, {'token': 'garden', 'score': 0.0}, {'token': 'victoria', 'score': 0.0}, {'token': 'pali', 'score': 0.0}]",,,
12,florence,"[{'token': 'venice', 'score': 0.393}, {'token': 'rome', 'score': 0.134}, {'token': 'florence', 'score': 0.129}, {'token': 'milan', 'score': 0.051}, {'token': 'naples', 'score': 0.051}, {'token': 'ferrara', 'score': 0.026}, {'token': 'bologna', 'score': 0.023}, {'token': 'italy', 'score': 0.022}, {'token': 'paris', 'score': 0.019}, {'token': 'genoa', 'score': 0.017}, {'token': 'parma', 'score': 0.017}, {'token': 'vienna', 'score': 0.013}, {'token': 'verona', 'score': 0.008}, {'token': 'siena', 'score': 0.008}, {'token': 'antwerp', 'score': 0.007}]",,,
13,helsinki,"[{'token': 'helsinki', 'score': 1.0}, {'token': 'finland', 'score': 0.0}, {'token': 'finnish', 'score': 0.0}, {'token': 'stockholm', 'score': 0.0}, {'token': 'leningrad', 'score': 0.0}, {'token': 'nokia', 'score': 0.0}, {'token': 'tallinn', 'score': 0.0}, {'token': 'vilnius', 'score': 0.0}, {'token': 'city', 'score': 0.0}, {'token': 'municipalities', 'score': 0.0}, {'token': 'milan', 'score': 0.0}, {'token': 'copenhagen', 'score': 0.0}, {'token': 'gothenburg', 'score': 0.0}, {'token': 'oslo', 'score': 0.0}, {'token': 'puck', 'score': 0.0}]",,,
14,hyderabad,"[{'token': 'hyderabad', 'score': 0.957}, {'token': 'bangalore', 'score': 0.022}, {'token': 'chennai', 'score': 0.008}, {'token': 'madras', 'score': 0.003}, {'token': 'telangana', 'score': 0.001}, {'token': 'mysore', 'score': 0.001}, {'token': 'delhi', 'score': 0.001}, {'token': 'pune', 'score': 0.001}, {'token': 'mandal', 'score': 0.001}, {'token': 'mumbai', 'score': 0.001}, {'token': 'ahmedabad', 'score': 0.0}, {'token': 'salem', 'score': 0.0}, {'token': 'lucknow', 'score': 0.0}, {'token': 'krishna', 'score': 0.0}, {'token': 'jaipur', 'score': 0.0}]",,,
15,carlisle,"[{'token': 'bradford', 'score': 0.147}, {'token': 'darlington', 'score': 0.079}, {'token': 'halifax', 'score': 0.072}, {'token': 'leeds', 'score': 0.07}, {'token': 'scarborough', 'score': 0.066}, {'token': 'durham', 'score': 0.059}, {'token': 'huddersfield', 'score': 0.048}, {'token': 'carlisle', 'score': 0.042}, {'token': 'manchester', 'score': 0.031}, {'token': 'lancaster', 'score': 0.029}, {'token': 'newcastle', 'score': 0.026}, {'token': 'wakefield', 'score': 0.016}, {'token': 'cumbria', 'score': 0.016}, {'token': 'cumberland', 'score': 0.015}, {'token': 'liverpool', 'score': 0.011}]","[{'token': 'london', 'score': 0.131}, {'token': 'carlisle', 'score': 0.13}, {'token': 'manchester', 'score': 0.092}, {'token': 'liverpool', 'score': 0.066}, {'token': 'glasgow', 'score': 0.057}, {'token': 'edinburgh', 'score': 0.05}, {'token': 'birmingham', 'score': 0.043}, {'token': 'leeds', 'score': 0.039}, {'token': 'belfast', 'score': 0.028}, {'token': 'newcastle', 'score': 0.018}, {'token': 'scotland', 'score': 0.018}, {'token': 'bristol', 'score': 0.012}, {'token': 'cumbria', 'score': 0.01}, {'token': 'york', 'score': 0.009}, {'token': 'nottingham', 'score': 0.009}]",,
16,adelaide,"[{'token': 'adelaide', 'score': 0.88}, {'token': 'it', 'score': 0.108}, {'token': 'norwood', 'score': 0.002}, {'token': 'elizabeth', 'score': 0.001}, {'token': 'charleston', 'score': 0.001}, {'token': 'salisbury', 'score': 0.001}, {'token': 'kensington', 'score': 0.001}, {'token': 'south', 'score': 0.0}, {'token': 'augusta', 'score': 0.0}, {'token': 'georgetown', 'score': 0.0}, {'token': 'alexandria', 'score': 0.0}, {'token': 'newport', 'score': 0.0}, {'token': 'peterborough', 'score': 0.0}, {'token': 'rose', 'score': 0.0}, {'token': 'gladstone', 'score': 0.0}]","[{'token': 'state', 'score': 0.72}, {'token': 'federal', 'score': 0.093}, {'token': 'local', 'score': 0.061}, {'token': 'commonwealth', 'score': 0.025}, {'token': 'national', 'score': 0.024}, {'token': 'australian', 'score': 0.016}, {'token': 'both', 'score': 0.007}, {'token': 'the', 'score': 0.006}, {'token': 'provincial', 'score': 0.004}, {'token': 'municipal', 'score': 0.004}, {'token': 'representative', 'score': 0.003}, {'token': 'central', 'score': 0.003}, {'token': 'regional', 'score': 0.002}, {'token': 'nsw', 'score': 0.002}, {'token': 'its', 'score': 0.002}]","[{'token': 'state', 'score': 0.438}, {'token': 'commonwealth', 'score': 0.181}, {'token': 'australian', 'score': 0.064}, {'token': 'its', 'score': 0.044}, {'token': 'federal', 'score': 0.044}, {'token': 'local', 'score': 0.029}, {'token': 'the', 'score': 0.026}, {'token': 'many', 'score': 0.023}, {'token': 'national', 'score': 0.02}, {'token': 'both', 'score': 0.015}, {'token': 'most', 'score': 0.012}, {'token': 'numerous', 'score': 0.008}, {'token': 'some', 'score': 0.008}, {'token': 'major', 'score': 0.007}, {'token': 'various', 'score': 0.007}]",
17,edinburgh,"[{'token': 'york', 'score': 0.631}, {'token': 'lancaster', 'score': 0.173}, {'token': 'gloucester', 'score': 0.039}, {'token': 'norfolk', 'score': 0.027}, {'token': 'cornwall', 'score': 0.025}, {'token': 'burgundy', 'score': 0.012}, {'token': 'cambridge', 'score': 0.009}, {'token': 'edmund', 'score': 0.007}, {'token': 'suffolk', 'score': 0.007}, {'token': 'england', 'score': 0.007}, {'token': 'brittany', 'score': 0.006}, {'token': 'buckingham', 'score': 0.006}, {'token': 'berry', 'score': 0.004}, {'token': 'clarence', 'score': 0.004}, {'token': 'normandy', 'score': 0.003}]","[{'token': '.', 'score': 0.975}, {'token': 'england', 'score': 0.004}, {'token': 'york', 'score': 0.004}, {'token': 'scotland', 'score': 0.003}, {'token': ';', 'score': 0.002}, {'token': '|', 'score': 0.002}, {'token': '?', 'score': 0.001}, {'token': 'gloucester', 'score': 0.001}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'windsor', 'score': 0.0}, {'token': 'brittany', 'score': 0.0}, {'token': 'france', 'score': 0.0}, {'token': 'wales', 'score': 0.0}, {'token': 'cambridge', 'score': 0.0}, {'token': 'normandy', 'score': 0.0}]","[{'token': '.', 'score': 0.962}, {'token': 'york', 'score': 0.009}, {'token': 'england', 'score': 0.004}, {'token': ';', 'score': 0.003}, {'token': 'scotland', 'score': 0.003}, {'token': '|', 'score': 0.003}, {'token': 'gloucester', 'score': 0.001}, {'token': '?', 'score': 0.001}, {'token': 'wales', 'score': 0.001}, {'token': 'brittany', 'score': 0.001}, {'token': 'cambridge', 'score': 0.001}, {'token': 'yorkshire', 'score': 0.001}, {'token': 'cornwall', 'score': 0.001}, {'token': 'normandy', 'score': 0.0}, {'token': 'windsor', 'score': 0.0}]","[{'token': '.', 'score': 0.975}, {'token': 'england', 'score': 0.004}, {'token': 'york', 'score': 0.004}, {'token': ';', 'score': 0.003}, {'token': '|', 'score': 0.002}, {'token': 'scotland', 'score': 0.002}, {'token': '?', 'score': 0.001}, {'token': 'gloucester', 'score': 0.001}, {'token': 'wales', 'score': 0.0}, {'token': 'france', 'score': 0.0}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'brittany', 'score': 0.0}, {'token': '...', 'score': 0.0}, {'token': 'windsor', 'score': 0.0}, {'token': 'normandy', 'score': 0.0}]"
18,warsaw,"[{'token': 'warsaw', 'score': 0.235}, {'token': 'paris', 'score': 0.185}, {'token': 'vienna', 'score': 0.082}, {'token': 'secret', 'score': 0.054}, {'token': 'london', 'score': 0.054}, {'token': 'berlin', 'score': 0.032}, {'token': 'krakow', 'score': 0.031}, {'token': 'polish', 'score': 0.018}, {'token': 'pest', 'score': 0.017}, {'token': 'dresden', 'score': 0.015}, {'token': 'germany', 'score': 0.012}, {'token': 'france', 'score': 0.012}, {'token': 'poland', 'score': 0.012}, {'token': 'moscow', 'score': 0.011}, {'token': 'vilnius', 'score': 0.009}]","[{'token': 'warsaw', 'score': 0.289}, {'token': 'krakow', 'score': 0.15}, {'token': 'paris', 'score': 0.103}, {'token': 'vienna', 'score': 0.059}, {'token': 'london', 'score': 0.033}, {'token': 'secret', 'score': 0.025}, {'token': 'pest', 'score': 0.017}, {'token': 'polish', 'score': 0.016}, {'token': 'berlin', 'score': 0.014}, {'token': 'prague', 'score': 0.013}, {'token': 'poland', 'score': 0.011}, {'token': 'poznan', 'score': 0.01}, {'token': 'lublin', 'score': 0.01}, {'token': 'moscow', 'score': 0.009}, {'token': 'dresden', 'score': 0.008}]","[{'token': 'warsaw', 'score': 0.252}, {'token': 'paris', 'score': 0.179}, {'token': 'vienna', 'score': 0.108}, {'token': 'berlin', 'score': 0.052}, {'token': 'london', 'score': 0.046}, {'token': 'krakow', 'score': 0.039}, {'token': 'pest', 'score': 0.02}, {'token': 'dresden', 'score': 0.019}, {'token': 'germany', 'score': 0.018}, {'token': 'poznan', 'score': 0.016}, {'token': 'france', 'score': 0.014}, {'token': 'poland', 'score': 0.011}, {'token': 'vilnius', 'score': 0.011}, {'token': 'moscow', 'score': 0.011}, {'token': 'russia', 'score': 0.009}]",
19,dhaka,"[{'token': 'dhaka', 'score': 0.936}, {'token': 'bangladesh', 'score': 0.064}, {'token': 'bangladeshi', 'score': 0.0}, {'token': 'bengal', 'score': 0.0}, {'token': 'kolkata', 'score': 0.0}, {'token': 'zimbabwe', 'score': 0.0}, {'token': 'city', 'score': 0.0}, {'token': 'pakistan', 'score': 0.0}, {'token': 'bengali', 'score': 0.0}, {'token': 'capital', 'score': 0.0}, {'token': 'assam', 'score': 0.0}, {'token': 'islamabad', 'score': 0.0}, {'token': 'parliament', 'score': 0.0}, {'token': 'calcutta', 'score': 0.0}, {'token': 'tanzania', 'score': 0.0}]",,,
20,moscow,"[{'token': 'moscow', 'score': 0.298}, {'token': 'kgb', 'score': 0.184}, {'token': '[unk]', 'score': 0.131}, {'token': 'russia', 'score': 0.053}, {'token': 'russian', 'score': 0.05}, {'token': 'soviet', 'score': 0.035}, {'token': 'ussr', 'score': 0.016}, {'token': 'reich', 'score': 0.014}, {'token': 'gestapo', 'score': 0.013}, {'token': 'tsar', 'score': 0.012}, {'token': 'leningrad', 'score': 0.01}, {'token': 'hamburg', 'score': 0.006}, {'token': 'wehrmacht', 'score': 0.006}, {'token': 'bolshevik', 'score': 0.004}, {'token': 'berlin', 'score': 0.004}]",,,
21,jackson,"[{'token': 'lexington', 'score': 0.092}, {'token': 'ashland', 'score': 0.062}, {'token': 'louisville', 'score': 0.052}, {'token': 'versailles', 'score': 0.024}, {'token': 'richmond', 'score': 0.02}, {'token': 'newport', 'score': 0.02}, {'token': 'hazard', 'score': 0.019}, {'token': 'springfield', 'score': 0.016}, {'token': 'glasgow', 'score': 0.012}, {'token': 'mayfield', 'score': 0.012}, {'token': 'lancaster', 'score': 0.011}, {'token': 'lebanon', 'score': 0.01}, {'token': 'henderson', 'score': 0.01}, {'token': 'augusta', 'score': 0.01}, {'token': 'liberty', 'score': 0.009}]","[{'token': 'lexington', 'score': 0.107}, {'token': 'louisville', 'score': 0.06}, {'token': 'ashland', 'score': 0.058}, {'token': 'richmond', 'score': 0.03}, {'token': 'versailles', 'score': 0.026}, {'token': 'newport', 'score': 0.021}, {'token': 'springfield', 'score': 0.02}, {'token': 'hazard', 'score': 0.018}, {'token': 'glasgow', 'score': 0.012}, {'token': 'augusta', 'score': 0.012}, {'token': 'lancaster', 'score': 0.011}, {'token': 'liberty', 'score': 0.01}, {'token': 'lebanon', 'score': 0.01}, {'token': 'florence', 'score': 0.009}, {'token': 'mayfield', 'score': 0.009}]","[{'token': 'ashland', 'score': 0.077}, {'token': 'lexington', 'score': 0.05}, {'token': 'louisville', 'score': 0.03}, {'token': 'huntington', 'score': 0.018}, {'token': 'lebanon', 'score': 0.018}, {'token': 'richmond', 'score': 0.018}, {'token': 'springfield', 'score': 0.017}, {'token': 'bristol', 'score': 0.014}, {'token': 'newport', 'score': 0.013}, {'token': 'florence', 'score': 0.012}, {'token': 'liberty', 'score': 0.012}, {'token': 'versailles', 'score': 0.012}, {'token': 'augusta', 'score': 0.01}, {'token': 'marion', 'score': 0.009}, {'token': 'lancaster', 'score': 0.009}]",
22,hermann,"[{'token': 'hermann', 'score': 0.991}, {'token': 'marion', 'score': 0.002}, {'token': 'eugene', 'score': 0.0}, {'token': 'herman', 'score': 0.0}, {'token': 'lincoln', 'score': 0.0}, {'token': 'baldwin', 'score': 0.0}, {'token': 'parsons', 'score': 0.0}, {'token': 'springfield', 'score': 0.0}, {'token': 'tangent', 'score': 0.0}, {'token': 'concurrently', 'score': 0.0}, {'token': 'otto', 'score': 0.0}, {'token': 'alexandria', 'score': 0.0}, {'token': 'farmland', 'score': 0.0}, {'token': 'linden', 'score': 0.0}, {'token': 'washington', 'score': 0.0}]","[{'token': 'wayne', 'score': 0.039}, {'token': 'newton', 'score': 0.032}, {'token': 'franklin', 'score': 0.026}, {'token': 'oregon', 'score': 0.026}, {'token': 'iron', 'score': 0.024}, {'token': 'washington', 'score': 0.022}, {'token': 'mississippi', 'score': 0.022}, {'token': 'pike', 'score': 0.021}, {'token': 'greene', 'score': 0.02}, {'token': 'jefferson', 'score': 0.019}, {'token': 'monroe', 'score': 0.019}, {'token': 'clay', 'score': 0.018}, {'token': 'henry', 'score': 0.017}, {'token': 'howard', 'score': 0.016}, {'token': 'marion', 'score': 0.016}]","[{'token': 'newton', 'score': 0.036}, {'token': 'wayne', 'score': 0.034}, {'token': 'oregon', 'score': 0.025}, {'token': 'franklin', 'score': 0.025}, {'token': 'iron', 'score': 0.023}, {'token': 'mississippi', 'score': 0.022}, {'token': 'greene', 'score': 0.021}, {'token': 'washington', 'score': 0.021}, {'token': 'pike', 'score': 0.019}, {'token': 'clay', 'score': 0.018}, {'token': 'jefferson', 'score': 0.018}, {'token': 'monroe', 'score': 0.018}, {'token': 'henry', 'score': 0.017}, {'token': 'howard', 'score': 0.016}, {'token': 'marion', 'score': 0.016}]",
23,christchurch,"[{'token': 'christchurch', 'score': 0.853}, {'token': 'canterbury', 'score': 0.025}, {'token': 'nelson', 'score': 0.008}, {'token': 'hamilton', 'score': 0.008}, {'token': 'hastings', 'score': 0.007}, {'token': 'dunedin', 'score': 0.007}, {'token': 'sumner', 'score': 0.003}, {'token': '##xley', 'score': 0.003}, {'token': 'mayfield', 'score': 0.003}, {'token': 'newton', 'score': 0.003}, {'token': 'georgetown', 'score': 0.002}, {'token': 'auburn', 'score': 0.002}, {'token': 'brighton', 'score': 0.002}, {'token': 'gore', 'score': 0.002}, {'token': 'rochester', 'score': 0.002}]",,,
24,paris,"[{'token': 'france', 'score': 0.445}, {'token': 'paris', 'score': 0.388}, {'token': 'prison', 'score': 0.053}, {'token': 'versailles', 'score': 0.016}, {'token': 'captivity', 'score': 0.016}, {'token': 'exile', 'score': 0.013}, {'token': 'court', 'score': 0.009}, {'token': 'safety', 'score': 0.005}, {'token': 'brittany', 'score': 0.004}, {'token': 'brussels', 'score': 0.003}, {'token': 'england', 'score': 0.003}, {'token': 'spain', 'score': 0.002}, {'token': 'confinement', 'score': 0.002}, {'token': 'normandy', 'score': 0.002}, {'token': 'brest', 'score': 0.002}]",,,
25,stade,"[{'token': 'stade', 'score': 0.922}, {'token': 'bremen', 'score': 0.064}, {'token': 'hanover', 'score': 0.009}, {'token': 'hamburg', 'score': 0.004}, {'token': 'hannover', 'score': 0.001}, {'token': 'munster', 'score': 0.0}, {'token': 'brunswick', 'score': 0.0}, {'token': 'saxony', 'score': 0.0}, {'token': 'westphalia', 'score': 0.0}, {'token': 'rye', 'score': 0.0}, {'token': 'mecklenburg', 'score': 0.0}, {'token': 'gottingen', 'score': 0.0}, {'token': 'saxe', 'score': 0.0}, {'token': 'britannia', 'score': 0.0}, {'token': 'kiel', 'score': 0.0}]",,,
