,answers,original,parrot_0,parrot_1,parrot_2
10,guangzhou,"[{'token': 'guangzhou', 'score': 0.935}, {'token': 'shenzhen', 'score': 0.049}, {'token': 'canton', 'score': 0.009}, {'token': 'guangdong', 'score': 0.001}, {'token': 'macau', 'score': 0.0}, {'token': 'cantonese', 'score': 0.0}, {'token': 'beijing', 'score': 0.0}, {'token': 'shanghai', 'score': 0.0}, {'token': 'central', 'score': 0.0}, {'token': 'hui', 'score': 0.0}, {'token': 'newport', 'score': 0.0}, {'token': 'livingstone', 'score': 0.0}, {'token': 'raymond', 'score': 0.0}, {'token': 'richmond', 'score': 0.0}, {'token': 'china', 'score': 0.0}]",,,
11,lahore,"[{'token': 'pakistan', 'score': 0.136}, {'token': 'lahore', 'score': 0.088}, {'token': 'india', 'score': 0.082}, {'token': 'delhi', 'score': 0.058}, {'token': 'mumbai', 'score': 0.038}, {'token': 'karachi', 'score': 0.035}, {'token': 'dubai', 'score': 0.03}, {'token': 'punjab', 'score': 0.028}, {'token': 'london', 'score': 0.027}, {'token': 'hyderabad', 'score': 0.019}, {'token': 'bangladesh', 'score': 0.013}, {'token': 'kashmir', 'score': 0.012}, {'token': 'england', 'score': 0.009}, {'token': 'islamabad', 'score': 0.009}, {'token': 'bombay', 'score': 0.009}]",,,
12,florence,"[{'token': 'florence', 'score': 0.254}, {'token': 'naples', 'score': 0.182}, {'token': 'genoa', 'score': 0.09}, {'token': 'rome', 'score': 0.08}, {'token': 'milan', 'score': 0.057}, {'token': 'bologna', 'score': 0.055}, {'token': 'padua', 'score': 0.05}, {'token': 'parma', 'score': 0.04}, {'token': 'pisa', 'score': 0.037}, {'token': 'ferrara', 'score': 0.028}, {'token': 'siena', 'score': 0.02}, {'token': 'venice', 'score': 0.016}, {'token': 'turin', 'score': 0.015}, {'token': 'palermo', 'score': 0.01}, {'token': 'verona', 'score': 0.008}]",,,
13,belfast,"[{'token': 'belfast', 'score': 0.933}, {'token': 'derry', 'score': 0.038}, {'token': 'armagh', 'score': 0.014}, {'token': 'antrim', 'score': 0.004}, {'token': 'bangor', 'score': 0.004}, {'token': 'tyrone', 'score': 0.003}, {'token': 'ulster', 'score': 0.001}, {'token': 'montrose', 'score': 0.0}, {'token': 'clones', 'score': 0.0}, {'token': 'down', 'score': 0.0}, {'token': 'devlin', 'score': 0.0}, {'token': 'newcastle', 'score': 0.0}, {'token': 'manchester', 'score': 0.0}, {'token': 'carlisle', 'score': 0.0}, {'token': 'hillsborough', 'score': 0.0}]",,,
14,paris,"[{'token': 'france', 'score': 0.447}, {'token': 'paris', 'score': 0.415}, {'token': 'europe', 'score': 0.05}, {'token': 'switzerland', 'score': 0.019}, {'token': 'belgium', 'score': 0.016}, {'token': 'italy', 'score': 0.006}, {'token': 'england', 'score': 0.005}, {'token': 'america', 'score': 0.004}, {'token': 'japan', 'score': 0.003}, {'token': 'spain', 'score': 0.003}, {'token': 'germany', 'score': 0.002}, {'token': 'geneva', 'score': 0.002}, {'token': 'london', 'score': 0.001}, {'token': 'canada', 'score': 0.001}, {'token': 'brittany', 'score': 0.001}]","[{'token': 'france', 'score': 0.435}, {'token': 'paris', 'score': 0.346}, {'token': 'europe', 'score': 0.073}, {'token': 'belgium', 'score': 0.025}, {'token': 'switzerland', 'score': 0.02}, {'token': 'england', 'score': 0.009}, {'token': 'italy', 'score': 0.007}, {'token': 'japan', 'score': 0.007}, {'token': 'america', 'score': 0.006}, {'token': 'germany', 'score': 0.005}, {'token': 'spain', 'score': 0.003}, {'token': 'london', 'score': 0.003}, {'token': 'canada', 'score': 0.003}, {'token': 'geneva', 'score': 0.002}, {'token': 'australia', 'score': 0.002}]",,
15,budapest,"[{'token': 'budapest', 'score': 0.995}, {'token': 'pest', 'score': 0.002}, {'token': 'hungary', 'score': 0.0}, {'token': 'vienna', 'score': 0.0}, {'token': 'transylvania', 'score': 0.0}, {'token': 'hungarian', 'score': 0.0}, {'token': 'tata', 'score': 0.0}, {'token': 'bratislava', 'score': 0.0}, {'token': 'london', 'score': 0.0}, {'token': 'laszlo', 'score': 0.0}, {'token': 'liszt', 'score': 0.0}, {'token': 'zagreb', 'score': 0.0}, {'token': 'baja', 'score': 0.0}, {'token': 'bucharest', 'score': 0.0}, {'token': 'papa', 'score': 0.0}]",,,
16,odessa,"[{'token': 'died', 'score': 0.592}, {'token': '†', 'score': 0.157}, {'token': '-', 'score': 0.103}, {'token': 'or', 'score': 0.01}, {'token': 'd', 'score': 0.009}, {'token': 'deceased', 'score': 0.008}, {'token': 'emigrated', 'score': 0.007}, {'token': 'death', 'score': 0.006}, {'token': '+', 'score': 0.006}, {'token': '−', 'score': 0.006}, {'token': 'murdered', 'score': 0.004}, {'token': 'twinned', 'score': 0.004}, {'token': 'and', 'score': 0.003}, {'token': 'perished', 'score': 0.003}, {'token': 'odessa', 'score': 0.002}]",,,
17,melbourne,"[{'token': 'melbourne', 'score': 0.846}, {'token': 'victoria', 'score': 0.025}, {'token': 'geelong', 'score': 0.011}, {'token': 'fitzroy', 'score': 0.009}, {'token': 'carlton', 'score': 0.006}, {'token': 'essendon', 'score': 0.006}, {'token': 'brisbane', 'score': 0.006}, {'token': 'richmond', 'score': 0.004}, {'token': 'australia', 'score': 0.003}, {'token': 'brighton', 'score': 0.002}, {'token': 'sydney', 'score': 0.002}, {'token': 'malvern', 'score': 0.002}, {'token': 'adelaide', 'score': 0.002}, {'token': 'perth', 'score': 0.002}, {'token': 'victorian', 'score': 0.002}]","[{'token': 'melbourne', 'score': 0.771}, {'token': 'victoria', 'score': 0.05}, {'token': 'australia', 'score': 0.013}, {'token': 'geelong', 'score': 0.007}, {'token': 'brisbane', 'score': 0.007}, {'token': 'fitzroy', 'score': 0.007}, {'token': 'england', 'score': 0.007}, {'token': '1956', 'score': 0.005}, {'token': 'sydney', 'score': 0.004}, {'token': 'essendon', 'score': 0.003}, {'token': '1958', 'score': 0.003}, {'token': 'adelaide', 'score': 0.003}, {'token': 'carlton', 'score': 0.003}, {'token': 'richmond', 'score': 0.003}, {'token': '1957', 'score': 0.002}]",,
18,lyon,"[{'token': 'paris', 'score': 0.274}, {'token': 'nancy', 'score': 0.078}, {'token': 'metz', 'score': 0.065}, {'token': 'lyon', 'score': 0.037}, {'token': 'versailles', 'score': 0.032}, {'token': 'nantes', 'score': 0.03}, {'token': 'tours', 'score': 0.019}, {'token': 'orleans', 'score': 0.019}, {'token': 'rouen', 'score': 0.019}, {'token': 'toulouse', 'score': 0.019}, {'token': 'pau', 'score': 0.018}, {'token': 'nice', 'score': 0.017}, {'token': 'marseille', 'score': 0.015}, {'token': 'lille', 'score': 0.014}, {'token': 'lens', 'score': 0.014}]",,,
19,halifax,"[{'token': 'london', 'score': 0.564}, {'token': 'birmingham', 'score': 0.053}, {'token': 'oxford', 'score': 0.046}, {'token': 'manchester', 'score': 0.025}, {'token': 'bristol', 'score': 0.02}, {'token': 'cambridge', 'score': 0.017}, {'token': 'sheffield', 'score': 0.017}, {'token': 'leeds', 'score': 0.017}, {'token': 'liverpool', 'score': 0.016}, {'token': 'nottingham', 'score': 0.015}, {'token': 'leicester', 'score': 0.013}, {'token': 'bradford', 'score': 0.007}, {'token': 'southampton', 'score': 0.006}, {'token': 'wolverhampton', 'score': 0.006}, {'token': 'surrey', 'score': 0.005}]",,,
20,tokyo,"[{'token': 'tokyo', 'score': 0.83}, {'token': 'osaka', 'score': 0.052}, {'token': 'yokohama', 'score': 0.021}, {'token': 'okinawa', 'score': 0.02}, {'token': 'hiroshima', 'score': 0.018}, {'token': 'hokkaido', 'score': 0.016}, {'token': 'kyoto', 'score': 0.011}, {'token': 'chiba', 'score': 0.005}, {'token': 'kobe', 'score': 0.005}, {'token': 'fukuoka', 'score': 0.003}, {'token': 'nagoya', 'score': 0.003}, {'token': 'edo', 'score': 0.002}, {'token': 'kyushu', 'score': 0.001}, {'token': 'nara', 'score': 0.001}, {'token': 'japan', 'score': 0.001}]",,,
21,london,"[{'token': 'english', 'score': 0.183}, {'token': 'new', 'score': 0.11}, {'token': 'london', 'score': 0.075}, {'token': 'british', 'score': 0.073}, {'token': 'weekly', 'score': 0.059}, {'token': 'illustrated', 'score': 0.052}, {'token': 'american', 'score': 0.035}, {'token': 'little', 'score': 0.024}, {'token': 'comic', 'score': 0.022}, {'token': 'magazine', 'score': 0.021}, {'token': 'monthly', 'score': 0.015}, {'token': 'irish', 'score': 0.014}, {'token': 'daily', 'score': 0.01}, {'token': 'royal', 'score': 0.007}, {'token': 'great', 'score': 0.006}]","[{'token': 'weekly', 'score': 0.115}, {'token': 'new', 'score': 0.101}, {'token': 'english', 'score': 0.083}, {'token': 'magazine', 'score': 0.07}, {'token': 'london', 'score': 0.056}, {'token': 'punch', 'score': 0.051}, {'token': 'british', 'score': 0.049}, {'token': 'illustrated', 'score': 0.044}, {'token': 'monthly', 'score': 0.04}, {'token': 'american', 'score': 0.027}, {'token': 'little', 'score': 0.026}, {'token': 'comic', 'score': 0.013}, {'token': 'old', 'score': 0.011}, {'token': 'daily', 'score': 0.011}, {'token': 'royal', 'score': 0.011}]","[{'token': 'weekly', 'score': 0.115}, {'token': 'new', 'score': 0.098}, {'token': 'english', 'score': 0.097}, {'token': 'magazine', 'score': 0.063}, {'token': 'london', 'score': 0.062}, {'token': 'british', 'score': 0.052}, {'token': 'illustrated', 'score': 0.043}, {'token': 'punch', 'score': 0.04}, {'token': 'monthly', 'score': 0.037}, {'token': 'american', 'score': 0.033}, {'token': 'little', 'score': 0.028}, {'token': 'comic', 'score': 0.014}, {'token': 'daily', 'score': 0.011}, {'token': 'old', 'score': 0.01}, {'token': 'irish', 'score': 0.009}]","[{'token': 'weekly', 'score': 0.13}, {'token': 'english', 'score': 0.113}, {'token': 'new', 'score': 0.096}, {'token': 'london', 'score': 0.064}, {'token': 'magazine', 'score': 0.062}, {'token': 'illustrated', 'score': 0.058}, {'token': 'british', 'score': 0.044}, {'token': 'monthly', 'score': 0.035}, {'token': 'american', 'score': 0.027}, {'token': 'punch', 'score': 0.025}, {'token': 'little', 'score': 0.025}, {'token': 'comic', 'score': 0.017}, {'token': 'irish', 'score': 0.013}, {'token': 'daily', 'score': 0.012}, {'token': 'popular', 'score': 0.007}]"
22,montreal,"[{'token': 'montreal', 'score': 0.87}, {'token': 'paris', 'score': 0.032}, {'token': 'laval', 'score': 0.028}, {'token': 'quebec', 'score': 0.014}, {'token': 'lyon', 'score': 0.01}, {'token': 'ottawa', 'score': 0.004}, {'token': 'marseille', 'score': 0.002}, {'token': 'orleans', 'score': 0.002}, {'token': ',', 'score': 0.001}, {'token': 'nord', 'score': 0.001}, {'token': 'nantes', 'score': 0.001}, {'token': 'toulouse', 'score': 0.001}, {'token': 'ville', 'score': 0.001}, {'token': 'vancouver', 'score': 0.001}, {'token': 'toronto', 'score': 0.001}]","[{'token': 'montreal', 'score': 0.834}, {'token': 'laval', 'score': 0.04}, {'token': 'paris', 'score': 0.037}, {'token': 'quebec', 'score': 0.018}, {'token': 'lyon', 'score': 0.01}, {'token': 'ottawa', 'score': 0.006}, {'token': 'nord', 'score': 0.002}, {'token': ',', 'score': 0.002}, {'token': 'orleans', 'score': 0.002}, {'token': 'ville', 'score': 0.002}, {'token': 'marseille', 'score': 0.002}, {'token': 'nantes', 'score': 0.001}, {'token': 'toulouse', 'score': 0.001}, {'token': 'lafayette', 'score': 0.001}, {'token': 'toronto', 'score': 0.001}]","[{'token': 'paris', 'score': 0.53}, {'token': 'montreal', 'score': 0.161}, {'token': 'lyon', 'score': 0.142}, {'token': 'laval', 'score': 0.029}, {'token': 'marseille', 'score': 0.021}, {'token': 'toulouse', 'score': 0.014}, {'token': 'nantes', 'score': 0.009}, {'token': 'orleans', 'score': 0.007}, {'token': 'quebec', 'score': 0.006}, {'token': 'algiers', 'score': 0.005}, {'token': 'nice', 'score': 0.005}, {'token': 'montpellier', 'score': 0.004}, {'token': 'france', 'score': 0.004}, {'token': 'lille', 'score': 0.003}, {'token': 'bordeaux', 'score': 0.003}]",
23,queensland,"[{'token': 'queensland', 'score': 0.984}, {'token': 'australian', 'score': 0.009}, {'token': 'australia', 'score': 0.002}, {'token': 'brisbane', 'score': 0.001}, {'token': 'nsw', 'score': 0.0}, {'token': 'papua', 'score': 0.0}, {'token': 'victoria', 'score': 0.0}, {'token': 'gladstone', 'score': 0.0}, {'token': 'commonwealth', 'score': 0.0}, {'token': 'fiji', 'score': 0.0}, {'token': 'kimberley', 'score': 0.0}, {'token': 'western', 'score': 0.0}, {'token': 'victorian', 'score': 0.0}, {'token': 'colonial', 'score': 0.0}, {'token': 'townsville', 'score': 0.0}]",,,
24,sydney,"[{'token': 'england', 'score': 0.473}, {'token': 'london', 'score': 0.146}, {'token': 'australia', 'score': 0.099}, {'token': 'scotland', 'score': 0.02}, {'token': 'wales', 'score': 0.017}, {'token': 'liverpool', 'score': 0.016}, {'token': 'queensland', 'score': 0.014}, {'token': 'britain', 'score': 0.013}, {'token': 'ireland', 'score': 0.012}, {'token': 'manchester', 'score': 0.011}, {'token': 'birmingham', 'score': 0.007}, {'token': 'uk', 'score': 0.007}, {'token': 'sheffield', 'score': 0.006}, {'token': 'bristol', 'score': 0.005}, {'token': 'brisbane', 'score': 0.005}]",,,
25,helsinki,"[{'token': 'helsinki', 'score': 0.997}, {'token': 'nokia', 'score': 0.001}, {'token': 'finland', 'score': 0.001}, {'token': 'leningrad', 'score': 0.0}, {'token': 'tallinn', 'score': 0.0}, {'token': 'finnish', 'score': 0.0}, {'token': 'stockholm', 'score': 0.0}, {'token': '##inen', 'score': 0.0}, {'token': 'vilnius', 'score': 0.0}, {'token': 'kari', 'score': 0.0}, {'token': 'moscow', 'score': 0.0}, {'token': 'sami', 'score': 0.0}, {'token': 'riga', 'score': 0.0}, {'token': 'palo', 'score': 0.0}, {'token': 'gothenburg', 'score': 0.0}]",,,
26,preston,"[{'token': 'london', 'score': 0.301}, {'token': 'liverpool', 'score': 0.054}, {'token': 'manchester', 'score': 0.037}, {'token': 'bristol', 'score': 0.035}, {'token': 'edinburgh', 'score': 0.034}, {'token': 'birmingham', 'score': 0.021}, {'token': 'sheffield', 'score': 0.015}, {'token': 'leeds', 'score': 0.015}, {'token': 'oxford', 'score': 0.013}, {'token': 'hampstead', 'score': 0.011}, {'token': 'bath', 'score': 0.011}, {'token': 'nottingham', 'score': 0.011}, {'token': 'brighton', 'score': 0.011}, {'token': 'england', 'score': 0.01}, {'token': 'norwich', 'score': 0.009}]",,,
27,london,"[{'token': 'london', 'score': 0.99}, {'token': 'liverpool', 'score': 0.003}, {'token': 'bristol', 'score': 0.002}, {'token': 'dublin', 'score': 0.001}, {'token': 'antwerp', 'score': 0.001}, {'token': 'norwich', 'score': 0.0}, {'token': 'edinburgh', 'score': 0.0}, {'token': 'canterbury', 'score': 0.0}, {'token': 'chester', 'score': 0.0}, {'token': 'glasgow', 'score': 0.0}, {'token': 'york', 'score': 0.0}, {'token': 'westminster', 'score': 0.0}, {'token': 'manchester', 'score': 0.0}, {'token': 'birmingham', 'score': 0.0}, {'token': 'portsmouth', 'score': 0.0}]",,,
28,seoul,"[{'token': 'london', 'score': 0.29}, {'token': 'paris', 'score': 0.156}, {'token': 'singapore', 'score': 0.097}, {'token': 'beijing', 'score': 0.088}, {'token': 'osaka', 'score': 0.039}, {'token': 'seoul', 'score': 0.034}, {'token': 'chicago', 'score': 0.026}, {'token': 'shanghai', 'score': 0.017}, {'token': 'seattle', 'score': 0.013}, {'token': 'berlin', 'score': 0.013}, {'token': 'boston', 'score': 0.011}, {'token': 'tokyo', 'score': 0.01}, {'token': 'philadelphia', 'score': 0.008}, {'token': 'bali', 'score': 0.008}, {'token': 'amsterdam', 'score': 0.007}]",,,
29,tokyo,"[{'token': 'tokyo', 'score': 0.7}, {'token': 'osaka', 'score': 0.116}, {'token': 'kyoto', 'score': 0.034}, {'token': 'hokkaido', 'score': 0.026}, {'token': 'kobe', 'score': 0.026}, {'token': 'fukuoka', 'score': 0.02}, {'token': 'chiba', 'score': 0.015}, {'token': 'yokohama', 'score': 0.014}, {'token': 'hiroshima', 'score': 0.009}, {'token': 'nagoya', 'score': 0.009}, {'token': 'okinawa', 'score': 0.007}, {'token': 'nara', 'score': 0.005}, {'token': 'nagasaki', 'score': 0.004}, {'token': 'kochi', 'score': 0.002}, {'token': 'kawasaki', 'score': 0.001}]",,,
