obj_label,masked_sentence,masked_sentence_roberta
portsmouth,"Long died at home in [MASK] on April 13, 1789 and is buried in the Proprietor's Burying Ground there .","Long died at home in <mask> on April 13, 1789 and is buried in the Proprietor's Burying Ground there ."
rotterdam,Cawton died at [MASK] on 7 August 1659 .,Cawton died at <mask> on 7 August 1659 .
france,"In addition to Formula One, Walt Hansgen was a dominant road racer from the early 1950s and 1960s, winning numerous races at VIR (Virginia International Raceway), the famed course at Bridgehampton, and Watkins Glen through to his death at Le Mans in [MASK] in 1966 .","In addition to Formula One, Walt Hansgen was a dominant road racer from the early 1950s and 1960s, winning numerous races at VIR (Virginia International Raceway), the famed course at Bridgehampton, and Watkins Glen through to his death at Le Mans in <mask> in 1966 ."
montreal,He remained in [MASK] until his death in 1849 .,He remained in <mask> until his death in 1849 .
london,In the midst of this he died in [MASK] .,In the midst of this he died in <mask> .
brisbane,John Petrie died on 8 December 1892 in [MASK] and is buried with his wife and family in Toowong Cemetery .,John Petrie died on 8 December 1892 in <mask> and is buried with his wife and family in Toowong Cemetery .
bologna,Odofredus died at [MASK] in 1265 .,Odofredus died at <mask> in 1265 .
marquette,"He died January 19, 1868 in [MASK], Michigan .","He died January 19, 1868 in <mask>, Michigan ."
miami,Sanchez retired to [MASK] where he died of cancer in 1987 .,Sanchez retired to <mask> where he died of cancer in 1987 .
nashville,"Suffering from emphysema and asthma after a lengthy illness, Johnny PayCheck died at [MASK]'s Vanderbilt University Medical Center in 2003 .","Suffering from emphysema and asthma after a lengthy illness, Johnny PayCheck died at <mask>'s Vanderbilt University Medical Center in 2003 ."
malta,He retired from the Indian Army to [MASK] where he died .,He retired from the Indian Army to <mask> where he died .
minneapolis,"Bishop Joyce died on 28 July 1905 in [MASK], Minnesota and is buried in Lakewood Cemetery of that city .","Bishop Joyce died on 28 July 1905 in <mask>, Minnesota and is buried in Lakewood Cemetery of that city ."
london,"Hussey died at the age of 38 in [MASK] and was buried at Caythorpe where his estate was valued at about £2,500 p.a .","Hussey died at the age of 38 in <mask> and was buried at Caythorpe where his estate was valued at about £2,500 p.a ."
minnesota,"Arthur Thompson was born in Milan, [MASK] in 1891; his father was a harness maker .","Arthur Thompson was born in Milan, <mask> in 1891; his father was a harness maker ."
minnesota,He died in 1969 in [MASK] .,He died in 1969 in <mask> .
blackburn,"He died at [MASK] vicarage on 18 December 1821, and was interred at Holme .","He died at <mask> vicarage on 18 December 1821, and was interred at Holme ."
naples,"He died on January 8, 1852 at [MASK] .","He died on January 8, 1852 at <mask> ."
stamford,"Frank Marion died in 1963 in [MASK], Connecticut .","Frank Marion died in 1963 in <mask>, Connecticut ."
bath,"Having suffered attacks of jaundice throughout her life, Frances Burney died in 1828 in [MASK] .","Having suffered attacks of jaundice throughout her life, Frances Burney died in 1828 in <mask> ."
brooklyn,"Squibb died on October 25, 1900, at his home in [MASK], New York, from a ruptured blood vessel .","Squibb died on October 25, 1900, at his home in <mask>, New York, from a ruptured blood vessel ."
sacramento,"Stall died of complications from pulmonary disease on November 2, 2008 at his home in [MASK], California .","Stall died of complications from pulmonary disease on November 2, 2008 at his home in <mask>, California ."
belgrade,"He died November 1, 1899 in [MASK] at his home .","He died November 1, 1899 in <mask> at his home ."
turkey,"With debts mounting, he returned to his native [MASK], where he died October 25, 2005 .","With debts mounting, he returned to his native <mask>, where he died October 25, 2005 ."
richmond,"In the late 1860s, Doniphan re-opened his law office in [MASK], Missouri, where he died at the age of 79 He is buried in Fairview Cemetery in Liberty under an obelisk .","In the late 1860s, Doniphan re-opened his law office in <mask>, Missouri, where he died at the age of 79 He is buried in Fairview Cemetery in Liberty under an obelisk ."
melbourne,"He also wrote stories and articles, and was establishing a reputation as a broadcaster when he died at [MASK] on 28 November 1934 .","He also wrote stories and articles, and was establishing a reputation as a broadcaster when he died at <mask> on 28 November 1934 ."
syracuse,"Samuel Joseph May died on July 1, 1871 in [MASK], New York, donating over 10,000 of his own titles to the Cornell Library .","Samuel Joseph May died on July 1, 1871 in <mask>, New York, donating over 10,000 of his own titles to the Cornell Library ."
leipzig,She died in [MASK] at the age of 79 .,She died in <mask> at the age of 79 .
knoxville,"After a lifetime of speaking out on behalf of unions and social welfare issues, Florence Reece died of a heart attack in 1986 at the age of 86 in [MASK], Tennessee .","After a lifetime of speaking out on behalf of unions and social welfare issues, Florence Reece died of a heart attack in 1986 at the age of 86 in <mask>, Tennessee ."
philadelphia,"Cannon died on January 28, 1782 in [MASK] .","Cannon died on January 28, 1782 in <mask> ."
aberdeen,"He died at [MASK] in late January 1663, and was buried in the cathedral .","He died at <mask> in late January 1663, and was buried in the cathedral ."
chicago,Van Osdel died at age 80 in [MASK] .,Van Osdel died at age 80 in <mask> .
lyon,He died at [MASK] .,He died at <mask> .
prescott,Crane died at [MASK] in 1858 .,Crane died at <mask> in 1858 .
louisville,"Mattingly died in 1951 in [MASK], Kentucky .","Mattingly died in 1951 in <mask>, Kentucky ."
vienna,He died at [MASK] in 1844 .,He died at <mask> in 1844 .
paris,"His many interests ended by wearing out even his robust constitution, and he died at [MASK] in 1905 .","His many interests ended by wearing out even his robust constitution, and he died at <mask> in 1905 ."
rome,"Giuseppe Agnelli was a Roman Catholic author, chiefly known for his catechetical and devotional works, b at Naples, 1621; d in [MASK], 17 October 1706 .","Giuseppe Agnelli was a Roman Catholic author, chiefly known for his catechetical and devotional works, b at Naples, 1621; d in <mask>, 17 October 1706 ."
rome,"He passed the last thirty-three years of his life in the professed house at [MASK], where he died .","He passed the last thirty-three years of his life in the professed house at <mask>, where he died ."
ghent,"He died at [MASK] the same year, probably on December 2nd, and was buried at Coverham Abbey, Yorkshire .","He died at <mask> the same year, probably on December 2nd, and was buried at Coverham Abbey, Yorkshire ."
manhattan,"Grumet died on June 7, 1987 at Beth Israel Hospital in [MASK] at the age of 86 .","Grumet died on June 7, 1987 at Beth Israel Hospital in <mask> at the age of 86 ."
norfolk,"Marcon abandoned cricket after he left Oxford to become a vicar in Cornwall and eventually the Rector of Edgefield in his native [MASK], where he died in 1875 .","Marcon abandoned cricket after he left Oxford to become a vicar in Cornwall and eventually the Rector of Edgefield in his native <mask>, where he died in 1875 ."
warsaw,"Late in life he settled in [MASK], where he died on June 6, 1902, and was buried at the local Powązkowski Cemetery .","Late in life he settled in <mask>, where he died on June 6, 1902, and was buried at the local Powązkowski Cemetery ."
chattanooga,"Anthony Johnson Showalter died September 14, 1924 in [MASK], Tennessee and is buried in the West Hill Cemetery of Dalton, Georgia .","Anthony Johnson Showalter died September 14, 1924 in <mask>, Tennessee and is buried in the West Hill Cemetery of Dalton, Georgia ."
florence,He died at [MASK] in 1798 .,He died at <mask> in 1798 .
erie,"He again engaged in the practice of law, and was elected president judge of the sixth judicial district in 1851 and served until his death in [MASK] in 1860 .","He again engaged in the practice of law, and was elected president judge of the sixth judicial district in 1851 and served until his death in <mask> in 1860 ."
florence,He died at [MASK] in 1869 .,He died at <mask> in 1869 .
bologna,He died at [MASK] in 1925 .,He died at <mask> in 1925 .
bangor,Daley died in a [MASK] jail cell while under arrest for another crime in 1910 .,Daley died in a <mask> jail cell while under arrest for another crime in 1910 .
miami,"He was reassigned to the United States Court of Appeals for the Eleventh Circuit on October 1, 1981, and remained on that court until his death in [MASK], Florida in 1998 .","He was reassigned to the United States Court of Appeals for the Eleventh Circuit on October 1, 1981, and remained on that court until his death in <mask>, Florida in 1998 ."
princeton,In 1998 Merlino died at the Forrestal Nursing and Rehabilitation Center in [MASK] at the age of 76 .,In 1998 Merlino died at the Forrestal Nursing and Rehabilitation Center in <mask> at the age of 76 .
belgium,"She died in [MASK] and is buried at Cathedral of Saint Michael and Saint Gudula, Brussels .","She died in <mask> and is buried at Cathedral of Saint Michael and Saint Gudula, Brussels ."
hanover,"Richard Nolte died of complications from a stroke at his home in [MASK], New Hampshire, on November 22, 2007 .","Richard Nolte died of complications from a stroke at his home in <mask>, New Hampshire, on November 22, 2007 ."
london,In 1906 she died suddenly of heart failure in [MASK] en route to a holiday in Scotland .,In 1906 she died suddenly of heart failure in <mask> en route to a holiday in Scotland .
hastings,"Moving to Rye, East Sussex in the 1950s he died in [MASK] .","Moving to Rye, East Sussex in the 1950s he died in <mask> ."
dorset,"Wilmot became physician in ordinary to George III in 1760, left London next year, and lived in Nottingham; but then moved to Heringstone in [MASK], where he died on 21 November 1786 .","Wilmot became physician in ordinary to George III in 1760, left London next year, and lived in Nottingham; but then moved to Heringstone in <mask>, where he died on 21 November 1786 ."
manhattan,Christina Bellin died of a brain tumor at her [MASK] home in 1988 .,Christina Bellin died of a brain tumor at her <mask> home in 1988 .
hertfordshire,He died at his home in Wheathampstead in [MASK] .,He died at his home in Wheathampstead in <mask> .
philadelphia,Childs died at [MASK] on the 3rd of February 1894 .,Childs died at <mask> on the 3rd of February 1894 .
macon,"He died in 1999 in [MASK], Georgia .","He died in 1999 in <mask>, Georgia ."
bismarck,"Harold Schafer died December 2, 2001, in a [MASK] hospital after an extended illness .","Harold Schafer died December 2, 2001, in a <mask> hospital after an extended illness ."
warsaw,He died in 1924 in [MASK] .,He died in 1924 in <mask> .
colchester,"Hughes' ashes were spread in the Menai Straits after his death in [MASK], Essex .","Hughes' ashes were spread in the Menai Straits after his death in <mask>, Essex ."
kingston,"She died in [MASK], New York .","She died in <mask>, New York ."
london,Ridley died on 25 November 1887 in [MASK] and was survived by two daughters .,Ridley died on 25 November 1887 in <mask> and was survived by two daughters .
colombia,"Rafael Pombo remained in [MASK] until his death on May 5, 1912 .","Rafael Pombo remained in <mask> until his death on May 5, 1912 ."
arizona,"Manning died on March 10, 1986 in [MASK] .","Manning died on March 10, 1986 in <mask> ."
cyprus,"Harold Spiro died on 11 December 1996 in [MASK], where he was buried .","Harold Spiro died on 11 December 1996 in <mask>, where he was buried ."
concord,"Peterson died of natural causes at his home in [MASK], North Carolina .","Peterson died of natural causes at his home in <mask>, North Carolina ."
hollywood,"Following the demise of Lubin Studios in 1917, Romaine Fielding was out of filmmaking until 1920 after which he continued to work in film until his death in [MASK] at the age of fifty-nine from a blood clot .","Following the demise of Lubin Studios in 1917, Romaine Fielding was out of filmmaking until 1920 after which he continued to work in film until his death in <mask> at the age of fifty-nine from a blood clot ."
houston,"Rita died February 1, 2004 in [MASK] at age 82 .","Rita died February 1, 2004 in <mask> at age 82 ."
sweden,"Afterwards he returned to [MASK], where he died in 1824 at Munktrop, located near the town of Köping .","Afterwards he returned to <mask>, where he died in 1824 at Munktrop, located near the town of Köping ."
pierre,"In 1915 he died in [MASK], South Dakota .","In 1915 he died in <mask>, South Dakota ."
philadelphia,"Lansbury died of cancer in the United States on 3 April 1991, aged 61, at her home in [MASK], Pennsylvania .","Lansbury died of cancer in the United States on 3 April 1991, aged 61, at her home in <mask>, Pennsylvania ."
lincoln,Willson died at [MASK] on 8 September 1854 .,Willson died at <mask> on 8 September 1854 .
harrisburg,"He declined to become a candidate for reelection in 1926, and resumed the practice of law until his death in [MASK] .","He declined to become a candidate for reelection in 1926, and resumed the practice of law until his death in <mask> ."
greenwich,He died at his home in [MASK] in 1982 .,He died at his home in <mask> in 1982 .
beirut,She died in [MASK] at the age of 75 For part of her life she was married to baritone Georges Baklanoff .,She died in <mask> at the age of 75 For part of her life she was married to baritone Georges Baklanoff .
cambridge,"After his tenure in Congress, Henry continued the practice of law until his death in [MASK] .","After his tenure in Congress, Henry continued the practice of law until his death in <mask> ."
dublin,"Pilkington's contribution to Rapin de Thoyras' Impartial History (1784) has been described as, ``an extreme falsification of his life.'' He died in 1774 in [MASK] .","Pilkington's contribution to Rapin de Thoyras' Impartial History (1784) has been described as, ``an extreme falsification of his life.'' He died in 1774 in <mask> ."
cambridge,"Sir Grahame Clark, an archeologist and authority on prehistoric Europe, died on Tuesday at his home in [MASK], England .","Sir Grahame Clark, an archeologist and authority on prehistoric Europe, died on Tuesday at his home in <mask>, England ."
turkey,"He would then continue to live abroad for the remainder of his life, in countries such as Switzerland and [MASK] (where he also died) .","He would then continue to live abroad for the remainder of his life, in countries such as Switzerland and <mask> (where he also died) ."
london,"Studholme died at her home in [MASK] in March 1930 from a short but virulent attack of rheumatic fever, at the age of 57, and was buried in the St Marylebone Cemetery in East Finchley, survived by her second husband and children .","Studholme died at her home in <mask> in March 1930 from a short but virulent attack of rheumatic fever, at the age of 57, and was buried in the St Marylebone Cemetery in East Finchley, survived by her second husband and children ."
bath,He died at [MASK] on 1 June 1853 .,He died at <mask> on 1 June 1853 .
kingston,"Mariana Grajales Coello died on November 27, 1893 in [MASK], Jamaica at the age of 85 .","Mariana Grajales Coello died on November 27, 1893 in <mask>, Jamaica at the age of 85 ."
tbilisi,"On May 20, 2007, Guram Sharadze was assassinated on Melikishvili Avenue in central [MASK] in front of the Aldagi Insurance Company office by Giorgi Barateli, an erstwhile friend of his son .","On May 20, 2007, Guram Sharadze was assassinated on Melikishvili Avenue in central <mask> in front of the Aldagi Insurance Company office by Giorgi Barateli, an erstwhile friend of his son ."
naples,"He was the younger brother of the better-known Alexander Runciman, and accompanied him to [MASK], where he died .","He was the younger brother of the better-known Alexander Runciman, and accompanied him to <mask>, where he died ."
richmond,Virginia Proctor Powell Florence died in 1991 at the age of 93 in [MASK] .,Virginia Proctor Powell Florence died in 1991 at the age of 93 in <mask> .
london,"In 1822, with his health in decline, Cristall went to Goodrich on the Wye, where he had already bought a house, and where he spent many happy years until the loss of his wife, who died in 1840, drove him again to [MASK], where he died in 1847 .","In 1822, with his health in decline, Cristall went to Goodrich on the Wye, where he had already bought a house, and where he spent many happy years until the loss of his wife, who died in 1840, drove him again to <mask>, where he died in 1847 ."
bristol,"Rowland Brotherhood (senior) died at his home in [MASK] on 4 March 1883, and is buried there in Arnos Vale Cemetery .","Rowland Brotherhood (senior) died at his home in <mask> on 4 March 1883, and is buried there in Arnos Vale Cemetery ."
toronto,"A Conservative, the Honourable John Ross served until his death in 1871 in [MASK], Ontario .","A Conservative, the Honourable John Ross served until his death in 1871 in <mask>, Ontario ."
kingston,Hortense Ellis died in her sleep in a [MASK] hospital on 18 October 2000 from a stomach infection .,Hortense Ellis died in her sleep in a <mask> hospital on 18 October 2000 from a stomach infection .
stamford,"Caruso died in 1921 at the age of 48, and Benjamin died the next year at the age of 74 at his summer home in [MASK], CT All of his children except Dorothy, still in Italy and living the high-life on Caruso's money, were at his bedside when he died .","Caruso died in 1921 at the age of 48, and Benjamin died the next year at the age of 74 at his summer home in <mask>, CT All of his children except Dorothy, still in Italy and living the high-life on Caruso's money, were at his bedside when he died ."
caldwell,"She died in [MASK], New Jersey .","She died in <mask>, New Jersey ."
london,Smith died on 26 February 1832 in [MASK] .,Smith died on 26 February 1832 in <mask> .
russia,"In the 1990s, Adler developed an interest in [MASK]n thought and literature .","In the 1990s, Adler developed an interest in <mask>n thought and literature ."
russia,"This translation was published after her death in [MASK] (Moscow: Vodoley Publishers, 2007, see lstrauss.ru) .","This translation was published after her death in <mask> (Moscow: Vodoley Publishers, 2007, see lstrauss.ru) ."
vienna,"He died at [MASK], on his return from Buda, by Apoplexy, and I believe his Remains come by Sea from Trieste .","He died at <mask>, on his return from Buda, by Apoplexy, and I believe his Remains come by Sea from Trieste ."
california,He died in 1912 in [MASK] following an operation .,He died in 1912 in <mask> following an operation .
bath,"He resumed mercantile pursuits in [MASK], New York, where he died January 21, 1872 .","He resumed mercantile pursuits in <mask>, New York, where he died January 21, 1872 ."
stockholm,He died at [MASK] in 1766 .,He died at <mask> in 1766 .
belize,"After the war he moved to [MASK], where he died .","After the war he moved to <mask>, where he died ."
england,"After some work in Constantinople, and while waiting for his equipments and tents to proceed to the interior of Asia Minor, Yeardley was smitten with paralysis at Isnik, and was compelled to return to [MASK], where he died on 11 August 1858 .","After some work in Constantinople, and while waiting for his equipments and tents to proceed to the interior of Asia Minor, Yeardley was smitten with paralysis at Isnik, and was compelled to return to <mask>, where he died on 11 August 1858 ."
baltimore,"Mauritz Hallgren died November 10, 1956 in [MASK], Maryland .","Mauritz Hallgren died November 10, 1956 in <mask>, Maryland ."
norwich,He died at [MASK] in 1878 .,He died at <mask> in 1878 .
brighton,"Ward died at [MASK], unmarried but was rumored to have had an out of wedlock son born in 1856 named Edward Terry Ward .","Ward died at <mask>, unmarried but was rumored to have had an out of wedlock son born in 1856 named Edward Terry Ward ."
montreal,"He directed several bands for the Canadian Army with whom he held the rank of lieutenant, including the Fusiliers du Mont-Royal during the early 1950s and the Royal Canadian Ordnance Corps Band from 1956 until his death in [MASK] in 1961 .","He directed several bands for the Canadian Army with whom he held the rank of lieutenant, including the Fusiliers du Mont-Royal during the early 1950s and the Royal Canadian Ordnance Corps Band from 1956 until his death in <mask> in 1961 ."
orange,"Following his wife's death he retired from public life to [MASK], New Jersey, where he died on September 7, 1870 at age of 70, days before his 71st birthday .","Following his wife's death he retired from public life to <mask>, New Jersey, where he died on September 7, 1870 at age of 70, days before his 71st birthday ."
berlin,Müller died on 11 May 1943 in [MASK] .,Müller died on 11 May 1943 in <mask> .
kingston,"She lived in Shady, New York for many years before her death in [MASK], New York in 2006 .","She lived in Shady, New York for many years before her death in <mask>, New York in 2006 ."
portland,"Following his retirement, Kerr moved to [MASK], where he died in 1947 .","Following his retirement, Kerr moved to <mask>, where he died in 1947 ."
amsterdam,"He studied and painted portraits and conversation-pieces in Rome, and afterwards returned to his native country and settled at [MASK], where he died in 1746 .","He studied and painted portraits and conversation-pieces in Rome, and afterwards returned to his native country and settled at <mask>, where he died in 1746 ."
warrington,"Anna Blackburne was born at Orford Hall, Orford, [MASK], the daughter of Jane (born Ashton) and John Blackburne .","Anna Blackburne was born at Orford Hall, Orford, <mask>, the daughter of Jane (born Ashton) and John Blackburne ."
warrington,She died in [MASK] .,She died in <mask> .
exeter,"He died at [MASK], Devonshire, on 26 June 1691 .","He died at <mask>, Devonshire, on 26 June 1691 ."
exeter,"He died suddenly of paralysis at [MASK] on 26 June 1691, and was buried in Dartmouth churchyard .","He died suddenly of paralysis at <mask> on 26 June 1691, and was buried in Dartmouth churchyard ."
normandy,"He died in 2007 in [MASK] at the age of 87, and was buried in the Gironde region of France .","He died in 2007 in <mask> at the age of 87, and was buried in the Gironde region of France ."
antwerp,Jacques Ignatius de Roore was born at [MASK] in 1686 .,Jacques Ignatius de Roore was born at <mask> in 1686 .
antwerp,He died at [MASK] in 1747 .,He died at <mask> in 1747 .
england,"During the Revolution, Royall, who had patriot sympathies but significant Loyalist connections, fled to Nova Scotia and subsequently to [MASK], where he died of smallpox in 1781 .","During the Revolution, Royall, who had patriot sympathies but significant Loyalist connections, fled to Nova Scotia and subsequently to <mask>, where he died of smallpox in 1781 ."
bristol,"To the same influence he owed a prebend in Salisbury Cathedral, and on receiving this he removed from London to [MASK], where he died on 21 Dec .","To the same influence he owed a prebend in Salisbury Cathedral, and on receiving this he removed from London to <mask>, where he died on 21 Dec ."
vancouver,"Harry Mills died at [MASK] BC December 20, 1959 age 85 .","Harry Mills died at <mask> BC December 20, 1959 age 85 ."
victoria,"Cefai died on the 18th June 1996 at his home in [MASK], Gozo .","Cefai died on the 18th June 1996 at his home in <mask>, Gozo ."
wellington,"Beaglehole died at the age of 59 in [MASK] on October 23, 1965 .","Beaglehole died at the age of 59 in <mask> on October 23, 1965 ."
croydon,"He died at his home in [MASK], Surrey, in January 1955, aged 78, and was succeeded in the barony by his eldest son Foster Charles Lowry Lamb .","He died at his home in <mask>, Surrey, in January 1955, aged 78, and was succeeded in the barony by his eldest son Foster Charles Lowry Lamb ."
hastings,John Marwick died at [MASK] on 17 August 1978 .,John Marwick died at <mask> on 17 August 1978 .
paris,"He died on December 28, 1928 in [MASK] after contracting pneumonia in Addis Ababa, Ethiopia .","He died on December 28, 1928 in <mask> after contracting pneumonia in Addis Ababa, Ethiopia ."
newark,"Wilson was elected to the 18th, 19th, and 20th Congresses, serving from March 4, 1823, until his death in [MASK], Ohio on June 6, 1827 .","Wilson was elected to the 18th, 19th, and 20th Congresses, serving from March 4, 1823, until his death in <mask>, Ohio on June 6, 1827 ."
essex,"He never went back to the US, settling, instead, at Braintree in [MASK], where he died .","He never went back to the US, settling, instead, at Braintree in <mask>, where he died ."
clifton,"He died at [MASK] on 8 April 1870, and was buried in the cemetery at Weston-super-Mare .","He died at <mask> on 8 April 1870, and was buried in the cemetery at Weston-super-Mare ."
