obj_label,masked_sentence,masked_sentence_roberta
1895,"William Kermode was born in Hobart, Tasmania in [MASK] .","William Kermode was born in Hobart, Tasmania in <mask> ."
1964,Jody Freeman (born [MASK]) is the Archibald Cox Professor at Harvard Law School and a leading expert on administrative law and environmental law .,Jody Freeman (born <mask>) is the Archibald Cox Professor at Harvard Law School and a leading expert on administrative law and environmental law .
1880,"Chaudhry Niaz Ali Khan (born [MASK] -- died 1976) (), founder of the Dar ul Islam Movement and the Dar ul Islam Trust in South Asia and the Dar ul Islam Trust Institutes in Pathankot, India and Jauharabad, Pakistan, was a civil engineer, civil servant, landowner, agriculturalist and philanthropist .","Chaudhry Niaz Ali Khan (born <mask> -- died 1976) (), founder of the Dar ul Islam Movement and the Dar ul Islam Trust in South Asia and the Dar ul Islam Trust Institutes in Pathankot, India and Jauharabad, Pakistan, was a civil engineer, civil servant, landowner, agriculturalist and philanthropist ."
1933,"Goodale was born July 27, [MASK] in Cambridge, Massachusetts .","Goodale was born July 27, <mask> in Cambridge, Massachusetts ."
1981,"Mama Baer (born Andrea Katharina Ingeborg Hjuler in [MASK], maiden name Göthling) works as a sound recordist in the field of Noise (music) and Post-industrial music, visual artist and film maker at Flensburg, a town on the German border with Denmark .","Mama Baer (born Andrea Katharina Ingeborg Hjuler in <mask>, maiden name Göthling) works as a sound recordist in the field of Noise (music) and Post-industrial music, visual artist and film maker at Flensburg, a town on the German border with Denmark ."
1944,"Elie (Eli) Horn, born in [MASK] in the city of Aleppo in Syria, is a Brazilian Jewish businessman and philanthropist operating in Brazil, president of Cyrela Brazil Realty .","Elie (Eli) Horn, born in <mask> in the city of Aleppo in Syria, is a Brazilian Jewish businessman and philanthropist operating in Brazil, president of Cyrela Brazil Realty ."
1958,Snyder was born in [MASK] in New York .,Snyder was born in <mask> in New York .
1970,"Eric Knaus (born c [MASK]), better known as The Great Zucchini, is a professional children's entertainer specialized in performing for children aged 2 to 6 in the Washington Metropolitan Area .","Eric Knaus (born c <mask>), better known as The Great Zucchini, is a professional children's entertainer specialized in performing for children aged 2 to 6 in the Washington Metropolitan Area ."
1944,Kantilal Kanjee (born 22 April [MASK]) is a Zimbabwean former first-class and Test cricket umpire .,Kantilal Kanjee (born 22 April <mask>) is a Zimbabwean former first-class and Test cricket umpire .
1774,"Henry was born on 28 December [MASK] at Queens Square Bristol, the son of Richard Smith, surgeon and Augusta, the daughter of Rev .","Henry was born on 28 December <mask> at Queens Square Bristol, the son of Richard Smith, surgeon and Augusta, the daughter of Rev ."
1940,Carolin Reiber (born 2 November [MASK]) is a German television presenter .,Carolin Reiber (born 2 November <mask>) is a German television presenter .
1978,"Dan Lissvik (D. Lissvik), born in [MASK], is a Swedish musician and producer .","Dan Lissvik (D. Lissvik), born in <mask>, is a Swedish musician and producer ."
1916,"Kazimierz J Kasperek was born in [MASK] in Częstochowa, Poland and enlisted as a volunteer in the Polish Navy on February 1, 1936 .","Kazimierz J Kasperek was born in <mask> in Częstochowa, Poland and enlisted as a volunteer in the Polish Navy on February 1, 1936 ."
1954,"Monastyrsky was born in Ukraine (former USSR) in [MASK], and attended Lviv's State Medical University .","Monastyrsky was born in Ukraine (former USSR) in <mask>, and attended Lviv's State Medical University ."
1984,Costel Paşniciuc (born 13 January [MASK]) is a Romanian middleweight kickboxer .,Costel Paşniciuc (born 13 January <mask>) is a Romanian middleweight kickboxer .
1963,Valery Levaneuski was born on 15 August [MASK] in Grodno in a large family .,Valery Levaneuski was born on 15 August <mask> in Grodno in a large family .
1900,"Lev Borisovich Helfand was born December 29, [MASK] in the village Artemivka :ru: Артёмовка (Крым) .","Lev Borisovich Helfand was born December 29, <mask> in the village Artemivka :ru: Артёмовка (Крым) ."
1957,"Dana Sue Gray was born December 6th, [MASK] to Beverly and Russell Armbrust .","Dana Sue Gray was born December 6th, <mask> to Beverly and Russell Armbrust ."
1981,"Danny Maun (born 5 January [MASK], in Wigan, Greater Manchester) is an English rugby league player .","Danny Maun (born 5 January <mask>, in Wigan, Greater Manchester) is an English rugby league player ."
1932,"Sheila Khambadkone was born on February 11, [MASK] in a Chitrapur Saraswat (Bhānap) family in Mangalore () .","Sheila Khambadkone was born on February 11, <mask> in a Chitrapur Saraswat (Bhānap) family in Mangalore () ."
1965,"Jovica Škoro (Serbian Cyrillic: Јовица Шкоро) (born October 9, [MASK] in Kruševac) is a Serbian former footballer and current coach, now coaching Metalac of Gornji Milanovac .","Jovica Škoro (Serbian Cyrillic: Јовица Шкоро) (born October 9, <mask> in Kruševac) is a Serbian former footballer and current coach, now coaching Metalac of Gornji Milanovac ."
1966,"Jaime was born March 8, [MASK] in Hollywood, California and raised in the San Fernando Valley .","Jaime was born March 8, <mask> in Hollywood, California and raised in the San Fernando Valley ."
1864,"William John Hocking, CVO, CBE was born at Sennen Cove, Cornwall into a Congregational church family in [MASK] and died in Danbury in April 1953 .","William John Hocking, CVO, CBE was born at Sennen Cove, Cornwall into a Congregational church family in <mask> and died in Danbury in April 1953 ."
1966,"Roberta Donnay (b. August 10, [MASK], Washington, D.C.) is a Grammy-nominated jazz vocalist, composer, and band leader produced by Orrin Keepnews .","Roberta Donnay (b. August 10, <mask>, Washington, D.C.) is a Grammy-nominated jazz vocalist, composer, and band leader produced by Orrin Keepnews ."
1971,"Borges was born in [MASK], in Monterrey, Nuevo León, Mexico .","Borges was born in <mask>, in Monterrey, Nuevo León, Mexico ."
1946,"Francesco Gullino (or Giullino) is a Dane of Italian origin, born in Bari, Italy in [MASK], who was named in June 2005 by The Times as the prime suspect in the 1978 ``Bulgarian umbrella'' murder of Bulgarian dissident Georgi Markov .","Francesco Gullino (or Giullino) is a Dane of Italian origin, born in Bari, Italy in <mask>, who was named in June 2005 by The Times as the prime suspect in the 1978 ``Bulgarian umbrella'' murder of Bulgarian dissident Georgi Markov ."
1902,"Benny Marinelli (c. [MASK] -- October 22, 1927) was an American Thoroughbred horse racing jockey best known for winning the Classic Preakness Stakes in 1923 .","Benny Marinelli (c. <mask> -- October 22, 1927) was an American Thoroughbred horse racing jockey best known for winning the Classic Preakness Stakes in 1923 ."
1835,"Joseph Judah Chorny was a Russian traveller, born at Minsk in [MASK], on the 20th April .","Joseph Judah Chorny was a Russian traveller, born at Minsk in <mask>, on the 20th April ."
1977,"Nikhil Haldipur (Born December 19, [MASK] in Kolkata) is an Indian first class cricketer .","Nikhil Haldipur (Born December 19, <mask> in Kolkata) is an Indian first class cricketer ."
1956,Thomas Henning (born [MASK]) is a German astrophysicist .,Thomas Henning (born <mask>) is a German astrophysicist .
1963,"One of the Houston art world's great visionaries, Nestor Topchy is a painter, sculptor, installation artist, and performance artist who was born in Somerville, New Jersey in [MASK] .","One of the Houston art world's great visionaries, Nestor Topchy is a painter, sculptor, installation artist, and performance artist who was born in Somerville, New Jersey in <mask> ."
1909,"Betty Broadbent (November 11, [MASK]-March 28, 1983) .","Betty Broadbent (November 11, <mask>-March 28, 1983) ."
1949,"Bob Elliott (born September 10, [MASK] in Kingston, Ontario, Canada) is a longtime sports columnist who has covered baseball in Canada since the 1978 Home Opener for the Montreal Expos, when he was employed by the Ottawa Citizen .","Bob Elliott (born September 10, <mask> in Kingston, Ontario, Canada) is a longtime sports columnist who has covered baseball in Canada since the 1978 Home Opener for the Montreal Expos, when he was employed by the Ottawa Citizen ."
1943,"Terry Matte (c. [MASK] -- December 28, 2009) was a news producer for CBWT's 24Hours program in Winnipeg in the 1980s before moving to Ottawa where he was senior producer for ``Newsday'', CBC Ottawa's supper-hour, television newscast .","Terry Matte (c. <mask> -- December 28, 2009) was a news producer for CBWT's 24Hours program in Winnipeg in the 1980s before moving to Ottawa where he was senior producer for ``Newsday'', CBC Ottawa's supper-hour, television newscast ."
1896,"Erhard Mayke (born January 6, [MASK] West Prussia -1962) Was a German speed skater and competed at the 1928 Winter Olympics hosted in St moritz Switzerland, he also competed in the World Allround Speed Skating Championships for Men in the same year 1928 hosted in Davos .","Erhard Mayke (born January 6, <mask> West Prussia -1962) Was a German speed skater and competed at the 1928 Winter Olympics hosted in St moritz Switzerland, he also competed in the World Allround Speed Skating Championships for Men in the same year 1928 hosted in Davos ."
1966,"Grean was born April 12, [MASK], in Portchester, New York .","Grean was born April 12, <mask>, in Portchester, New York ."
1963,"Philippe Lardy, born in Switzerland in [MASK], is an illustrator and painter .","Philippe Lardy, born in Switzerland in <mask>, is an illustrator and painter ."
1963,"Evgeny Gleizerov (; born March 20, [MASK]) is a Russian chess Grandmaster (1993) .","Evgeny Gleizerov (; born March 20, <mask>) is a Russian chess Grandmaster (1993) ."
1924,"Sullivan was born in Milwaukee, Wisconsin in [MASK] .","Sullivan was born in Milwaukee, Wisconsin in <mask> ."
1953,"Rein was born in New Orleans in [MASK], lived in Phoenix, and came to Tucson at age 10 when his family relocated .","Rein was born in New Orleans in <mask>, lived in Phoenix, and came to Tucson at age 10 when his family relocated ."
1983,"Mamitu Daska Molisa (born 16 October [MASK] in Liteshoa), also known as Mamitu Deska, is an Ethiopian long-distance runner who specialises in road running events, including the marathon .","Mamitu Daska Molisa (born 16 October <mask> in Liteshoa), also known as Mamitu Deska, is an Ethiopian long-distance runner who specialises in road running events, including the marathon ."
1960,He was born in Baneh in [MASK] .,He was born in Baneh in <mask> .
1966,Oscar García (born 23 December [MASK]) is a Cuban fencer .,Oscar García (born 23 December <mask>) is a Cuban fencer .
1872,"James Frank Woods was born June 27, [MASK], and generally went by the name Frank Woods .","James Frank Woods was born June 27, <mask>, and generally went by the name Frank Woods ."
1836,William Malcolm Low (c. [MASK] -- 14 June 1923) was a British Conservative party politician .,William Malcolm Low (c. <mask> -- 14 June 1923) was a British Conservative party politician .
1944,Moussa Moumouni Djermakoye (born 26 April [MASK]) is a Nigerien politician who has been President of the Nigerien Alliance for Democracy and Progress (ANDP-Zaman Lahiya) since 2010 .,Moussa Moumouni Djermakoye (born 26 April <mask>) is a Nigerien politician who has been President of the Nigerien Alliance for Democracy and Progress (ANDP-Zaman Lahiya) since 2010 .
1827,"John Russell was born September 22, [MASK] in Concord Township, Champaign County, Ohio to John and Mary Russell, farmers who were originally from Virginia .","John Russell was born September 22, <mask> in Concord Township, Champaign County, Ohio to John and Mary Russell, farmers who were originally from Virginia ."
1973,"He was born in [MASK] in Ohio, grew up on a farm in Missouri, and currently lives in Iowa City, Iowa .","He was born in <mask> in Ohio, grew up on a farm in Missouri, and currently lives in Iowa City, Iowa ."
1952,Tim Goodman was born in San Francisco in [MASK] and briefly spent his high school years attending the American School in London .,Tim Goodman was born in San Francisco in <mask> and briefly spent his high school years attending the American School in London .
1959,"She was born in Lansdowne, Pennsylvania in [MASK] .","She was born in Lansdowne, Pennsylvania in <mask> ."
1959,"Elchin Khalilov ( born on April, 26th [MASK], Baku, Azerbaijan) is a geophysicist who works in the area of geodynamics and geotectonics .","Elchin Khalilov ( born on April, 26th <mask>, Baku, Azerbaijan) is a geophysicist who works in the area of geodynamics and geotectonics ."
1964,"The current Dzogchen Rinpoche, who is enumerated as the seventh in the lineage of mindstream 'emanations' (Sanskrit: nirmanakaya), 'Jikme Losal Wangpo' (), was born in Gangtok, Sikkim in [MASK], as the younger brother of Sogyal Rinpoche .","The current Dzogchen Rinpoche, who is enumerated as the seventh in the lineage of mindstream 'emanations' (Sanskrit: nirmanakaya), 'Jikme Losal Wangpo' (), was born in Gangtok, Sikkim in <mask>, as the younger brother of Sogyal Rinpoche ."
1919,"Amadou Doucoure (born [MASK] in Goumbou, Mali, and died November 15 1971 in Bamako) was a Malian politician who was elected to the French Senate in 1947  .","Amadou Doucoure (born <mask> in Goumbou, Mali, and died November 15 1971 in Bamako) was a Malian politician who was elected to the French Senate in 1947  ."
1941,"He was born in County Armagh, Northern Ireland in [MASK] and settled in Athy, County Kildare in the early 1970s .","He was born in County Armagh, Northern Ireland in <mask> and settled in Athy, County Kildare in the early 1970s ."
1942,Serge Crasnianski born 3rd July [MASK] is a French entrepreneur who founded in 1963 the Grenoble based Key Independent System (KIS) .,Serge Crasnianski born 3rd July <mask> is a French entrepreneur who founded in 1963 the Grenoble based Key Independent System (KIS) .
1985,"Jamal Nasser (born c [MASK], died March 16, 2003) was an Afghan soldier who died in United States' custody on March 16, 2003 .","Jamal Nasser (born c <mask>, died March 16, 2003) was an Afghan soldier who died in United States' custody on March 16, 2003 ."
1963,Jody Williams (born c [MASK] in California) is an American chef and television personality .,Jody Williams (born c <mask> in California) is an American chef and television personality .
1976,"Ilhama Gasimova (; born [MASK], Bala Şürük, Lankaran Rayon, Azerbaijan) is an Azerbaijani pop singer .","Ilhama Gasimova (; born <mask>, Bala Şürük, Lankaran Rayon, Azerbaijan) is an Azerbaijani pop singer ."
1962,"Clare Gervasoni, author, publisher and curator was born in Melbourne, Australia in [MASK] .","Clare Gervasoni, author, publisher and curator was born in Melbourne, Australia in <mask> ."
1894,"Basil Deacon Hobbs,DSO, OBE, DSC (born 20 December [MASK]) is a British and Canadian aviator .","Basil Deacon Hobbs,DSO, OBE, DSC (born 20 December <mask>) is a British and Canadian aviator ."
1819,"Antonio Maria Pucci, O.S.M., (16 April [MASK], Vernio, Province of Prato - 12 January 1892) was an Italian friar and priest, who was proclaimed a saint by Pope John XXIII on 9 December 1962 .","Antonio Maria Pucci, O.S.M., (16 April <mask>, Vernio, Province of Prato - 12 January 1892) was an Italian friar and priest, who was proclaimed a saint by Pope John XXIII on 9 December 1962 ."
1947,Jane Evelyn Atwood (born [MASK] in New York City) is an American photographer living in Paris since 1971 .,Jane Evelyn Atwood (born <mask> in New York City) is an American photographer living in Paris since 1971 .
1848,"He was born April 23, [MASK] at Amherst, Virginia .","He was born April 23, <mask> at Amherst, Virginia ."
1957,Nathalie Ménigon was born 28 February [MASK] in Enghien-les-Bains (Val-d'Oise) .,Nathalie Ménigon was born 28 February <mask> in Enghien-les-Bains (Val-d'Oise) .
1843,Rafaela Ybarra de Vilallonga was born in Bilbao in northern Spain in [MASK] in an affluent Catholic family .,Rafaela Ybarra de Vilallonga was born in Bilbao in northern Spain in <mask> in an affluent Catholic family .
1947,"Tafa Balogun was born on August 8, [MASK] at Ila Orogun, now in Osun State .","Tafa Balogun was born on August 8, <mask> at Ila Orogun, now in Osun State ."
1968,"Esa Tapani is a Finnish horn player, born in [MASK] .","Esa Tapani is a Finnish horn player, born in <mask> ."
1864,"Kirby was born in Ottawa in [MASK], the third of six children born to Thomas H and Mary Kirby, Irish immigrants to Canada .","Kirby was born in Ottawa in <mask>, the third of six children born to Thomas H and Mary Kirby, Irish immigrants to Canada ."
1940,"Shodo Harada was born into a Zen temple in [MASK] in Nara, Japan .","Shodo Harada was born into a Zen temple in <mask> in Nara, Japan ."
1983,"Rafael Dropulić (born c [MASK]), best known by his nickname Rafo, is a Croatian reality show winner and pop singer .","Rafael Dropulić (born c <mask>), best known by his nickname Rafo, is a Croatian reality show winner and pop singer ."
1963,Mark Teague was born in [MASK] .,Mark Teague was born in <mask> .
1946,"Marsha was born in [MASK] in Long Beach, California, near her parent's home in Palos Verdes .","Marsha was born in <mask> in Long Beach, California, near her parent's home in Palos Verdes ."
1954,"Shroder was born in New York City in [MASK], and attended the University of Florida .","Shroder was born in New York City in <mask>, and attended the University of Florida ."
1976,"Rahul Chandran (born [MASK]) is policy analyst working in the fields of conflict and security, widely known for his work on resilience and on United Nations reform .","Rahul Chandran (born <mask>) is policy analyst working in the fields of conflict and security, widely known for his work on resilience and on United Nations reform ."
1892,"Abaz Kupi was born in 6 August [MASK], in Varosh neighborhood in Krujë .","Abaz Kupi was born in 6 August <mask>, in Varosh neighborhood in Krujë ."
1784,Premanand Swami was born to Hindu (Brahmin) parents in the town of Dora Bharuch in [MASK] and named Hathiram on birth .,Premanand Swami was born to Hindu (Brahmin) parents in the town of Dora Bharuch in <mask> and named Hathiram on birth .
1956,"Karena Albers, born [MASK], is the Director of The Earth Awards, an aspirational platform for consumer-driven ideas that challenge designers and innovators to build a new economy, and co-founder of New York-based production company, kontentreal .","Karena Albers, born <mask>, is the Director of The Earth Awards, an aspirational platform for consumer-driven ideas that challenge designers and innovators to build a new economy, and co-founder of New York-based production company, kontentreal ."
1958,"Modison Salayedvwa Magagula (born [MASK]) is a Swazi playwright, poet and short-story writer .","Modison Salayedvwa Magagula (born <mask>) is a Swazi playwright, poet and short-story writer ."
1930,"Kathleen Ngale was born around [MASK] at the Camel Camp Station, 250 km north-East of Alice Springs, where she still lives with her extended family .","Kathleen Ngale was born around <mask> at the Camel Camp Station, 250 km north-East of Alice Springs, where she still lives with her extended family ."
1983,Magdalena Decilio (born 23 March [MASK]) is a team handball player from Argentina .,Magdalena Decilio (born 23 March <mask>) is a team handball player from Argentina .
1951,"William Breitbart was born in [MASK] and raised on the Lower East Side of Manhattan with his younger brother, Sheldon .","William Breitbart was born in <mask> and raised on the Lower East Side of Manhattan with his younger brother, Sheldon ."
1982,"Belinda M'Boma (born June 4 [MASK] in Caen, France) is a French basketball player who played 28 games for club Charleville-Mezieres of the League feminine de basket the top basketball league for women in France during the 2010-2011 season .","Belinda M'Boma (born June 4 <mask> in Caen, France) is a French basketball player who played 28 games for club Charleville-Mezieres of the League feminine de basket the top basketball league for women in France during the 2010-2011 season ."
1970,"He was born in Caracas, Venezuela in [MASK], the son of historian Elias Pino Iturrieta .","He was born in Caracas, Venezuela in <mask>, the son of historian Elias Pino Iturrieta ."
1841,"Hartung was born on February 19, [MASK] in Germany .","Hartung was born on February 19, <mask> in Germany ."
1942,"Gregory Nagy (in Hungarian: Nagy Gergely) (pronounced /nadj;/), born in Budapest Hungary in [MASK], is an American professor of Classics at Harvard University, specializing in Homer and archaic Greek poetry .","Gregory Nagy (in Hungarian: Nagy Gergely) (pronounced /nadj;/), born in Budapest Hungary in <mask>, is an American professor of Classics at Harvard University, specializing in Homer and archaic Greek poetry ."
1862,"Sanson was born in Toronto in [MASK], the son of a clergyman .","Sanson was born in Toronto in <mask>, the son of a clergyman ."
1870,Baba Nand Singh Ji was born in [MASK] .,Baba Nand Singh Ji was born in <mask> .
1846,"Bonsall was born February 10, [MASK] in Cincinnati, Ohio, to father Samuel Bonsall and mother Mary Mills .","Bonsall was born February 10, <mask> in Cincinnati, Ohio, to father Samuel Bonsall and mother Mary Mills ."
1934,"A noted American theorist on Europe and its future, Calleo was born in [MASK] into an Italian immigrant family of humble origins (his father was a firefighter) .","A noted American theorist on Europe and its future, Calleo was born in <mask> into an Italian immigrant family of humble origins (his father was a firefighter) ."
1969,"Lasha Darbaidze (b. January 23, [MASK]) is a Georgian-born American citizen who holds the positions of Honorary Consul of Georgia since 2010, and President of the St George Foundation since 2004 .","Lasha Darbaidze (b. January 23, <mask>) is a Georgian-born American citizen who holds the positions of Honorary Consul of Georgia since 2010, and President of the St George Foundation since 2004 ."
1853,"Sanborn was born on January 17, [MASK] in Swanton, Vermont .","Sanborn was born on January 17, <mask> in Swanton, Vermont ."
1865,"He was born Jewish in Schorndorf, Germany on March 17, [MASK] .","He was born Jewish in Schorndorf, Germany on March 17, <mask> ."
1972,He was born on Malta's sister island Gozo in [MASK] and became a full time professional magician in 2000 .,He was born on Malta's sister island Gozo in <mask> and became a full time professional magician in 2000 .
1730,William Lynch (c. [MASK] - 25 August 1785) was a British diplomat and politician who sat in the House of Commons between 1762 and 1774 .,William Lynch (c. <mask> - 25 August 1785) was a British diplomat and politician who sat in the House of Commons between 1762 and 1774 .
1936,"Noor Muhammad Butt was born in Sialkot, British Punjab, in [MASK] .","Noor Muhammad Butt was born in Sialkot, British Punjab, in <mask> ."
1954,"Mustafa Mujezinović (Born December 27, [MASK], Sarajevo, Bosnia and Herzegovina) was the Prime Minister of Federation of Bosnia and Herzegovina, one of the two entities of Bosnia and Herzegovina from 2009 to 2011 .","Mustafa Mujezinović (Born December 27, <mask>, Sarajevo, Bosnia and Herzegovina) was the Prime Minister of Federation of Bosnia and Herzegovina, one of the two entities of Bosnia and Herzegovina from 2009 to 2011 ."
1720,"Antoine Mahaut (c. [MASK] -- 1785) was a flautist, composer, and editor .","Antoine Mahaut (c. <mask> -- 1785) was a flautist, composer, and editor ."
1938,"Galla was born on June 10th [MASK] in the village of Petamitta in Chitoor District, Andhra Pradesh, in south-eastern India .","Galla was born on June 10th <mask> in the village of Petamitta in Chitoor District, Andhra Pradesh, in south-eastern India ."
1829,"Klaus was born on December 30, [MASK] in Prussia .","Klaus was born on December 30, <mask> in Prussia ."
1944,"Harriet E Derman (born c [MASK]) is an American Republican Party politician who was elected to two terms in the New Jersey General Assembly, where she represented the 18th Legislative District from 1992 to 1996 .","Harriet E Derman (born c <mask>) is an American Republican Party politician who was elected to two terms in the New Jersey General Assembly, where she represented the 18th Legislative District from 1992 to 1996 ."
1973,"Keren Or Leibovitch (also Keren Or Leybovitch; born July 25, [MASK]) is an Israeli champion Paralympic swimmer .","Keren Or Leibovitch (also Keren Or Leybovitch; born July 25, <mask>) is an Israeli champion Paralympic swimmer ."
1930,"Tirrel Burton (born c [MASK]) is a former American football player, coach, and radio broadcaster .","Tirrel Burton (born c <mask>) is a former American football player, coach, and radio broadcaster ."
1961,Marla Hanson (born c [MASK]) is a screenwriter and ex-model .,Marla Hanson (born c <mask>) is a screenwriter and ex-model .
1967,Hecht was born in New York City in [MASK] .,Hecht was born in New York City in <mask> .
1987,Arnab Das Sharma (born [MASK]) is an Indian football player .,Arnab Das Sharma (born <mask>) is an Indian football player .
1953,"Donato Seppi (born in Bolzano in [MASK]) is an Italian politician, who has founded the local party Unitalia .","Donato Seppi (born in Bolzano in <mask>) is an Italian politician, who has founded the local party Unitalia ."
1875,"Jakob Altenberg (born [MASK] in Grzymatow, Skralat, Galizien, died 1944 in Vienna) was an Austrian businessman .","Jakob Altenberg (born <mask> in Grzymatow, Skralat, Galizien, died 1944 in Vienna) was an Austrian businessman ."
1945,William G Stinson (born circa [MASK]) is a former Democratic member of the Pennsylvania State Senate .,William G Stinson (born circa <mask>) is a former Democratic member of the Pennsylvania State Senate .
1958,"Timothy M Wolfe (born c [MASK]) wil become the 23rd president of the University of Missouri System on February 15, 2012 .","Timothy M Wolfe (born c <mask>) wil become the 23rd president of the University of Missouri System on February 15, 2012 ."
1862,"Alfred Wellington Carter was born April 22, [MASK] and named for an uncle Alfred Wellington Carter (1841--1890) .","Alfred Wellington Carter was born April 22, <mask> and named for an uncle Alfred Wellington Carter (1841--1890) ."
1937,Not to be confused with Peter Gallagher (rugby league born [MASK]) .,Not to be confused with Peter Gallagher (rugby league born <mask>) .
1881,"George W Barrett (c. [MASK] -- March 24, 1936), also called Diamond King, was the first person sentenced to death by hanging under a congressional act that made it a capital offense to kill a federal agent .","George W Barrett (c. <mask> -- March 24, 1936), also called Diamond King, was the first person sentenced to death by hanging under a congressional act that made it a capital offense to kill a federal agent ."
